次数,ターゲット,画面タイトル,画面タイプ,1次指標名,2次指標名,3次指標名,4次指標名,5次指標名,計算レイヤー,スコープ,用途・機能説明,概念式／演算ロジック,判断基準・閾値目安,依存先指標,データ基盤要件,V69No/戦略No
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_フード売上ランチ,,,,L1,同画面内,-,SUM(フードかつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),233
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_フード売上ディナー,,,,L1,同画面内,-,SUM(フードかつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),234
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_ドリンク売上ランチ,,,,L1,同画面内,-,SUM(ドリンクかつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),235
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_ドリンク売上ディナー,,,,L1,同画面内,-,SUM(ドリンクかつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),236
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_フード仕入,,,,L1,同画面内,-,SUMフード,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),237
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_ドリンク仕入,,,,L1,同画面内,-,SUMドリンク,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),238
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_固定人件費,,,,L1,同画面内,-,SUM月給者,-,[外部]head_office_connected_service_labor_costs_logs.labor_costs,既存(V89/V69),239
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_PA人件費,,,,L1,同画面内,-,SUM,-,[外部]head_office_employee_working_records.daily_cost,既存(V89/V69),240
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_地代家賃,,,,L1,同画面内,-,費目=家賃,-,-,既存(V89/V69),242
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_資材費,,,,L1,同画面内,-,費目=資材費,-,-,既存(V89/V69),243
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_水道光熱費,,,,L1,同画面内,-,費目=水道光熱費,-,-,既存(V89/V69),244
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_減価償却費,,,,L1,同画面内,-,費目=減価償却費,-,-,既存(V89/V69),245
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_販促費,,,,L1,同画面内,-,費目=販促費,-,-,既存(V89/V69),246
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_総売上 計,,,,L1,同画面内,-,SUM月次予算,-,月次予算設定.年間総売上,既存(V89/V69),307
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_フード売上 計,,,,L1,同画面内,-,年間予算_総売上 計 × 売上構成比設定.フード構成比,-,月次予算設定.年間フード売上,既存(V89/V69),308
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_フード売上ランチ,,,,L1,同画面内,-,年間予算_フード売上 計 × 売上構成比設定.ランチ比率,-,月次予算設定.年間フード売上ランチ,既存(V89/V69),309
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_フード売上ディナー,,,,L1,同画面内,-,年間予算_フード売上 計 × 売上構成比設定.ディナー比率,-,月次予算設定.年間フード売上ディナー,既存(V89/V69),310
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_ドリンク売上 計,,,,L1,同画面内,-,年間予算_総売上 計 × 売上構成比設定.ドリンク構成比,-,月次予算設定.年間ドリンク売上,既存(V89/V69),311
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_ドリンク売上ランチ,,,,L1,同画面内,-,年間予算_ドリンク売上 計 × 売上構成比設定.ランチ比率,-,月次予算設定.年間ドリンク売上ランチ,既存(V89/V69),312
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_ドリンク売上ディナー,,,,L1,同画面内,-,年間予算_ドリンク売上 計 × 売上構成比設定.ディナー比率,-,月次予算設定.年間ドリンク売上ディナー,既存(V89/V69),313
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_その他売上 計（サービス料等）,,,,L1,同画面内,-,年間予算_総売上 計 × 売上構成比設定.その他構成比,-,月次予算設定.年間その他売上（サービス料等）,既存(V89/V69),314
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_その他売上ランチ,,,,L1,同画面内,-,年間予算_その他売上 計 × 売上構成比設定.ランチ比率,-,月次予算設定.年間その他売上ランチ,既存(V89/V69),315
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_その他売上ディナー,,,,L1,同画面内,-,年間予算_その他売上 計 × 売上構成比設定.ディナー比率,-,月次予算設定.年間その他売上ディナー,既存(V89/V69),316
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_FD仕入 計,,,,L1,同画面内,-,SUM(monthly_budgets.target_sales × monthly_budgets.food_cost_rate) GROUP BY year,-,月次予算設定.年間FD仕入,既存(V89/V69),318
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_フード仕入,,,,L1,同画面内,-,年間予算_FD仕入 計 × FD構成比設定.フード比率,-,月次予算設定.年間フード仕入,既存(V89/V69),319
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_ドリンク仕入,,,,L1,同画面内,-,年間予算_FD仕入 計 × FD構成比設定.ドリンク比率,-,月次予算設定.年間ドリンク仕入,既存(V89/V69),320
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_人件費 計,,,,L1,同画面内,-,SUM(monthly_budgets.target_sales × monthly_budgets.labor_cost_rate + 固定人件費) GROUP BY year,-,月次予算設定.年間人件費,既存(V89/V69),321
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_PA人件費,,,,L1,同画面内,-,SUM(monthly_budgets.target_sales × monthly_budgets.labor_cost_rate) GROUP BY year,-,月次予算設定.年間PA人件費,既存(V89/V69),323
2次,本部管理者,店舗ラベル別サマリー,ダッシュボード表示画面,,売上目標,,,,L1,同画面内,店舗ラベルでグルーピングした主要指標サマリー。売上・コスト等の集計ディメンション,マスタ参照,-,[入力]monthly_budgets.profit,既存(V89/V69),190
2次,本部管理者,店舗別サマリー,ダッシュボード表示画面,,売上目標,,,,L1,同画面内,店舗ごとの主要指標サマリー,マスタ参照,-,[入力]monthly_budgets.profit,既存(V89/V69),197
2次,本部管理者,店舗別人件費,分析画面,,売上（税込）,,,,L1,同画面内,店舗別の人件費・売上分析,SUM支払別,-,[外部]TTEND.sales,既存(V89/V69),121
2次,本部管理者,店舗別人件費,分析画面,,売上比率,,,,L1,同画面内,店舗別の人件費・売上分析,支払÷総売上×100,-,当月実績.売上（税抜）,既存(V89/V69),122
2次,本部管理者,店舗別人件費,分析画面,,売上（税込）,,,,L1,同画面内,店舗別の人件費・売上分析,日別集計,-,[外部]ZTOTAL.sales,既存(V89/V69),128
2次,本部管理者,店舗別人件費,分析画面,,売上（税抜）,,,,L1,同画面内,店舗別の人件費・売上分析,日別集計,-,[外部]ZTOTAL.sales_excluded,既存(V89/V69),129
2次,本部管理者,店舗別人件費,分析画面,,仕入（税込）,,,,L1,同画面内,店舗別の人件費・売上分析,日別集計,-,[外部]trade_total.total,既存(V89/V69),130
2次,本部管理者,店舗別人件費,分析画面,,仕入（税抜）,,,,L1,同画面内,店舗別の人件費・売上分析,日別集計,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),131
2次,本部管理者,店舗別人件費,分析画面,,PA人件費,,,,L1,同画面内,店舗別の人件費・売上分析,日別集計,-,[外部]head_office_employee_working_records.daily_cost,既存(V89/V69),132
2次,本部管理者,店舗別人件費,分析画面,,売上（税抜）,,,,L1,同画面内,店舗別の人件費・売上分析,日別集計,-,[外部]ZTOTAL.sales_excluded,既存(V89/V69),133
2次,本部管理者,店舗別人件費,分析画面,,仕入費,,,,L1,同画面内,店舗別の人件費・売上分析,日別集計,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),134
2次,本部管理者,店舗別人件費,分析画面,,PA人件費,,,,L1,同画面内,店舗別の人件費・売上分析,日別集計,-,[外部]head_office_connected_service_labor_costs_logs.labor_costs,既存(V89/V69),135
2次,本部管理者,店舗別人件費,分析画面,,ランチ売上（税抜）,,,,L1,同画面内,店舗別の人件費・売上分析,SUM(時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),136
2次,本部管理者,店舗別人件費,分析画面,,ディナー売上（税抜）,,,,L1,同画面内,店舗別の人件費・売上分析,SUM(時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),137
2次,本部管理者,店舗別人件費,分析画面,,客数,,,,L1,同画面内,店舗別の人件費・売上分析,SUM時間帯別,-,[外部]ZTOTAL.customers,既存(V89/V69),138
2次,本部管理者,店舗別人件費,分析画面,,客単価（税抜）,,,,L1,同画面内,店舗別の人件費・売上分析,売上÷客数,-,"当月実績.売上（税抜）, 時間帯別売上分析.客数",既存(V89/V69),139
2次,本部管理者,当月実績,ダッシュボード表示画面,,営業利益予算,,,,L1,同画面内,当月の実績サマリー,参照表示,-,SUM(紐づく店舗.月次予算設定.営業利益予算),既存(V89/V69),207
2次,本部管理者,当月実績,ダッシュボード表示画面,,売上予算,,,,L1,同画面内,当月の実績サマリー,参照表示,-,SUM(紐づく店舗.月次予算設定.売上予算),既存(V89/V69),209
2次,本部管理者,支払方法別分析,分析画面,,支払方法,,,,L1,同画面内,支払方法別の売上分析,マスタ参照,-,[外部]TTEND.head_office_payment_method_id,既存(V89/V69),120
2次,本部管理者,支払方法別分析,分析画面,,クレジットカード合計売上,,,,L1,同画面内,支払方法別の売上分析,SUM(支払種別フィルタ),-,[外部]TTEND.sales,既存(V89/V69),123
2次,本部管理者,支払方法別分析,分析画面,,QR決済合計売上,,,,L1,同画面内,支払方法別の売上分析,SUM(支払種別フィルタ),-,[外部]TTEND.sales,既存(V89/V69),124
2次,本部管理者,支払方法別分析,分析画面,,MUGENファミリーカード合計売上,,,,L1,同画面内,支払方法別の売上分析,SUM(支払種別フィルタ),-,[外部]TTEND.sales,既存(V89/V69),125
2次,本部管理者,支払方法別分析,分析画面,,売掛合計売上,,,,L1,同画面内,支払方法別の売上分析,SUM(支払種別フィルタ),-,[外部]TTEND.sales,既存(V89/V69),126
2次,本部管理者,支払方法別分析,分析画面,,交通系IC合計売上,,,,L1,同画面内,支払方法別の売上分析,SUM(支払種別フィルタ),-,[外部]TTEND.sales,既存(V89/V69),127
2次,本部管理者,曜日別分析,分析画面,,曜日,,,,L1,同画面内,曜日別の売上・客数分析,曜日抽出,-,[外部]ZTOTAL.date,既存(V89/V69),140
2次,本部管理者,曜日別分析,分析画面,,平均売上（税抜）,,,,L1,同画面内,曜日別の売上・客数分析,AVG曜日別,-,"日次推移.売上（税抜）, 日次推移.売上（税抜）",既存(V89/V69),141
2次,本部管理者,曜日別分析,分析画面,,平均客数,,,,L1,同画面内,曜日別の売上・客数分析,AVG曜日別,-,時間帯別売上分析.客数,既存(V89/V69),142
2次,本部管理者,曜日別分析,分析画面,,平均客数（税抜）,,,,L1,同画面内,曜日別の売上・客数分析,AVG曜日別,-,時間帯別売上分析.客数,既存(V89/V69),143
2次,本部管理者,月次レポート,分析画面,,原価率,,,,L1,同画面内,月次の経営レポート,原価÷売上×100,-,当月実績.売上（税抜）,既存(V89/V69),145
2次,本部管理者,月次レポート,分析画面,,仕入総額,,,,L1,同画面内,月次の経営レポート,SUM,-,[外部]tax_excluded_total.amount,既存(V89/V69),147
2次,本部管理者,月次レポート,分析画面,,売上合計（税抜）,,,,L1,同画面内,月次の経営レポート,SUM月間,-,[外部]ZTOTAL.sales_excluded,既存(V89/V69),150
2次,本部管理者,費目別仕入分析,分析画面,,金額（税抜）,,,,L1,同画面内,費目別の仕入分析,SUM費目別,-,-,既存(V89/V69),152
3次,本部管理者,予実対比,分析画面,,,営業利益,,,L2-C,全店舗(画面内),予算と実績の対比分析,売上-仕入-人件費-経費,-,"当月実績.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",既存(V89/V69),87
3次,本部管理者,商品仕入単価,一覧表示画面,,,アイテム,,,L2-C,全店舗(画面内),商品仕入単価の一覧,参照表示,-,[外部]detail_list.item_name,既存(V89/V69),162
3次,本部管理者,商品仕入単価,一覧表示画面,,,金額（税抜）,,,L2-C,全店舗(画面内),商品仕入単価の一覧,参照表示,-,[外部]detail_list.price,既存(V89/V69),163
3次,本部管理者,商品仕入単価,一覧表示画面,,,数量,,,L2-C,全店舗(画面内),商品仕入単価の一覧,参照表示,-,[外部]detail_list.num,既存(V89/V69),164
3次,本部管理者,商品仕入単価,一覧表示画面,,,単価,,,L2-C,全店舗(画面内),商品仕入単価の一覧,参照表示,-,商品仕入単価.数量,既存(V89/V69),165
3次,本部管理者,平均単価推移,分析画面,,,平均単価推移,,,L2-C,全店舗(画面内),平均単価の推移分析,直近6ヶ月の平均単価推移,-,平均単価推移.平均単価,既存(V89/V69),86
3次,本部管理者,年間予実対比,分析画面,,,月次実績_FLコスト 計,,,L2-S,単店舗(画面内),-,月次実績_FD仕入 計 + 月次実績_人件費 計,-,"年間予実対比.月次実績_FD仕入 計, 年間予実対比.月次実績_人件費 計",既存(V89/V69),257
3次,本部管理者,年間予実対比,分析画面,,,月次実績_営業利益,,,L2-S,単店舗(画面内),-,月次実績_総売上 計 - 月次実績_FLコスト 計 - 月次実績_その他経費 計,-,"年間予実対比.月次実績_総売上 計, 年間予実対比.月次実績_FLコスト 計, 年間予実対比.月次実績_その他経費 計",既存(V89/V69),261
3次,本部管理者,年間予実対比,分析画面,,,月次予算_FLコスト 計,,,L2-S,単店舗(画面内),-,月次予算_FD仕入 計 + 月次予算_人件費 計,-,"年間予実対比.月次予算_FD仕入 計, 年間予実対比.月次予算_人件費 計",既存(V89/V69),266
3次,本部管理者,年間予実対比,分析画面,,,月次予算_営業利益,,,L2-S,単店舗(画面内),-,月次予算_総売上 計 - 月次予算_FLコスト 計 - 月次予算_その他経費 計,-,"年間予実対比.月次予算_総売上 計, 年間予実対比.月次予算_FLコスト 計, 年間予実対比.月次予算_その他経費 計",既存(V89/V69),270
3次,本部管理者,年間予実対比,分析画面,,,予算構成比_総売上 計,,,L2-S,単店舗(画面内),-,月次予算_総売上 計 ÷ 月次予算_総売上 計 × 100,-,年間予実対比.月次予算_総売上 計,既存(V89/V69),271
3次,本部管理者,年間予実対比,分析画面,,,予算構成比_フード売上 計,,,L2-S,単店舗(画面内),-,月次予算_フード売上 計 ÷ 月次予算_総売上 計 × 100,-,"年間予実対比.月次予算_フード売上 計, 年間予実対比.月次予算_総売上 計",既存(V89/V69),272
3次,本部管理者,年間予実対比,分析画面,,,予算構成比_ドリンク売上 計,,,L2-S,単店舗(画面内),-,月次予算_ドリンク売上 計 ÷ 月次予算_総売上 計 × 100,-,"年間予実対比.月次予算_ドリンク売上 計, 年間予実対比.月次予算_総売上 計",既存(V89/V69),273
3次,本部管理者,年間予実対比,分析画面,,,予算構成比_その他売上 計,,,L2-S,単店舗(画面内),-,月次予算_その他売上 計 ÷ 月次予算_総売上 計 × 100,-,"年間予実対比.月次予算_その他売上 計, 年間予実対比.月次予算_総売上 計",既存(V89/V69),274
3次,本部管理者,年間予実対比,分析画面,,,予算構成比_FLコスト 計,,,L2-S,単店舗(画面内),-,月次予算_FLコスト 計 ÷ 月次予算_総売上 計 × 100,-,"年間予実対比.月次予算_FLコスト 計, 年間予実対比.月次予算_総売上 計",既存(V89/V69),275
3次,本部管理者,年間予実対比,分析画面,,,予算構成比_FD仕入 計,,,L2-S,単店舗(画面内),-,月次予算_FD仕入 計 ÷ 月次予算_総売上 計 × 100,-,"年間予実対比.月次予算_FD仕入 計, 年間予実対比.月次予算_総売上 計",既存(V89/V69),276
3次,本部管理者,年間予実対比,分析画面,,,予算構成比_人件費 計,,,L2-S,単店舗(画面内),-,月次予算_人件費 計 ÷ 月次予算_総売上 計 × 100,-,"年間予実対比.月次予算_人件費 計, 年間予実対比.月次予算_総売上 計",既存(V89/V69),277
3次,本部管理者,年間予実対比,分析画面,,,予算構成比_その他経費 計,,,L2-S,単店舗(画面内),-,月次予算_その他経費 計 ÷ 月次予算_総売上 計 × 100,-,"年間予実対比.月次予算_その他経費 計, 年間予実対比.月次予算_総売上 計",既存(V89/V69),278
3次,本部管理者,年間予実対比,分析画面,,,予算構成比_営業利益,,,L2-S,単店舗(画面内),-,月次予算_営業利益 ÷ 月次予算_総売上 計 × 100,-,"年間予実対比.月次予算_営業利益, 年間予実対比.月次予算_総売上 計",既存(V89/V69),279
3次,本部管理者,年間予実対比,分析画面,,,予実差額_総売上 計,,,L2-S,単店舗(画面内),-,月次実績_総売上 計 - 月次予算_総売上 計,-,"年間予実対比.月次実績_総売上 計, 年間予実対比.月次予算_総売上 計",既存(V89/V69),280
3次,本部管理者,年間予実対比,分析画面,,,予実差額_フード売上 計,,,L2-S,単店舗(画面内),-,月次実績_フード売上 計 - 月次予算_フード売上 計,-,"年間予実対比.月次実績_フード売上 計, 年間予実対比.月次予算_フード売上 計",既存(V89/V69),281
3次,本部管理者,年間予実対比,分析画面,,,予実差額_ドリンク売上 計,,,L2-S,単店舗(画面内),-,月次実績_ドリンク売上 計 - 月次予算_ドリンク売上 計,-,"年間予実対比.月次実績_ドリンク売上 計, 年間予実対比.月次予算_ドリンク売上 計",既存(V89/V69),282
3次,本部管理者,年間予実対比,分析画面,,,予実差額_その他売上 計,,,L2-S,単店舗(画面内),-,月次実績_その他売上 計 - 月次予算_その他売上 計,-,"年間予実対比.月次実績_その他売上 計, 年間予実対比.月次予算_その他売上 計",既存(V89/V69),283
3次,本部管理者,年間予実対比,分析画面,,,予実差額_FLコスト 計,,,L2-S,単店舗(画面内),-,月次実績_FLコスト 計 - 月次予算_FLコスト 計,-,"年間予実対比.月次実績_FLコスト 計, 年間予実対比.月次予算_FLコスト 計",既存(V89/V69),284
3次,本部管理者,年間予実対比,分析画面,,,予実差額_FD仕入 計,,,L2-S,単店舗(画面内),-,月次実績_FD仕入 計 - 月次予算_FD仕入 計,-,"年間予実対比.月次実績_FD仕入 計, 年間予実対比.月次予算_FD仕入 計",既存(V89/V69),285
3次,本部管理者,年間予実対比,分析画面,,,予実差額_人件費 計,,,L2-S,単店舗(画面内),-,月次実績_人件費 計 - 月次予算_人件費 計,-,"年間予実対比.月次実績_人件費 計, 年間予実対比.月次予算_人件費 計",既存(V89/V69),286
3次,本部管理者,年間予実対比,分析画面,,,予実差額_その他経費 計,,,L2-S,単店舗(画面内),-,月次実績_その他経費 計 - 月次予算_その他経費 計,-,"年間予実対比.月次実績_その他経費 計, 年間予実対比.月次予算_その他経費 計",既存(V89/V69),287
3次,本部管理者,年間予実対比,分析画面,,,予実差額_営業利益,,,L2-S,単店舗(画面内),-,月次実績_営業利益 - 月次予算_営業利益,-,"年間予実対比.月次実績_営業利益, 年間予実対比.月次予算_営業利益",既存(V89/V69),288
3次,本部管理者,年間予実対比,分析画面,,,予算対比率_総売上 計,,,L2-S,単店舗(画面内),-,月次実績_総売上 計 ÷ 月次予算_総売上 計 × 100,-,"年間予実対比.月次実績_総売上 計, 年間予実対比.月次予算_総売上 計",既存(V89/V69),289
3次,本部管理者,年間予実対比,分析画面,,,予算対比率_フード売上 計,,,L2-S,単店舗(画面内),-,月次実績_フード売上 計 ÷ 月次予算_フード売上 計 × 100,-,"年間予実対比.月次実績_フード売上 計, 年間予実対比.月次予算_フード売上 計",既存(V89/V69),290
3次,本部管理者,年間予実対比,分析画面,,,予算対比率_ドリンク売上 計,,,L2-S,単店舗(画面内),-,月次実績_ドリンク売上 計 ÷ 月次予算_ドリンク売上 計 × 100,-,"年間予実対比.月次実績_ドリンク売上 計, 年間予実対比.月次予算_ドリンク売上 計",既存(V89/V69),291
3次,本部管理者,年間予実対比,分析画面,,,予算対比率_その他売上 計,,,L2-S,単店舗(画面内),-,月次実績_その他売上 計 ÷ 月次予算_その他売上 計 × 100,-,"年間予実対比.月次実績_その他売上 計, 年間予実対比.月次予算_その他売上 計",既存(V89/V69),292
3次,本部管理者,年間予実対比,分析画面,,,予算対比率_FLコスト 計,,,L2-S,単店舗(画面内),-,月次実績_FLコスト 計 ÷ 月次予算_FLコスト 計 × 100,-,"年間予実対比.月次実績_FLコスト 計, 年間予実対比.月次予算_FLコスト 計",既存(V89/V69),293
3次,本部管理者,年間予実対比,分析画面,,,予算対比率_FD仕入 計,,,L2-S,単店舗(画面内),-,月次実績_FD仕入 計 ÷ 月次予算_FD仕入 計 × 100,-,"年間予実対比.月次実績_FD仕入 計, 年間予実対比.月次予算_FD仕入 計",既存(V89/V69),294
3次,本部管理者,年間予実対比,分析画面,,,予算対比率_人件費 計,,,L2-S,単店舗(画面内),-,月次実績_人件費 計 ÷ 月次予算_人件費 計 × 100,-,"年間予実対比.月次実績_人件費 計, 年間予実対比.月次予算_人件費 計",既存(V89/V69),295
3次,本部管理者,年間予実対比,分析画面,,,予算対比率_その他経費 計,,,L2-S,単店舗(画面内),-,月次実績_その他経費 計 ÷ 月次予算_その他経費 計 × 100,-,"年間予実対比.月次実績_その他経費 計, 年間予実対比.月次予算_その他経費 計",既存(V89/V69),296
3次,本部管理者,年間予実対比,分析画面,,,予算対比率_営業利益,,,L2-S,単店舗(画面内),-,月次実績_営業利益 ÷ 月次予算_営業利益 × 100,-,"年間予実対比.月次実績_営業利益, 年間予実対比.月次予算_営業利益",既存(V89/V69),297
3次,本部管理者,年間予実対比,分析画面,,,構成比_総売上 計,,,L2-S,単店舗(画面内),-,月次実績_総売上 計 ÷ 月次実績_総売上 計 × 100,-,年間予実対比.月次実績_総売上 計,既存(V89/V69),298
3次,本部管理者,年間予実対比,分析画面,,,構成比_フード売上 計,,,L2-S,単店舗(画面内),-,月次実績_フード売上 計 ÷ 月次実績_総売上 計 × 100,-,"年間予実対比.月次実績_フード売上 計, 年間予実対比.月次実績_総売上 計",既存(V89/V69),299
3次,本部管理者,年間予実対比,分析画面,,,構成比_ドリンク売上 計,,,L2-S,単店舗(画面内),-,月次実績_ドリンク売上 計 ÷ 月次実績_総売上 計 × 100,-,"年間予実対比.月次実績_ドリンク売上 計, 年間予実対比.月次実績_総売上 計",既存(V89/V69),300
3次,本部管理者,年間予実対比,分析画面,,,構成比_その他売上 計,,,L2-S,単店舗(画面内),-,月次実績_その他売上 計 ÷ 月次実績_総売上 計 × 100,-,"年間予実対比.月次実績_その他売上 計, 年間予実対比.月次実績_総売上 計",既存(V89/V69),301
3次,本部管理者,年間予実対比,分析画面,,,構成比_FLコスト 計,,,L2-S,単店舗(画面内),-,月次実績_FLコスト 計 ÷ 月次実績_総売上 計 × 100,-,"年間予実対比.月次実績_FLコスト 計, 年間予実対比.月次実績_総売上 計",既存(V89/V69),302
3次,本部管理者,年間予実対比,分析画面,,,構成比_FD仕入 計,,,L2-S,単店舗(画面内),-,月次実績_FD仕入 計 ÷ 月次実績_総売上 計 × 100,-,"年間予実対比.月次実績_FD仕入 計, 年間予実対比.月次実績_総売上 計",既存(V89/V69),303
3次,本部管理者,年間予実対比,分析画面,,,構成比_人件費 計,,,L2-S,単店舗(画面内),-,月次実績_人件費 計 ÷ 月次実績_総売上 計 × 100,-,"年間予実対比.月次実績_人件費 計, 年間予実対比.月次実績_総売上 計",既存(V89/V69),304
3次,本部管理者,年間予実対比,分析画面,,,構成比_その他経費 計,,,L2-S,単店舗(画面内),-,月次実績_その他経費 計 ÷ 月次実績_総売上 計 × 100,-,"年間予実対比.月次実績_その他経費 計, 年間予実対比.月次実績_総売上 計",既存(V89/V69),305
3次,本部管理者,年間予実対比,分析画面,,,構成比_営業利益,,,L2-S,単店舗(画面内),-,月次実績_営業利益 ÷ 月次実績_総売上 計 × 100,-,"年間予実対比.月次実績_営業利益, 年間予実対比.月次実績_総売上 計",既存(V89/V69),306
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間実績_FLコスト 計,,,L2-S,単店舗(画面内),-,SUM,-,-,既存(V89/V69),217
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間実績_営業利益,,,L2-S,単店舗(画面内),-,売上-FLコスト-経費,-,-,既存(V89/V69),232
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算_FLコスト 計,,,L2-S,単店舗(画面内),-,年間予算_FD仕入 計 + 年間予算_人件費 計,-,"年間予実対比（予実対比）.年間予算_FD仕入 計, 年間予実対比（予実対比）.年間予算_人件費 計",既存(V89/V69),317
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予算_営業利益,,,L2-S,単店舗(画面内),-,年間予算_総売上 計 - 年間予算_FLコスト 計 - 年間予算_その他経費 計,-,"年間予実対比（予実対比）.年間予算_総売上 計, 年間予実対比（予実対比）.年間予算_FLコスト 計, 年間予実対比（予実対比）.年間予算_その他経費 計",既存(V89/V69),342
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_総売上 計,,,L2-S,単店舗(画面内),-,年間実績_総売上 計 - 年間予算_総売上 計,-,"年間予実対比（予実対比）.年間実績_総売上 計, 年間予実対比（予実対比）.年間予算_総売上 計",既存(V89/V69),343
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_フード売上 計,,,L2-S,単店舗(画面内),-,年間実績_フード売上 計 - 年間予算_フード売上 計,-,"年間予実対比（予実対比）.年間実績_フード売上 計, 年間予実対比（予実対比）.年間予算_フード売上 計",既存(V89/V69),344
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_フード売上ランチ,,,L2-S,単店舗(画面内),-,年間実績_フード売上ランチ - 年間予算_フード売上ランチ,-,"年間予実対比（予実対比）.年間実績_フード売上ランチ, 年間予実対比（予実対比）.年間予算_フード売上ランチ",既存(V89/V69),345
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_フード売上ディナー,,,L2-S,単店舗(画面内),-,年間実績_フード売上ディナー - 年間予算_フード売上ディナー,-,"年間予実対比（予実対比）.年間実績_フード売上ディナー, 年間予実対比（予実対比）.年間予算_フード売上ディナー",既存(V89/V69),346
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_ドリンク売上 計,,,L2-S,単店舗(画面内),-,年間実績_ドリンク売上 計 - 年間予算_ドリンク売上 計,-,"年間予実対比（予実対比）.年間実績_ドリンク売上 計, 年間予実対比（予実対比）.年間予算_ドリンク売上 計",既存(V89/V69),347
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_ドリンク売上ランチ,,,L2-S,単店舗(画面内),-,年間実績_ドリンク売上ランチ - 年間予算_ドリンク売上ランチ,-,"年間予実対比（予実対比）.年間実績_ドリンク売上ランチ, 年間予実対比（予実対比）.年間予算_ドリンク売上ランチ",既存(V89/V69),348
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_ドリンク売上ディナー,,,L2-S,単店舗(画面内),-,年間実績_ドリンク売上ディナー - 年間予算_ドリンク売上ディナー,-,"年間予実対比（予実対比）.年間実績_ドリンク売上ディナー, 年間予実対比（予実対比）.年間予算_ドリンク売上ディナー",既存(V89/V69),349
3次,本部管理者,年間予実対比（予実対比）,分析画面,,,年間予実差額_その他売上 計,,,L2-S,単店舗(画面内),-,年間実績_その他売上 計 - 年間予算_その他売上 計,-,"年間予実対比（予実対比）.年間実績_その他売上 計, 年間予実対比（予実対比）.年間予算_その他売上 計",既存(V89/V69),350
