59,分析画面,予実対比,FD仕入,L0,A,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUMFD,"SUM(infomart_transactions.total_tax_excluded) WHERE category IN ('フード', 'ドリンク')",-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,"主要KPI指標.営業利益率, 年間予実対比.営業利益, 店舗ラベル別サマリー.FD仕入率, 店舗ラベル別サマリー.営業利益, 店舗別サマリー.FD仕入率, 店舗別サマリー.営業利益, 当月実績.FD仕入率, 当月実績.FL率, 当月実績.営業利益",infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 予実対比.FD仕入,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,仕入データのFD分類方法が不明,インフォマートのカテゴリ分類を確認必要,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
60,分析画面,予実対比,フード仕入,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUMフード,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'フード',-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 予実対比.フード仕入,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
61,分析画面,予実対比,ドリンク仕入,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUMドリンク,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'ドリンク',-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 予実対比.ドリンク仕入,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
62,分析画面,予実対比,人件費,L0,A,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM,SUM(head_office_connected_service_labor_costs_logs.labor_costs),-,head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs,head_office_connected_service_labor_costs_logs.labor_costs,勤怠（KOT/ジョブカン）,[外部]head_office_connected_service_labor_costs_logs.labor_costs,"主要KPI指標.営業利益率, 年間予実対比.営業利益, 店舗ラベル別サマリー.人件費率, 店舗ラベル別サマリー.営業利益, 店舗別サマリー.人件費率, 店舗別サマリー.営業利益, 店舗別人件費, 当月実績.FL率, 当月実績.人件費率, 当月実績.営業利益",head_office_connected_service_labor_costs_logs.labor_costs → head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs → 予実対比.人件費,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
63,分析画面,予実対比,固定人件費,L0,C,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM月給者,SUM(head_office_connected_service_labor_costs_logs.labor_costs) WHERE employee_type = '月給者',-,head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs,head_office_connected_service_labor_costs_logs.labor_costs,勤怠（KOT/ジョブカン）,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,head_office_connected_service_labor_costs_logs.labor_costs → head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs → 予実対比.固定人件費,スキーマ検証済,-,月給者の判定カラムが不明,従業員種別の判定ロジックを確認必要,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
64,分析画面,予実対比,PA人件費,L0,C,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM時給者,SUM(head_office_employee_working_records.daily_cost) WHERE employee_type = '時給者',-,head_office_employee_working_records.daily_cost,head_office_employee_working_records.daily_cost,-,[外部]head_office_employee_working_records.daily_cost,"日次推移, 日次レポート",head_office_employee_working_records.daily_cost → head_office_employee_working_records.daily_cost → 予実対比.PA人件費,外部連携検証済,データソース: KOT（勤怠・人件費）,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
65,分析画面,予実対比,その他売上（サービス料等）,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.service_charge_1),-,z_totals.service_charge_1,ZTOTAL.service_charge_1,POS売上（日別集計）,[外部]ZTOTAL.service_charge_1,-,ZTOTAL.service_charge_1 → z_totals.service_charge_1 → 予実対比.その他売上(サービス料等),外部連携検証済,データソース: POS（売上・客数）,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
66,分析画面,予実対比,その他売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 11:00 AND 15:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.その他売上ランチ,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
67,分析画面,予実対比,その他売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 17:00 AND 23:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.その他売上ディナー,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
68,分析画面,仕入別分析,仕入れ先,L0,D,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,マスタ参照,member_name_partner.client_name,-,infomart_orders.client_name,member_name_partner.client_name,-,[外部]member_name_partner.client_name,商品別仕入分析.仕入れ先,member_name_partner.client_name → infomart_orders.client_name → 仕入別分析.仕入れ先,外部連携検証済,member_name_partner.client_name → infomart_transactions.client_name,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
69,分析画面,仕入別分析,金額（税抜）,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM仕入先別,SUM(infomart_transactions.total_tax_excluded) GROUP BY client_name,-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,"仕入別分析.比率, 商品仕入単価, 商品別仕入分析, 費目別仕入分析",infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 仕入別分析.金額税抜,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
70,分析画面,仕入別分析,比率,L1,C,画面内,計算項目,外部連携×外部連携,インフォマート内の複数データ組合せ,仕入先÷総仕入×100,仕入別分析.金額税抜 ÷ SUM(仕入別分析.金額税抜) × 100,-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,-,"商品別仕入分析.比率, 費目別仕入分析.比率",infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 仕入別分析.比率,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
71,分析画面,仕入費率,目標仕入費率,L3,B,-,予算設定（入力）,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.ratio,-,"monthly_budgets.food_cost_rate（またはlabor_cost_rate）, monthly_budgets.profit",-,ユーザー入力（予算設定）,[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,-,monthly_budgets.food_cost_rate（またはlabor_cost_rate） / monthly_budgets.profit → 仕入費率.目標仕入費率,設定/入力検証済,データソース: 予算設定（入力）,-,-,表示画面,既存指標,実画面に表示されている指標（表示画面）。
72,分析画面,利益率,目標利益率,L3,S,-,予算設定（入力）,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.ratio,-,"monthly_budgets.food_cost_rate（またはlabor_cost_rate）, monthly_budgets.profit",-,ユーザー入力（予算設定）,[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,-,monthly_budgets.food_cost_rate（またはlabor_cost_rate） / monthly_budgets.profit → 利益率.目標利益率,設定/入力検証済,データソース: 予算設定（入力）,-,-,表示画面,既存指標,実画面に表示されている指標（表示画面）。
73,分析画面,商品別仕入分析,商品,L0,D,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,マスタ参照,detail_list.item_name,-,infomart_order_details.item_name,detail_list.item_name,-,[外部]detail_list.item_name,ABC分析.商品,detail_list.item_name → infomart_order_details.item_name → 商品別仕入分析.商品,外部連携検証済,detail_list.item_name → infomart_transactions.item_name,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
74,分析画面,商品別仕入分析,仕入れ先,L0,D,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,マスタ参照,member_name_partner.client_name,-,infomart_orders.client_name,member_name_partner.client_name,-,[外部]member_name_partner.client_name,仕入別分析.仕入れ先,member_name_partner.client_name → infomart_orders.client_name → 商品別仕入分析.仕入れ先,外部連携検証済,member_name_partner.client_name → infomart_transactions.client_name,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
75,分析画面,商品別仕入分析,金額（税抜）,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM商品別,SUM(detail_list.price) GROUP BY item_name,-,infomart_order_details.price,detail_list.price,-,[外部]detail_list.price,商品別仕入分析.比率,detail_list.price → infomart_order_details.price → 商品別仕入分析.金額税抜,外部連携検証済,detail_list.price → infomart_transactions.price,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
76,分析画面,商品別仕入分析,比率,L1,C,画面内,計算項目,外部連携×外部連携,インフォマート内の複数データ組合せ,商品÷総仕入×100,商品別仕入分析.金額税抜 ÷ SUM(商品別仕入分析.金額税抜) × 100,-,infomart_order_details.price,detail_list.price,-,-,"仕入別分析.比率, 費目別仕入分析.比率",detail_list.price → infomart_order_details.price → 商品別仕入分析.比率,外部連携検証済,detail_list.price → infomart_transactions.price,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
77,分析画面,商品別売上分析,商品単価（税抜）,L1,C,画面内,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷数量,商品別売上分析.売上合計税抜 ÷ 商品別売上分析.販売数量,-,"head_office_item_sales_logs.sales_excluded, head_office_item_sales_logs.quantity","TITEM.sales_excluded, TITEM.quantity",POS売上（商品別）,商品別売上分析.販売数量,ABC分析.価格,TITEM.sales_excluded / TITEM.quantity → head_office_item_sales_logs.sales_excluded / head_office_item_sales_logs.quantity → 商品別売上分析.商品単価(税抜),スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
78,分析画面,商品別売上分析,商品単価（税込）,L1,C,画面内,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷数量,商品別売上分析.売上合計税込 ÷ 商品別売上分析.販売数量,-,"t_items.sales, head_office_item_sales_logs.quantity","TITEM.sales, TITEM.quantity",POS売上（商品別）,商品別売上分析.販売数量,-,TITEM.sales / TITEM.quantity → t_items.sales / head_office_item_sales_logs.quantity → 商品別売上分析.商品単価税込,外部連携検証済,TITEM.sales → head_office_item_sales_logs.sales,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
79,分析画面,商品別売上分析,販売数量,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM商品別,SUM(TITEM.quantity) GROUP BY item_name,-,head_office_item_sales_logs.quantity,TITEM.quantity,POS売上（商品別）,[外部]TITEM.quantity,"ABC分析.販売点数, 商品別売上分析.商品単価（税抜）",TITEM.quantity → head_office_item_sales_logs.quantity → 商品別売上分析.販売数量,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
80,分析画面,客単価,当月客単価（税抜）,L1,A,画面間,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷客数,当月実績.売上（税抜） ÷ 客数.当月客数,-,"head_office_connected_service_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers","ZTOTAL.sales_excluded, ZTOTAL.customers",POS売上（日別集計）,"当月実績.売上（税抜）, 客数.当月客数",-,ZTOTAL.sales_excluded / ZTOTAL.customers → head_office_connected_service_sales_logs.sales_excluded / head_office_connected_service_sales_logs.customers → 客単価.客単価(税抜),スキーマ検証済,-,-,-,表示画面,既存指標,実画面に表示されている指標（表示画面）。
81,分析画面,客数,当月客数,L0,A,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM月別,SUM(ZTOTAL.customers) GROUP BY year_month,-,head_office_connected_service_sales_logs.customers,ZTOTAL.customers,POS売上（日別集計）,[外部]ZTOTAL.customers,年間予実対比.客単価,ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 客数.当月客数,スキーマ検証済,-,-,-,表示画面,既存指標,実画面に表示されている指標（表示画面）。
82,分析画面,平均単価推移,仕入商品ラベル,L0,D,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,ラベルマスタ,detail_list.item_name,-,infomart_order_details.item_name,detail_list.item_name,-,[外部]detail_list.item_name,商品仕入単価.アイテム,detail_list.item_name → infomart_order_details.item_name → 平均単価推移.仕入商品ラベル,外部連携検証済,detail_list.item_name → infomart_transactions.item_name,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
83,分析画面,平均単価推移,仕入金額（税抜）,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM月別,SUM(detail_list.price) GROUP BY year_month,-,infomart_order_details.price,detail_list.price,-,[外部]detail_list.price,平均単価推移.平均単価,detail_list.price → infomart_order_details.price → 平均単価推移.仕入金額(税抜),外部連携検証済,detail_list.price → infomart_transactions.price,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
84,分析画面,平均単価推移,数量,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM月別,SUM(detail_list.num) GROUP BY year_month,-,infomart_order_details.num,detail_list.num,-,[外部]detail_list.num,"商品仕入単価, 平均単価推移.平均単価",detail_list.num → infomart_order_details.num → 平均単価推移.数量,外部連携検証済,detail_list.num → infomart_transactions.num,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
85,分析画面,平均単価推移,平均単価,L1,C,画面内,計算項目,外部連携×外部連携,インフォマート内の複数データ組合せ,金額÷数量,平均単価推移.仕入金額税抜 ÷ 平均単価推移.数量,-,"infomart_order_details.price, infomart_order_details.num","detail_list.price, detail_list.num",-,平均単価推移.数量,"商品仕入単価, 平均単価推移.平均単価推移",detail_list.price / detail_list.num → infomart_order_details.price / infomart_order_details.num → 平均単価推移.平均単価,外部連携検証済,detail_list.price → infomart_transactions.price,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
86,分析画面,平均単価推移,平均単価推移,L4b,C,画面内,計算項目,演算×演算,複数の演算結果の組合せ,直近6ヶ月の平均単価推移,平均単価推移.平均単価 WHERE year_month >= NOW() - 6months,平均単価推移.平均単価,-,-,-,平均単価推移.平均単価,-,平均単価推移.平均単価 → 平均単価推移.平均単価推移(6ヶ月),演算検証済,インプット元: 平均単価推移.平均単価,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
87,分析画面,年間予実対比,営業利益,L4a,S,画面間,計算項目,複数種類混在,POS+インフォマート+KOT+費用設定の組合せ,売上-仕入-人件費-経費,当月実績.売上（税抜） - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費,-,"head_office_connected_service_sales_logs.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs, monthly_costs.value","ZTOTAL.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs","POS売上（日別集計）, インフォマート（仕入）, 勤怠（KOT/ジョブカン）, ユーザー入力（費用設定）","当月実績.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費","当月実績.営業利益, 店舗別サマリー.営業利益",ZTOTAL.sales_excluded / tax_excluded_total / head_office_connected_service_labor_costs_logs.labor_costs → head_office_connected_service_sales_logs.sales_excluded / infomart_transactions.total_tax_excluded / head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs → 年間予実対比.営業利益,スキーマ検証済,-,年間データの集計期間(1-12月 or 年度)が不明,年間集計の期間定義を確認必要,実績算出・分析画面,実績算出,実績値を算出（定義元）。予実差額や各種比率の算出に使用。
88,分析画面,年間予実対比,FD仕入額,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM年間,SUM(infomart_transactions.total_tax_excluded) GROUP BY year,-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 年間予実対比.FD仕入額,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
89,分析画面,年間予実対比,人件費額,L0,C,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM年間,SUM(head_office_connected_service_labor_costs_logs.labor_costs) GROUP BY year,-,head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs,head_office_connected_service_labor_costs_logs.labor_costs,勤怠（KOT/ジョブカン）,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,head_office_connected_service_labor_costs_logs.labor_costs → head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs → 年間予実対比.人件費額,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
90,分析画面,年間予実対比,客単価,L1,A,画面間,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷客数,当月実績.売上（税抜） ÷ 客数.当月客数,-,"head_office_connected_service_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers","ZTOTAL.sales_excluded, ZTOTAL.customers",POS売上（日別集計）,"当月実績.売上（税抜）, 客数.当月客数",-,ZTOTAL.sales_excluded / ZTOTAL.customers → head_office_connected_service_sales_logs.sales_excluded / head_office_connected_service_sales_logs.customers → 年間予実対比.客単価,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
91,分析画面,年間予実対比,客単価(ランチ),L1,A,画面間,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷客数(11-15時フィルタ),時間帯別売上分析.ランチ売上（税抜） ÷ 時間帯別売上分析.客数,-,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers","TITEM.sales_excluded, ZTOTAL.customers","POS売上（商品別）, POS売上（日別集計）","時間帯別売上分析.ランチ売上（税抜）, 時間帯別売上分析.客数",-,TITEM.sales_excluded / ZTOTAL.customers → head_office_item_sales_logs.sales_excluded / head_office_connected_service_sales_logs.customers → 年間予実対比.客単価(ランチ),スキーマ検証済,-,ランチ時間帯の客数取得方法が不明,時間帯別客数の取得ロジックを確認必要,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
92,分析画面,年間予実対比,客単価(ディナー),L1,A,画面間,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷客数(17-23時フィルタ),時間帯別売上分析.ディナー売上（税抜） ÷ 時間帯別売上分析.客数,-,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers","TITEM.sales_excluded, ZTOTAL.customers","POS売上（商品別）, POS売上（日別集計）","時間帯別売上分析.ディナー売上（税抜）, 時間帯別売上分析.客数",-,TITEM.sales_excluded / ZTOTAL.customers → head_office_item_sales_logs.sales_excluded / head_office_connected_service_sales_logs.customers → 年間予実対比.客単価(ディナー),スキーマ検証済,-,-,-,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
93,分析画面,年間予実対比,総売上　計,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.sales_excluded) GROUP BY year,-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 年間予実対比.総売上 計,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
94,分析画面,年間予実対比,フード売上 計,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMフード,SUM(ZTOTAL.sales_excluded) WHERE category = 'フード' GROUP BY year,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 年間予実対比.フード売上 計,スキーマ検証済,-,データソースがZTOTALかTITEMか不明,正確なテーブルを確認必要,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
95,分析画面,年間予実対比,ドリンク売上　計,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMドリンク,SUM(ZTOTAL.sales_excluded) WHERE category = 'ドリンク' GROUP BY year,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 年間予実対比.ドリンク売上 計,スキーマ検証済,-,データソースがZTOTALかTITEMか不明,正確なテーブルを確認必要,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
96,分析画面,年間予実対比,その他売上 計 （サービス料等）,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.service_charge_1) GROUP BY year,-,z_totals.service_charge_1,ZTOTAL.service_charge_1,POS売上（日別集計）,[外部]ZTOTAL.service_charge_1,-,ZTOTAL.service_charge_1 → z_totals.service_charge_1 → 年間予実対比.その他売上 計 (サービス料等),外部連携検証済,データソース: POS（売上・客数）,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
97,分析画面,年間予実対比,その他売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 11:00 AND 15:00 GROUP BY year,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 年間予実対比.その他売上ランチ,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
98,分析画面,年間予実対比,その他売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 17:00 AND 23:00 GROUP BY year,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 年間予実対比.その他売上ディナー,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
99,分析画面,年間予実対比,FLコスト　計,L1,C,-,計算項目,外部連携×外部連携,インフォマート仕入とKOT人件費の組合せ,SUM,SUM(tax_excluded_total) + SUM(head_office_connected_service_labor_costs_logs.labor_costs) GROUP BY year,-,"infomart_transactions.total_tax_excluded, head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs","infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs","インフォマート（仕入）, 勤怠（KOT/ジョブカン）",-,-,tax_excluded_total / head_office_connected_service_labor_costs_logs.labor_costs → infomart_transactions.total_tax_excluded / head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs → 年間予実対比.FLコスト 計,スキーマ検証済,-,FLコストの定義(FD仕入+人件費)が正しいか不明,FLコストの演算式を確認必要,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
100,分析画面,年間予実対比,FD仕入　計,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM,"SUM(tax_excluded_total) WHERE category IN ('フード', 'ドリンク') GROUP BY year",-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,tax_excluded_total → infomart_transactions.total_tax_excluded → 年間予実対比.FD仕入 計,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
101,分析画面,年間予実対比,人件費　計,L0,C,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM,SUM(head_office_connected_service_labor_costs_logs.labor_costs) GROUP BY year,-,head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs,head_office_connected_service_labor_costs_logs.labor_costs,勤怠（KOT/ジョブカン）,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,head_office_connected_service_labor_costs_logs.labor_costs → head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs → 年間予実対比.人件費 計,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
102,分析画面,年間予実対比,その他経費　計,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,SUM,SUM(monthly_costs.value) WHERE cost_type = '経費' GROUP BY year,-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 年間予実対比.その他経費 計,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,実績値を算出（定義元）。予実差額や各種比率の算出に使用。
103,分析画面,年間予実対比,ラクミー利用料,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'ラクミー利用料',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 年間予実対比.ラクミー利用料,スキーマ検証済,-,費目名が正確か不明,費目マスタで正式名称を確認必要,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
104,分析画面,年間予実対比,レジ利用料,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'レジ利用料',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 年間予実対比.レジ利用料,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出・分析,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
