次数,画面タイトル,画面タイプ,指標名,計算レイヤー,スコープ,指標タイプ,指標タイプ詳細（定義）,演算ロジック,演算式詳細,経営重要度,データソース区分,機能説明,ラクミーテーブル名.カラム名,依存先指標,被参照指標,V89No
2次,予実対比,分析画面,実績_その他売上ランチ,L1,同画面内,外部連携単独,POSデータからランチ時間帯その他売上を取得,SUM(その他×ランチ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND time_zone = 'ランチ',C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,139
2次,予実対比,分析画面,実績_その他売上ディナー,L1,同画面内,外部連携単独,POSデータからディナー時間帯その他売上を取得,SUM(その他×ディナー),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND time_zone = 'ディナー',C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,140
2次,予実対比,分析画面,実績_FD仕入 計,L1,同画面内,外部連携単独,インフォマート仕入データからFD仕入合計を取得,SUMFD,SUM(infomart_transactions.total_tax_excluded) WHERE category IN ('フード',A,インフォマート（仕入）,-,-,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,142
2次,予実対比,分析画面,実績_フード仕入,L1,同画面内,外部連携単独,インフォマート仕入データからフード仕入を取得,SUMフード,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'フード',C,インフォマート（仕入）,-,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,143
2次,予実対比,分析画面,実績_ドリンク仕入,L1,同画面内,外部連携単独,インフォマート仕入データからドリンク仕入を取得,SUMドリンク,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'ドリンク',C,インフォマート（仕入）,-,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,144
2次,予実対比,分析画面,実績_人件費 計,L1,同画面内,外部連携単独,勤怠データから人件費合計を取得,SUM,SUM(head_office_employee_working_records.daily_cost),A,KOT（勤怠・人件費）,-,head_office_employee_working_records.daily_cost,[外部]head_office_employee_working_records.daily_cost,-,145
2次,予実対比,分析画面,実績_固定人件費,L1,同画面内,外部連携単独,勤怠データから月給者人件費を取得,SUM月給者,SUM(head_office_employee_working_records.daily_cost) WHERE employee_type = '月給者',C,KOT（勤怠・人件費）,-,head_office_employee_working_records.daily_cost,[外部]head_office_employee_working_records.daily_cost,-,146
2次,予実対比,分析画面,実績_PA人件費,L1,同画面内,外部連携単独,勤怠データから時給者人件費を取得,SUM時給者,SUM(head_office_employee_working_records.daily_cost) WHERE employee_type = '時給者',A,KOT（勤怠・人件費）,-,head_office_employee_working_records.daily_cost,[外部]head_office_employee_working_records.daily_cost,-,147
2次,予実対比,分析画面,実績_ヘルプ人件費,L1,同画面内,外部連携単独,勤怠データからヘルプスタッフ人件費を取得,SUMヘルプ,SUM(head_office_employee_working_records.daily_cost) WHERE employee_type = 'ヘルプ',C,KOT（勤怠・人件費）,-,head_office_employee_working_records.daily_cost,[外部]head_office_employee_working_records.daily_cost,-,148
2次,予実対比,分析画面,実績_その他経費 計,L1,同画面内,実績入力参照,費用実績入力から経費合計を取得,SUM経費,SUM(monthly_costs.value) WHERE cost_type = '経費',B,費用実績入力,-,monthly_costs.value,[入力]monthly_costs.value,-,149
2次,予実対比,分析画面,実績_地代家賃,L1,同画面内,実績入力参照,費用実績入力から地代家賃を取得,費目別,monthly_costs.value WHERE cost_item = '地代家賃',C,費用実績入力,-,monthly_costs.value,[入力]monthly_costs.value,-,150
2次,予実対比,分析画面,実績_資材費,L1,同画面内,実績入力参照,費用実績入力から資材費を取得,費目別,monthly_costs.value WHERE cost_item = '資材費',C,費用実績入力,-,monthly_costs.value,[入力]monthly_costs.value,-,151
2次,予実対比,分析画面,実績_ラクミー利用料,L1,同画面内,実績入力参照,費用実績入力からラクミー利用料を取得,費目別,monthly_costs.value WHERE cost_item = 'ラクミー利用料',C,費用実績入力,-,monthly_costs.value,[入力]monthly_costs.value,-,152
2次,予実対比,分析画面,実績_IT費用,L1,同画面内,実績入力参照,費用実績入力からIT費用を取得,費目別,monthly_costs.value WHERE cost_item = 'IT費用',C,費用実績入力,-,monthly_costs.value,[入力]monthly_costs.value,-,153
2次,予実対比,分析画面,実績_お花代,L1,同画面内,実績入力参照,費用実績入力からお花代を取得,費目別,monthly_costs.value WHERE cost_item = 'お花代',C,費用実績入力,-,monthly_costs.value,[入力]monthly_costs.value,-,154
2次,予実対比,分析画面,実績_ガス代,L1,同画面内,実績入力参照,費用実績入力からガス代を取得,費目別,monthly_costs.value WHERE cost_item = 'ガス代',C,費用実績入力,-,monthly_costs.value,[入力]monthly_costs.value,-,155
2次,予実対比,分析画面,実績_クレジットカード手数料,L1,同画面内,実績入力参照,費用実績入力からクレジットカード手数料を取得,費目別,monthly_costs.value WHERE cost_item = 'クレジットカード手数料',C,費用実績入力,-,monthly_costs.value,[入力]monthly_costs.value,-,156
2次,予実対比,分析画面,実績_レジ利用料,L1,同画面内,実績入力参照,費用実績入力からレジ利用料を取得,費目別,monthly_costs.value WHERE cost_item = 'レジ利用料',C,費用実績入力,-,monthly_costs.value,[入力]monthly_costs.value,-,157
2次,予実対比,分析画面,実績_借入金返済,L1,同画面内,実績入力参照,費用実績入力から借入金返済を取得,費目別,monthly_costs.value WHERE cost_item = '借入金返済',C,費用実績入力,-,monthly_costs.value,[入力]monthly_costs.value,-,158
2次,予実対比,分析画面,実績_家賃（変動分）,L1,同画面内,実績入力参照,費用実績入力から家賃（変動分）を取得,費目別,monthly_costs.value WHERE cost_item = '家賃(変動分)',C,費用実績入力,-,monthly_costs.value,[入力]monthly_costs.value,-,159
2次,予実対比,分析画面,実績_水道代,L1,同画面内,実績入力参照,費用実績入力から水道代を取得,費目別,monthly_costs.value WHERE cost_item = '水道代',C,費用実績入力,-,monthly_costs.value,[入力]monthly_costs.value,-,160
2次,予実対比,分析画面,実績_水道光熱費,L1,同画面内,実績入力参照,費用実績入力から水道光熱費を取得,費目別,monthly_costs.value WHERE cost_item = '水道光熱費',C,費用実績入力,-,monthly_costs.value,[入力]monthly_costs.value,-,161
2次,予実対比,分析画面,実績_減価償却費,L1,同画面内,実績入力参照,費用実績入力から減価償却費を取得,費目別,monthly_costs.value WHERE cost_item = '減価償却費',C,費用実績入力,-,monthly_costs.value,[入力]monthly_costs.value,-,162
2次,予実対比,分析画面,実績_社員人件費,L1,同画面内,実績入力参照,費用実績入力から社員人件費を取得,費目別,monthly_costs.value WHERE cost_item = '社員人件費',C,費用実績入力,-,monthly_costs.value,[入力]monthly_costs.value,-,163
2次,予実対比,分析画面,実績_販促費,L1,同画面内,実績入力参照,費用実績入力から販促費を取得,費目別,monthly_costs.value WHERE cost_item = '販促費',C,費用実績入力,-,monthly_costs.value,[入力]monthly_costs.value,-,164
2次,予実対比,分析画面,実績_電気代,L1,同画面内,実績入力参照,費用実績入力から電気代を取得,費目別,monthly_costs.value WHERE cost_item = '電気代',C,費用実績入力,-,monthly_costs.value,[入力]monthly_costs.value,-,165
2次,予実対比,分析画面,予算_総売上 計,L1,同画面内,予算設定参照×演算,月次予算設定.売上÷営業日数×経過日数,月次予算設定.売上（税抜） ÷ 営業日数 × 経過日数,monthly_budgets.target_sales / 営業日数 × 経過日数,A,計算項目,-,monthly_budgets.target_sales,月次予算設定.総売上,-,167
2次,予実対比,分析画面,予算_フード売上 計,L1,同画面内,予算設定参照×演算,予算_総売上×フード構成比,予算_総売上 計 × 売上構成比設定.フード構成比,予算_総売上 × food_ratio,B,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.food_ratio",月次予算設定.フード売上,-,168
2次,予実対比,分析画面,予算_フード売上ランチ,L1,同画面内,予算設定参照×演算,予算_フード売上×ランチ比率,予算_フード売上 計 × 売上構成比設定.ランチ比率,予算_フード売上 × lunch_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.lunch_ratio",月次予算設定.フード売上ランチ,-,169
2次,予実対比,分析画面,予算_フード売上ディナー,L1,同画面内,予算設定参照×演算,予算_フード売上×ディナー比率,予算_フード売上 計 × 売上構成比設定.ディナー比率,予算_フード売上 × dinner_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.dinner_ratio",月次予算設定.フード売上ディナー,-,170
2次,予実対比,分析画面,予算_ドリンク売上 計,L1,同画面内,予算設定参照×演算,予算_総売上×ドリンク構成比,予算_総売上 計 × 売上構成比設定.ドリンク構成比,予算_総売上 × drink_ratio,B,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.drink_ratio",月次予算設定.ドリンク売上,-,171
2次,予実対比,分析画面,予算_ドリンク売上ランチ,L1,同画面内,予算設定参照×演算,予算_ドリンク売上×ランチ比率,予算_ドリンク売上 計 × 売上構成比設定.ランチ比率,予算_ドリンク売上 × lunch_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.lunch_ratio",月次予算設定.ドリンク売上ランチ,-,172
2次,予実対比,分析画面,予算_ドリンク売上ディナー,L1,同画面内,予算設定参照×演算,予算_ドリンク売上×ディナー比率,予算_ドリンク売上 計 × 売上構成比設定.ディナー比率,予算_ドリンク売上 × dinner_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.dinner_ratio",月次予算設定.ドリンク売上ディナー,-,173
2次,予実対比,分析画面,予算_その他売上 計（サービス料等）,L1,同画面内,予算設定参照×演算,予算_総売上×その他構成比,予算_総売上 計 × 売上構成比設定.その他構成比,予算_総売上 × other_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.other_ratio",月次予算設定.その他売上（サービス料等）,-,174
2次,予実対比,分析画面,予算_その他売上ランチ,L1,同画面内,予算設定参照×演算,予算_その他売上×ランチ比率,予算_その他売上 計 × 売上構成比設定.ランチ比率,予算_その他売上 × lunch_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.lunch_ratio",月次予算設定.その他売上ランチ,-,175
2次,予実対比,分析画面,予算_その他売上ディナー,L1,同画面内,予算設定参照×演算,予算_その他売上×ディナー比率,予算_その他売上 計 × 売上構成比設定.ディナー比率,予算_その他売上 × dinner_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.dinner_ratio",月次予算設定.その他売上ディナー,-,176
2次,予実対比,分析画面,予算_FLコスト 計,L1,同画面内,予算設定参照×演算,予算_FD仕入+予算_人件費の合計,予算_FD仕入 計 + 予算_人件費 計,FD仕入予算 + 人件費予算,A,計算項目,-,-,"予実対比.予算_FD仕入 計, 予実対比.予算_人件費 計",-,177
2次,予実対比,分析画面,予算_FD仕入 計,L1,同画面内,予算設定参照×演算,月次予算設定.売上×FD仕入比率÷営業日数×経過日数,月次予算設定.売上（税抜） × 月次予算設定.FD仕入比率 ÷ 営業日数 × 経過日数,target_sales × food_cost_rate / 営業日数 × 経過日数,A,計算項目,-,"monthly_budgets.target_sales, monthly_budgets.food_cost_rate",月次予算設定.FD仕入,-,178
2次,予実対比,分析画面,予算_フード仕入,L1,同画面内,予算設定参照×演算,予算_FD仕入×フード按分比,予算_FD仕入 計 × フード按分比,予算_FD仕入 × フード按分比,C,計算項目,-,"monthly_budgets.target_sales, monthly_budgets.food_cost_rate, budget_sales_compositions.food_ratio",月次予算設定.フード仕入,-,179
2次,予実対比,分析画面,予算_ドリンク仕入,L1,同画面内,予算設定参照×演算,予算_FD仕入×ドリンク按分比,予算_FD仕入 計 × ドリンク按分比,予算_FD仕入 × ドリンク按分比,C,計算項目,-,"monthly_budgets.target_sales, monthly_budgets.food_cost_rate, budget_sales_compositions.drink_ratio",月次予算設定.ドリンク仕入,-,180
2次,予実対比,分析画面,予算_人件費 計,L1,同画面内,予算設定参照×演算,(売上×PA人件費率+固定人件費)÷営業日数×経過日数,(月次予算設定.売上 × PA人件費率 + 固定人件費予算) ÷ 営業日数 × 経過日数,(target_sales × labor_cost_rate + 固定人件費) / 営業日数 × 経過日数,A,計算項目,-,"monthly_budgets.target_sales, monthly_budgets.labor_cost_rate, 固定人件費予算",月次予算設定.人件費,-,181
2次,予実対比,分析画面,予算_固定人件費,L1,同画面内,予算設定参照×演算,費用設定.固定人件費÷営業日数×経過日数,費用設定.固定人件費予算 ÷ 営業日数 × 経過日数,固定人件費予算 / 営業日数 × 経過日数,C,計算項目,-,monthly_costs.固定人件費,月次予算設定.固定人件費,-,182
2次,予実対比,分析画面,予算_PA人件費,L1,同画面内,予算設定参照×演算,月次予算設定.売上×PA人件費率÷営業日数×経過日数,月次予算設定.売上（税抜） × 月次予算設定.PA人件費率 ÷ 営業日数 × 経過日数,target_sales × labor_cost_rate / 営業日数 × 経過日数,A,計算項目,-,"monthly_budgets.target_sales, monthly_budgets.labor_cost_rate",月次予算設定.PA人件費,-,183
2次,予実対比,分析画面,予算_ヘルプ人件費,L1,同画面内,予算設定参照×演算,費用設定.ヘルプ人件費÷営業日数×経過日数,費用設定.ヘルプ人件費予算 ÷ 営業日数 × 経過日数,ヘルプ人件費予算 / 営業日数 × 経過日数,C,計算項目,-,monthly_costs.ヘルプ人件費,月次予算設定.ヘルプ人件費,-,184
2次,予実対比,分析画面,予算_その他経費 計,L1,同画面内,予算設定参照×演算,費用設定.その他経費合計÷営業日数×経過日数,費用設定.その他経費予算合計 ÷ 営業日数 × 経過日数,その他経費予算 / 営業日数 × 経過日数,B,計算項目,-,monthly_costs.その他経費合計,月次予算設定.その他経費,-,185
2次,予実対比,分析画面,予算_地代家賃,L1,同画面内,予算設定参照×演算,費用設定.地代家賃÷営業日数×経過日数,費用設定.地代家賃 ÷ 営業日数 × 経過日数,地代家賃 / 営業日数 × 経過日数,C,計算項目,-,monthly_costs.地代家賃,月次予算設定.地代家賃,-,186
2次,予実対比,分析画面,予算_資材費,L1,同画面内,予算設定参照×演算,費用設定.資材費÷営業日数×経過日数,費用設定.資材費 ÷ 営業日数 × 経過日数,資材費 / 営業日数 × 経過日数,C,計算項目,-,monthly_costs.資材費,月次予算設定.資材費,-,187
2次,予実対比,分析画面,予算_ラクミー利用料,L1,同画面内,予算設定参照×演算,費用設定.ラクミー利用料÷営業日数×経過日数,費用設定.ラクミー利用料 ÷ 営業日数 × 経過日数,ラクミー利用料 / 営業日数 × 経過日数,C,計算項目,-,monthly_costs.ラクミー利用料,月次予算設定.ラクミー利用料,-,188
2次,予実対比,分析画面,予算_IT費用,L1,同画面内,予算設定参照×演算,費用設定.IT費用÷営業日数×経過日数,費用設定.IT費用 ÷ 営業日数 × 経過日数,IT費用 / 営業日数 × 経過日数,C,計算項目,-,monthly_costs.IT費用,月次予算設定.IT費用,-,189
2次,予実対比,分析画面,予算_お花代,L1,同画面内,予算設定参照×演算,費用設定.お花代÷営業日数×経過日数,費用設定.お花代 ÷ 営業日数 × 経過日数,お花代 / 営業日数 × 経過日数,C,計算項目,-,monthly_costs.お花代,月次予算設定.お花代,-,190
2次,予実対比,分析画面,予算_ガス代,L1,同画面内,予算設定参照×演算,費用設定.ガス代÷営業日数×経過日数,費用設定.ガス代 ÷ 営業日数 × 経過日数,ガス代 / 営業日数 × 経過日数,C,計算項目,-,monthly_costs.ガス代,月次予算設定.ガス代,-,191
2次,予実対比,分析画面,予算_クレジットカード手数料,L1,同画面内,予算設定参照×演算,費用設定.クレジットカード手数料÷営業日数×経過日数,費用設定.クレジットカード手数料 ÷ 営業日数 × 経過日数,クレジットカード手数料 / 営業日数 × 経過日数,C,計算項目,-,monthly_costs.クレジットカード手数料,月次予算設定.クレジットカード手数料,-,192
2次,予実対比,分析画面,予算_レジ利用料,L1,同画面内,予算設定参照×演算,費用設定.レジ利用料÷営業日数×経過日数,費用設定.レジ利用料 ÷ 営業日数 × 経過日数,レジ利用料 / 営業日数 × 経過日数,C,計算項目,-,monthly_costs.レジ利用料,月次予算設定.レジ利用料,-,193
2次,予実対比,分析画面,予算_借入金返済,L1,同画面内,予算設定参照×演算,費用設定.借入金返済÷営業日数×経過日数,費用設定.借入金返済 ÷ 営業日数 × 経過日数,借入金返済 / 営業日数 × 経過日数,C,計算項目,-,monthly_costs.借入金返済,月次予算設定.借入金返済,-,194
2次,予実対比,分析画面,予算_家賃（変動分）,L1,同画面内,予算設定参照×演算,費用設定.家賃（変動分）÷営業日数×経過日数,費用設定.家賃（変動分） ÷ 営業日数 × 経過日数,家賃（変動分） / 営業日数 × 経過日数,C,計算項目,-,monthly_costs.家賃（変動分）,月次予算設定.家賃（変動分）,-,195
2次,予実対比,分析画面,予算_水道代,L1,同画面内,予算設定参照×演算,費用設定.水道代÷営業日数×経過日数,費用設定.水道代 ÷ 営業日数 × 経過日数,水道代 / 営業日数 × 経過日数,C,計算項目,-,monthly_costs.水道代,月次予算設定.水道代,-,196
2次,予実対比,分析画面,予算_水道光熱費,L1,同画面内,予算設定参照×演算,費用設定.水道光熱費÷営業日数×経過日数,費用設定.水道光熱費 ÷ 営業日数 × 経過日数,水道光熱費 / 営業日数 × 経過日数,C,計算項目,-,monthly_costs.水道光熱費,月次予算設定.水道光熱費,-,197
2次,予実対比,分析画面,予算_減価償却費,L1,同画面内,予算設定参照×演算,費用設定.減価償却費÷営業日数×経過日数,費用設定.減価償却費 ÷ 営業日数 × 経過日数,減価償却費 / 営業日数 × 経過日数,C,計算項目,-,monthly_costs.減価償却費,月次予算設定.減価償却費,-,198
2次,予実対比,分析画面,予算_社員人件費,L1,同画面内,予算設定参照×演算,費用設定.社員人件費÷営業日数×経過日数,費用設定.社員人件費 ÷ 営業日数 × 経過日数,社員人件費 / 営業日数 × 経過日数,C,計算項目,-,monthly_costs.社員人件費,月次予算設定.社員人件費,-,199
2次,予実対比,分析画面,予算_販促費,L1,同画面内,予算設定参照×演算,費用設定.販促費÷営業日数×経過日数,費用設定.販促費 ÷ 営業日数 × 経過日数,販促費 / 営業日数 × 経過日数,C,計算項目,-,monthly_costs.販促費,月次予算設定.販促費,-,200
2次,予実対比,分析画面,予算_電気代,L1,同画面内,予算設定参照×演算,費用設定.電気代÷営業日数×経過日数,費用設定.電気代 ÷ 営業日数 × 経過日数,電気代 / 営業日数 × 経過日数,C,計算項目,-,monthly_costs.電気代,月次予算設定.電気代,-,201
2次,予実対比（一覧）,一覧表示画面,その他売上（サービス料等）,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(ZTOTAL.service_charge_1),C,POS（売上・客数）,予算と実績の対比一覧,z_totals.service_charge_1,[外部]ZTOTAL.service_charge_1,-,386
2次,予実対比（一覧）,一覧表示画面,その他売上ランチ,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 11:00 AND 15:00,C,POS（売上・客数）,予算と実績の対比一覧,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,387
2次,予実対比（一覧）,一覧表示画面,その他売上ディナー,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 17:00 AND 23:00,C,POS（売上・客数）,予算と実績の対比一覧,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,388
2次,予実対比（一覧）,一覧表示画面,割引･値引等,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(ZTOTAL.discount),C,POS（売上・客数）,予算と実績の対比一覧,z_totals.discount,[外部]ZTOTAL.discount,-,389
2次,予実対比（一覧）,一覧表示画面,総売上,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(ZTOTAL.sales_excluded),C,POS（売上・客数）,予算と実績の対比一覧,head_office_connected_service_sales_logs.sales_excluded,[外部]ZTOTAL.sales_excluded,予実対比（一覧）.営業利益,390
2次,予実対比（一覧）,一覧表示画面,フード売上,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(TITEM.sales_excluded) WHERE category = 'フード',C,POS（売上・客数）,予算と実績の対比一覧,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,391
2次,予実対比（一覧）,一覧表示画面,フード売上ランチ,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 11:00 AND 15:00,C,POS（売上・客数）,予算と実績の対比一覧,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,392
2次,予実対比（一覧）,一覧表示画面,フード売上ディナー,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 17:00 AND 23:00,C,POS（売上・客数）,予算と実績の対比一覧,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,393
2次,予実対比（一覧）,一覧表示画面,ドリンク売上,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク',C,POS（売上・客数）,予算と実績の対比一覧,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,394
2次,予実対比（一覧）,一覧表示画面,ドリンク売上ランチ,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 11:00 AND 15:00,C,POS（売上・客数）,予算と実績の対比一覧,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,395
2次,予実対比（一覧）,一覧表示画面,ドリンク売上ディナー,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 17:00 AND 23:00,C,POS（売上・客数）,予算と実績の対比一覧,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,396
2次,予実対比（一覧）,一覧表示画面,FD仕入,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(infomart_transactions.total_tax_excluded) WHERE category IN ('フード' 'ドリンク'),A,インフォマート（仕入）,予算と実績の対比一覧,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,予実対比（一覧）.営業利益,397
2次,予実対比（一覧）,一覧表示画面,フード仕入,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'フード',C,インフォマート（仕入）,予算と実績の対比一覧,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,398
2次,予実対比（一覧）,一覧表示画面,ドリンク仕入,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'ドリンク',C,インフォマート（仕入）,予算と実績の対比一覧,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,399
2次,予実対比（一覧）,一覧表示画面,人件費,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(head_office_connected_service_labor_costs_logs.labor_costs),A,KOT（勤怠・人件費）,予算と実績の対比一覧,head_office_connected_service_labor_costs_logs.labor_costs,[外部]head_office_connected_service_labor_costs_logs.labor_costs,予実対比（一覧）.営業利益,400
2次,予実対比（一覧）,一覧表示画面,固定人件費,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(head_office_connected_service_labor_costs_logs.labor_costs) WHERE employee_type = '月給者',C,KOT（勤怠・人件費）,予算と実績の対比一覧,head_office_connected_service_labor_costs_logs.labor_costs,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,401
2次,予実対比（一覧）,一覧表示画面,PA人件費,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(head_office_employee_working_records.daily_cost),C,KOT（勤怠・人件費）,予算と実績の対比一覧,head_office_employee_working_records.daily_cost,[外部]head_office_employee_working_records.daily_cost,-,402
2次,予実対比（一覧）,一覧表示画面,その他経費,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,SUM経費,SUM(monthly_costs.value) WHERE cost_type = '経費',C,計算項目,予算と実績の対比一覧,monthly_costs.value,-,予実対比（一覧）.営業利益,404
2次,予実対比（一覧）,一覧表示画面,地代家賃,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=家賃,monthly_costs.value WHERE cost_item = '家賃',C,計算項目,予算と実績の対比一覧,monthly_costs.value,-,-,405
2次,予実対比（一覧）,一覧表示画面,資材費,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=資材費,monthly_costs.value WHERE cost_item = '資材費',C,計算項目,予算と実績の対比一覧,monthly_costs.value,-,-,406
2次,予算一覧（予算構成）,一覧表示画面,売上 計,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(ZTOTAL.sales_excluded),C,POS（売上・客数）,予算の構成比を一覧表示,head_office_connected_service_sales_logs.sales_excluded,[外部]ZTOTAL.sales_excluded,予算一覧（予算構成）.営業利益,408
2次,予算一覧（予算構成）,一覧表示画面,フード売上 計,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(TITEM.sales_excluded) WHERE category = 'フード',C,POS（売上・客数）,予算の構成比を一覧表示,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,409
2次,予算一覧（予算構成）,一覧表示画面,ドリンク売上 計,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク',C,POS（売上・客数）,予算の構成比を一覧表示,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,410
2次,予算一覧（予算構成）,一覧表示画面,その他売上 計（サービス料等）,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(ZTOTAL.service_charge_1),C,POS（売上・客数）,予算の構成比を一覧表示,z_totals.service_charge_1,[外部]ZTOTAL.service_charge_1,-,411
2次,予算一覧（予算構成）,一覧表示画面,FD仕入 計,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(infomart_transactions.total_tax_excluded) WHERE category IN ('フード' 'ドリンク'),C,インフォマート（仕入）,予算の構成比を一覧表示,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,413
2次,予算一覧（予算構成）,一覧表示画面,人件費 計,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(head_office_connected_service_labor_costs_logs.labor_costs),C,KOT（勤怠・人件費）,予算の構成比を一覧表示,head_office_connected_service_labor_costs_logs.labor_costs,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,414
2次,予算一覧（予算構成）,一覧表示画面,その他経費 計,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,SUM,SUM(monthly_costs.value) WHERE cost_type = '経費',C,計算項目,予算の構成比を一覧表示,monthly_costs.value,-,予算一覧（予算構成）.営業利益,415
2次,予算一覧（予算構成）,一覧表示画面,IT費,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'IT費',C,計算項目,予算の構成比を一覧表示,monthly_costs.value,-,-,416
2次,予算一覧（予算構成）,一覧表示画面,ガス代,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'ガス代',C,計算項目,予算の構成比を一覧表示,monthly_costs.value,-,-,417
2次,予算一覧（予算構成）,一覧表示画面,サービス費,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'サービス費',C,計算項目,予算の構成比を一覧表示,monthly_costs.value,-,-,418
