次数,ターゲット,画面タイトル,画面タイプ,1次指標名,2次指標名,3次指標名,4次指標名,5次指標名,計算レイヤー,スコープ,指標タイプ,指標タイプ詳細（定義）,演算ロジック,演算式詳細,経営重要度,データソース区分,機能説明,ラクミーテーブル名.カラム名,データ負荷レベル,スナップショット対象,依存先指標,被参照指標,判断基準・閾値目安,データ基盤要件,V69No/戦略No
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_その他売上ランチ,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 11:00 AND 15:00 GROUP BY year,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,中,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),215
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_その他売上ディナー,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 17:00 AND 23:00 GROUP BY year,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,中,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),216
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_FD仕入 計,,,,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUMFD,SUM(infomart_transactions.total_tax_excluded) WHERE category IN ('フード' 'ドリンク') GROUP BY year,C,インフォマート（仕入）,-,infomart_transactions.total_tax_excluded,中,◎,[外部]infomart_transactions.total_tax_excluded,-,-,既存(V89/V69),218
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_人件費 計,,,,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM,SUM(head_office_connected_service_labor_costs_logs.labor_costs) GROUP BY year,C,KOT（勤怠・人件費）,-,head_office_connected_service_labor_costs_logs.labor_costs,中,◎,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,-,既存(V89/V69),219
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_その他経費 計,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,SUM,SUM(monthly_costs.value) WHERE cost_type = '経費' GROUP BY year,C,計算項目,-,monthly_costs.value,低,◎,-,年間予実対比（予実対比）.営業利益,-,既存(V89/V69),220
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_ラクミー利用料,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'ラクミー利用料',C,計算項目,-,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),221
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_IT費用,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'IT費用',D,計算項目,-,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),222
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_お花代,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'お花代',C,計算項目,-,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),223
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_ガス代,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'ガス代',C,計算項目,-,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),224
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_クレジットカード手数料,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'クレジットカード手数料',C,計算項目,-,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),225
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_レジ利用料,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'レジ利用料',C,計算項目,-,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),226
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_借入金返済,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = '借入金返済',C,計算項目,-,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),227
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_家賃（変動分）,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = '家賃(変動分)',C,計算項目,-,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),228
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_水道代,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = '水道代',C,計算項目,-,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),229
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_社員人件費,,,,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM月給者,SUM(head_office_connected_service_labor_costs_logs.labor_costs) WHERE employee_type = '月給者',C,KOT（勤怠・人件費）,-,head_office_connected_service_labor_costs_logs.labor_costs,中,◎,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,-,既存(V89/V69),230
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_電気代,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = '電気代',C,計算項目,-,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),231
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_フード売上ランチ,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 11:00 AND 15:00 GROUP BY year,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,中,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),233
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_フード売上ディナー,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 17:00 AND 23:00 GROUP BY year,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,中,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),234
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_ドリンク売上ランチ,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 11:00 AND 15:00 GROUP BY year,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,中,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),235
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_ドリンク売上ディナー,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 17:00 AND 23:00 GROUP BY year,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,中,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),236
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_フード仕入,,,,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUMフード,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'フード' GROUP BY year,C,インフォマート（仕入）,-,infomart_transactions.total_tax_excluded,中,◎,[外部]infomart_transactions.total_tax_excluded,-,-,既存(V89/V69),237
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_ドリンク仕入,,,,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUMドリンク,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'ドリンク' GROUP BY year,C,インフォマート（仕入）,-,infomart_transactions.total_tax_excluded,中,◎,[外部]infomart_transactions.total_tax_excluded,-,-,既存(V89/V69),238
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_固定人件費,,,,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM月給者,SUM(head_office_connected_service_labor_costs_logs.labor_costs) WHERE employee_type = '月給者' GROUP BY year,C,KOT（勤怠・人件費）,-,head_office_connected_service_labor_costs_logs.labor_costs,中,◎,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,-,既存(V89/V69),239
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_PA人件費,,,,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM,SUM(head_office_employee_working_records.daily_cost) GROUP BY year,C,KOT（勤怠・人件費）,-,head_office_employee_working_records.daily_cost,中,◎,[外部]head_office_employee_working_records.daily_cost,-,-,既存(V89/V69),240
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_地代家賃,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=家賃,monthly_costs.value WHERE cost_item = '家賃' GROUP BY year,C,計算項目,-,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),242
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_資材費,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=資材費,monthly_costs.value WHERE cost_item = '資材費' GROUP BY year,C,計算項目,-,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),243
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_水道光熱費,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=水道光熱費,monthly_costs.value WHERE cost_item = '水道光熱費' GROUP BY year,C,計算項目,-,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),244
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_減価償却費,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=減価償却費,monthly_costs.value WHERE cost_item = '減価償却費' GROUP BY year,C,計算項目,-,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),245
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間実績_販促費,,,,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=販促費,monthly_costs.value WHERE cost_item = '販促費' GROUP BY year,C,計算項目,-,monthly_costs.value,低,◎,-,-,-,既存(V89/V69),246
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_総売上 計,,,,L1,同画面内,予算設定参照,月次予算設定の年間累計,SUM月次予算,SUM(monthly_budgets.target_sales) GROUP BY year,A,計算項目,-,monthly_budgets.target_sales,中,◎,月次予算設定.年間総売上,-,-,既存(V89/V69),307
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_フード売上 計,,,,L1,同画面内,予算設定参照×演算,年間予算_総売上×フード構成比,年間予算_総売上 計 × 売上構成比設定.フード構成比,年間予算 × food_ratio,B,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.food_ratio",高,◎,月次予算設定.年間フード売上,-,-,既存(V89/V69),308
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_フード売上ランチ,,,,L1,同画面内,予算設定参照×演算,年間予算_フード売上×ランチ比率,年間予算_フード売上 計 × 売上構成比設定.ランチ比率,年間予算 × lunch_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.lunch_ratio",高,◎,月次予算設定.年間フード売上ランチ,-,-,既存(V89/V69),309
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_フード売上ディナー,,,,L1,同画面内,予算設定参照×演算,年間予算_フード売上×ディナー比率,年間予算_フード売上 計 × 売上構成比設定.ディナー比率,年間予算 × dinner_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.dinner_ratio",高,◎,月次予算設定.年間フード売上ディナー,-,-,既存(V89/V69),310
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_ドリンク売上 計,,,,L1,同画面内,予算設定参照×演算,年間予算_総売上×ドリンク構成比,年間予算_総売上 計 × 売上構成比設定.ドリンク構成比,年間予算 × drink_ratio,B,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.drink_ratio",高,◎,月次予算設定.年間ドリンク売上,-,-,既存(V89/V69),311
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_ドリンク売上ランチ,,,,L1,同画面内,予算設定参照×演算,年間予算_ドリンク売上×ランチ比率,年間予算_ドリンク売上 計 × 売上構成比設定.ランチ比率,年間予算 × lunch_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.lunch_ratio",高,◎,月次予算設定.年間ドリンク売上ランチ,-,-,既存(V89/V69),312
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_ドリンク売上ディナー,,,,L1,同画面内,予算設定参照×演算,年間予算_ドリンク売上×ディナー比率,年間予算_ドリンク売上 計 × 売上構成比設定.ディナー比率,年間予算 × dinner_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.dinner_ratio",高,◎,月次予算設定.年間ドリンク売上ディナー,-,-,既存(V89/V69),313
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_その他売上 計（サービス料等）,,,,L1,同画面内,予算設定参照×演算,年間予算_総売上×その他構成比,年間予算_総売上 計 × 売上構成比設定.その他構成比,年間予算 × other_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.other_ratio",高,◎,月次予算設定.年間その他売上（サービス料等）,-,-,既存(V89/V69),314
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_その他売上ランチ,,,,L1,同画面内,予算設定参照×演算,年間予算_その他売上×ランチ比率,年間予算_その他売上 計 × 売上構成比設定.ランチ比率,年間予算 × lunch_ratio,D,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.lunch_ratio",高,◎,月次予算設定.年間その他売上ランチ,-,-,既存(V89/V69),315
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_その他売上ディナー,,,,L1,同画面内,予算設定参照×演算,年間予算_その他売上×ディナー比率,年間予算_その他売上 計 × 売上構成比設定.ディナー比率,年間予算 × dinner_ratio,D,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.dinner_ratio",高,◎,月次予算設定.年間その他売上ディナー,-,-,既存(V89/V69),316
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_FD仕入 計,,,,L1,同画面内,予算設定参照×演算,月次予算設定.売上×FD仕入比率の年間累計,SUM(monthly_budgets.target_sales × monthly_budgets.food_cost_rate) GROUP BY year,target_sales × food_cost_rate,A,計算項目,-,"monthly_budgets.target_sales, monthly_budgets.food_cost_rate",高,◎,月次予算設定.年間FD仕入,-,-,既存(V89/V69),318
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_フード仕入,,,,L1,同画面内,予算設定参照×演算,年間予算_FD仕入×フード比率,年間予算_FD仕入 計 × FD構成比設定.フード比率,FD仕入予算 × food_ratio,B,計算項目,-,"monthly_budgets.food_cost_rate, fd_compositions.food_ratio",高,◎,月次予算設定.年間フード仕入,-,-,既存(V89/V69),319
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_ドリンク仕入,,,,L1,同画面内,予算設定参照×演算,年間予算_FD仕入×ドリンク比率,年間予算_FD仕入 計 × FD構成比設定.ドリンク比率,FD仕入予算 × drink_ratio,B,計算項目,-,"monthly_budgets.food_cost_rate, fd_compositions.drink_ratio",高,◎,月次予算設定.年間ドリンク仕入,-,-,既存(V89/V69),320
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_人件費 計,,,,L1,同画面内,予算設定参照×演算,(売上×PA人件費率+固定人件費)の年間累計,SUM(monthly_budgets.target_sales × monthly_budgets.labor_cost_rate + 固定人件費) GROUP BY year,(target_sales × labor_cost_rate + 固定人件費),A,計算項目,-,"monthly_budgets.target_sales, monthly_budgets.labor_cost_rate, 固定人件費予算",高,◎,月次予算設定.年間人件費,-,-,既存(V89/V69),321
2次,本部管理者,年間予実対比（予実対比）,分析画面,,年間予算_PA人件費,,,,L1,同画面内,予算設定参照×演算,売上×PA人件費率の年間累計,SUM(monthly_budgets.target_sales × monthly_budgets.labor_cost_rate) GROUP BY year,target_sales × labor_cost_rate,B,計算項目,-,"monthly_budgets.target_sales, monthly_budgets.labor_cost_rate",高,◎,月次予算設定.年間PA人件費,-,-,既存(V89/V69),323
2次,本部管理者,店舗ラベル別サマリー,ダッシュボード表示画面,,売上目標,,,,L1,同画面内,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.value,A,予算設定（入力）,店舗ラベルでグルーピングした主要指標サマリー。売上・コスト等の集計ディメンション,monthly_budgets.profit,低,×,[入力]monthly_budgets.profit,"店舗ラベル別サマリー.売上進捗率, 店舗ラベル別サマリー.売上達成率",-,既存(V89/V69),190
2次,本部管理者,店舗別サマリー,ダッシュボード表示画面,,売上目標,,,,L1,同画面内,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.value,A,予算設定（入力）,店舗ごとの主要指標サマリー,monthly_budgets.profit,低,×,[入力]monthly_budgets.profit,"店舗別サマリー.売上進捗率, 店舗別サマリー.売上達成率, 進捗分析.売上進捗率",-,既存(V89/V69),197
2次,本部管理者,店舗別人件費,分析画面,,売上（税込）,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM支払別,SUM(TTEND.sales) GROUP BY payment_method_id,A,POS（売上・客数）,店舗別の人件費・売上分析,head_office_payment_method_sales_logs.sales,高,◎,[外部]TTEND.sales,"支払種別売上分析.売上比率, 日次レポート",-,既存(V89/V69),121
2次,本部管理者,店舗別人件費,分析画面,,売上比率,,,,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,支払÷総売上×100,支払種別売上分析.売上税込 ÷ 当月実績.売上（税抜） × 100,A,計算項目,店舗別の人件費・売上分析,"head_office_payment_method_sales_logs.sales, head_office_connected_service_sales_logs.sales_excluded",最高,◎,当月実績.売上（税抜）,-,-,既存(V89/V69),122
2次,本部管理者,店舗別人件費,分析画面,,売上（税込）,,,,L1,同画面内,外部連携単独,POSデータから単独取得,日別集計,SUM(ZTOTAL.sales) GROUP BY date,A,POS（売上・客数）,店舗別の人件費・売上分析,z_totals.sales,高,◎,[外部]ZTOTAL.sales,-,-,既存(V89/V69),128
2次,本部管理者,店舗別人件費,分析画面,,売上（税抜）,,,,L1,同画面内,外部連携単独,POSデータから単独取得,日別集計,SUM(ZTOTAL.sales_excluded) GROUP BY date,A,POS（売上・客数）,店舗別の人件費・売上分析,head_office_connected_service_sales_logs.sales_excluded,高,◎,[外部]ZTOTAL.sales_excluded,"当月実績.売上（税抜）, 店舗別サマリー.売上（税抜）, ABC分析.売上（税抜）, 日次推移.売上（税抜）",-,既存(V89/V69),129
2次,本部管理者,店舗別人件費,分析画面,,仕入（税込）,,,,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,日別集計,SUM(trade_total.total) GROUP BY date,C,インフォマート（仕入）,店舗別の人件費・売上分析,infomart_orders.trade_total,高,◎,[外部]trade_total.total,-,-,既存(V89/V69),130
2次,本部管理者,店舗別人件費,分析画面,,仕入（税抜）,,,,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,日別集計,SUM(infomart_transactions.total_tax_excluded) GROUP BY date,C,インフォマート（仕入）,店舗別の人件費・売上分析,infomart_transactions.total_tax_excluded,高,◎,[外部]infomart_transactions.total_tax_excluded,-,-,既存(V89/V69),131
2次,本部管理者,店舗別人件費,分析画面,,PA人件費,,,,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,日別集計,SUM(head_office_employee_working_records.daily_cost) GROUP BY date,C,KOT（勤怠・人件費）,店舗別の人件費・売上分析,head_office_employee_working_records.daily_cost,高,◎,[外部]head_office_employee_working_records.daily_cost,"日次推移.PA人件費, 予実対比.PA人件費",-,既存(V89/V69),132
2次,本部管理者,店舗別人件費,分析画面,,売上（税抜）,,,,L1,同画面内,外部連携単独,POSデータから単独取得,日別集計,SUM(ZTOTAL.sales_excluded) GROUP BY date,A,POS（売上・客数）,店舗別の人件費・売上分析,head_office_connected_service_sales_logs.sales_excluded,高,◎,[外部]ZTOTAL.sales_excluded,"ABC分析, 店舗別サマリー, 当月実績, 日次レポート, 曜日別売上分析.平均売上（税抜）",-,既存(V89/V69),133
2次,本部管理者,店舗別人件費,分析画面,,仕入費,,,,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,日別集計,SUM(infomart_transactions.total_tax_excluded) GROUP BY date,C,インフォマート（仕入）,店舗別の人件費・売上分析,infomart_transactions.total_tax_excluded,高,◎,[外部]infomart_transactions.total_tax_excluded,-,-,既存(V89/V69),134
2次,本部管理者,店舗別人件費,分析画面,,PA人件費,,,,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,日別集計,SUM(head_office_connected_service_labor_costs_logs.labor_costs) GROUP BY date,C,KOT（勤怠・人件費）,店舗別の人件費・売上分析,head_office_connected_service_labor_costs_logs.labor_costs,高,◎,[外部]head_office_connected_service_labor_costs_logs.labor_costs,"予実対比, 日次レポート",-,既存(V89/V69),135
2次,本部管理者,店舗別人件費,分析画面,,ランチ売上（税抜）,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(時間フィルタ),SUM(TITEM.sales_excluded) WHERE order_time BETWEEN 11:00 AND 15:00,C,POS（売上・客数）,店舗別の人件費・売上分析,head_office_item_sales_logs.sales_excluded,高,◎,[外部]TITEM.sales_excluded,年間予実対比.客単価（ランチ）,-,既存(V89/V69),136
2次,本部管理者,店舗別人件費,分析画面,,ディナー売上（税抜）,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(時間フィルタ),SUM(TITEM.sales_excluded) WHERE order_time BETWEEN 17:00 AND 23:00,C,POS（売上・客数）,店舗別の人件費・売上分析,head_office_item_sales_logs.sales_excluded,高,◎,[外部]TITEM.sales_excluded,年間予実対比.客単価（ディナー）,-,既存(V89/V69),137
2次,本部管理者,店舗別人件費,分析画面,,客数,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM時間帯別,SUM(ZTOTAL.customers) GROUP BY hour,A,POS（売上・客数）,店舗別の人件費・売上分析,head_office_connected_service_sales_logs.customers,高,◎,[外部]ZTOTAL.customers,"客数.当月客数, 年間予実対比.客単価（ディナー）, 年間予実対比.客単価（ランチ）, 時間帯別売上分析.客単価（税抜）, 曜日別売上分析.平均客数, 曜日別売上分析.平均客数（税抜）",-,既存(V89/V69),138
2次,本部管理者,店舗別人件費,分析画面,,客単価（税抜）,,,,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷客数,当月実績.売上（税抜） ÷ 時間帯別売上分析.客数,A,計算項目,店舗別の人件費・売上分析,"head_office_connected_service_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers",最高,◎,"当月実績.売上（税抜）, 時間帯別売上分析.客数",-,-,既存(V89/V69),139
2次,本部管理者,当月実績,ダッシュボード表示画面,,営業利益予算,,,,L1,同画面内,予算設定参照,月次予算設定の目標利益を参照表示,参照表示,monthly_budgets.profit,S,予算設定（入力）,当月の実績サマリー,monthly_budgets.profit,最高,◎,SUM(紐づく店舗.月次予算設定.営業利益予算),当月実績.営業利益達成率,-,既存(V89/V69),207
2次,本部管理者,当月実績,ダッシュボード表示画面,,売上予算,,,,L1,同画面内,予算設定参照,月次予算設定の目標売上を参照表示,参照表示,monthly_budgets.sales,S,予算設定（入力）,当月の実績サマリー,monthly_budgets.sales,最高,◎,SUM(紐づく店舗.月次予算設定.売上予算),当月実績.売上達成率,-,既存(V89/V69),209
2次,本部管理者,支払方法別分析,分析画面,,支払方法,,,,L1,同画面内,外部連携単独,POSデータから単独取得,マスタ参照,TTEND.head_office_payment_method_id,D,POS（売上・客数）,支払方法別の売上分析,t_tends.head_office_payment_method_id,高,◎,[外部]TTEND.head_office_payment_method_id,-,-,既存(V89/V69),120
2次,本部管理者,支払方法別分析,分析画面,,クレジットカード合計売上,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = 'クレジットカード',C,POS（売上・客数）,支払方法別の売上分析,head_office_payment_method_sales_logs.sales,高,◎,[外部]TTEND.sales,-,-,既存(V89/V69),123
2次,本部管理者,支払方法別分析,分析画面,,QR決済合計売上,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = 'QR決済',C,POS（売上・客数）,支払方法別の売上分析,head_office_payment_method_sales_logs.sales,高,◎,[外部]TTEND.sales,-,-,既存(V89/V69),124
2次,本部管理者,支払方法別分析,分析画面,,MUGENファミリーカード合計売上,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = 'MUGENファミリーカード',C,POS（売上・客数）,支払方法別の売上分析,head_office_payment_method_sales_logs.sales,高,◎,[外部]TTEND.sales,-,-,既存(V89/V69),125
2次,本部管理者,支払方法別分析,分析画面,,売掛合計売上,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = '売掛',C,POS（売上・客数）,支払方法別の売上分析,head_office_payment_method_sales_logs.sales,高,◎,[外部]TTEND.sales,-,-,既存(V89/V69),126
2次,本部管理者,支払方法別分析,分析画面,,交通系IC合計売上,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(支払種別フィルタ),SUM(TTEND.sales) WHERE payment_method = '交通系IC',C,POS（売上・客数）,支払方法別の売上分析,head_office_payment_method_sales_logs.sales,高,◎,[外部]TTEND.sales,-,-,既存(V89/V69),127
2次,本部管理者,曜日別分析,分析画面,,曜日,,,,L1,同画面内,外部連携単独,POSデータから単独取得,曜日抽出,DAYOFWEEK(ZTOTAL.date),C,POS（売上・客数）,曜日別の売上・客数分析,z_totals.date,高,◎,[外部]ZTOTAL.date,-,-,既存(V89/V69),140
2次,本部管理者,曜日別分析,分析画面,,平均売上（税抜）,,,,L1,同画面内,演算×外部連携,演算結果とPOS売上の組合せ,AVG曜日別,AVG(日次推移.売上（税抜）) GROUP BY dayofweek,C,計算項目,曜日別の売上・客数分析,-,最高,◎,"日次推移.売上（税抜）, 日次推移.売上（税抜）",-,-,既存(V89/V69),141
2次,本部管理者,曜日別分析,分析画面,,平均客数,,,,L1,同画面内,演算×外部連携,演算結果とPOS売上の組合せ,AVG曜日別,AVG(時間帯別売上分析.客数) GROUP BY dayofweek,A,計算項目,曜日別の売上・客数分析,head_office_connected_service_sales_logs.customers,最高,◎,時間帯別売上分析.客数,"時間帯別売上分析.客数, 客数.当月客数",-,既存(V89/V69),142
2次,本部管理者,曜日別分析,分析画面,,平均客数（税抜）,,,,L1,同画面内,演算×外部連携,演算結果とPOS売上の組合せ,AVG曜日別,AVG(時間帯別売上分析.客数) GROUP BY dayofweek,A,計算項目,曜日別の売上・客数分析,head_office_connected_service_sales_logs.customers,最高,◎,時間帯別売上分析.客数,-,-,既存(V89/V69),143
2次,本部管理者,月次レポート,分析画面,,原価率,,,,L1,同画面内,演算×外部連携,演算結果とPOS売上の組合せ,原価÷売上×100,月次レポート.原価金額 ÷ 当月実績.売上（税抜） × 100,A,計算項目,月次の経営レポート,z_totals.sales_excluded,最高,○,当月実績.売上（税抜）,-,-,既存(V89/V69),145
