123,分析画面,ABC分析,販売点数構成比率,L1,C,画面内,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,商品数÷総数×100,ABC分析.販売点数 ÷ SUM(ABC分析.販売点数) × 100,-,head_office_item_sales_logs.quantity,TITEM.quantity,POS売上（商品別）,ABC分析.販売点数,-,TITEM.quantity → head_office_item_sales_logs.quantity → ABC分析.販売点数構成比率,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
124,分析画面,ABC分析,価格,L1,C,画面内,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷数量,ABC分析.売上（税抜） ÷ ABC分析.販売点数,-,"head_office_item_sales_logs.sales_excluded, head_office_item_sales_logs.quantity","TITEM.sales_excluded, TITEM.quantity",POS売上（商品別）,"ABC分析.売上（税抜）, ABC分析.販売点数",-,TITEM.sales_excluded / TITEM.quantity → head_office_item_sales_logs.sales_excluded / head_office_item_sales_logs.quantity → ABC分析.価格,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
125,分析画面,FD仕入率トレンド,FD仕入率トレンド,L1,S,画面間,計算項目,外部連携×外部連携,インフォマート仕入とPOS売上の組合せ,仕入÷売上×100推移,予実対比.FD仕入 ÷ 当月実績.売上（税抜） × 100 期間推移,-,"infomart_transactions.total_tax_excluded, head_office_connected_service_sales_logs.sales_excluded","infomart_transactions.total_tax_excluded, ZTOTAL.sales_excluded","インフォマート（仕入）, POS売上（日別集計）","予実対比.FD仕入, 当月実績.売上（税抜）","FD仕入率トレンド.直近12ヶ月, FD仕入率トレンド.直近6ヶ月",tax_excluded_total / ZTOTAL.sales_excluded → infomart_transactions.total_tax_excluded / head_office_connected_service_sales_logs.sales_excluded → FD仕入率トレンド.FD仕入率トレンド,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
126,分析画面,FD仕入率トレンド,直近6ヶ月,L4b,C,画面内,計算項目,演算×演算,複数の演算結果の組合せ,6ヶ月推移,FD仕入率 直近6ヶ月トレンド,FD仕入率トレンド.FD仕入率トレンド,-,-,-,FD仕入率トレンド.FD仕入率トレンド,-,FD仕入率トレンド.FD仕入率トレンド → FD仕入率トレンド.直近6ヶ月,演算検証済,インプット元: FD仕入率トレンド.FD仕入率トレンド,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
127,分析画面,FD仕入率トレンド,直近12ヶ月,L4b,C,画面内,計算項目,演算×演算,複数の演算結果の組合せ,12ヶ月推移,FD仕入率 直近12ヶ月トレンド,FD仕入率トレンド.FD仕入率トレンド,-,-,-,FD仕入率トレンド.FD仕入率トレンド,-,FD仕入率トレンド.FD仕入率トレンド → FD仕入率トレンド.直近12ヶ月,演算検証済,インプット元: FD仕入率トレンド.FD仕入率トレンド,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
128,分析画面,FD仕入率トレンド,フード仕入比率,L1,C,画面間,計算項目,外部連携×外部連携,インフォマート仕入とPOS売上の組合せ,フード仕入÷フード売上×100,予実対比.フード仕入 ÷ 予実対比.フード売上 × 100,-,"infomart_transactions.total_tax_excluded, head_office_item_sales_logs.sales_excluded","infomart_transactions.total_tax_excluded, TITEM.sales_excluded","インフォマート（仕入）, POS売上（商品別）","予実対比.フード仕入, 予実対比.フード売上",-,tax_excluded_total / TITEM.sales_excluded → infomart_transactions.total_tax_excluded / head_office_item_sales_logs.sales_excluded → FD仕入率トレンド.フード仕入比率,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
129,分析画面,FD仕入率トレンド,ドリンク仕入比率,L1,C,画面間,計算項目,外部連携×外部連携,インフォマート仕入とPOS売上の組合せ,ドリンク仕入÷ドリンク売上×100,予実対比.ドリンク仕入 ÷ 予実対比.ドリンク売上 × 100,-,"infomart_transactions.total_tax_excluded, head_office_item_sales_logs.sales_excluded","infomart_transactions.total_tax_excluded, TITEM.sales_excluded","インフォマート（仕入）, POS売上（商品別）","予実対比.ドリンク仕入, 予実対比.ドリンク売上",-,tax_excluded_total / TITEM.sales_excluded → infomart_transactions.total_tax_excluded / head_office_item_sales_logs.sales_excluded → FD仕入率トレンド.ドリンク仕入比率,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
130,分析画面,FD分析（仕入率/原価率）,フード仕入率,L1,C,画面間,計算項目,外部連携×外部連携,インフォマート仕入とPOS売上の組合せ,フード仕入÷フード売上×100,予実対比.フード仕入 ÷ 予実対比.フード売上 × 100,-,"infomart_transactions.total_tax_excluded, head_office_item_sales_logs.sales_excluded","infomart_transactions.total_tax_excluded, TITEM.sales_excluded","インフォマート（仕入）, POS売上（商品別）","予実対比.フード仕入, 予実対比.フード売上",-,tax_excluded_total / TITEM.sales_excluded → infomart_transactions.total_tax_excluded / head_office_item_sales_logs.sales_excluded → FD分析(仕入率/原価率).フード仕入率,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
131,分析画面,FD分析（仕入率/原価率）,フード原価率,L1,A,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,フード原価÷フード売上×100,月次レポート.原価金額 ÷ 予実対比.フード売上 × 100,月次レポート.原価金額,t_items.sales_excluded,-,-,予実対比.フード売上,-,t_items.sales_excluded → 月次レポート.原価金額 → FD分析(仕入率/原価率).フード原価率,演算検証済,インプット元: 月次レポート.原価金額,フード原価の算出方法が不明(全体原価を使用？),フード別原価の算出方法を確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
132,分析画面,FD分析（仕入率/原価率）,フード前月在庫高,L3,C,-,計算項目,棚卸入力参照,棚卸入力で登録した在庫データを参照,マスタ参照,shop_inventories.amount WHERE category = 'フード' AND year_month = target_month - 1,-,shop_inventories.amount（棚卸入力）,-,-,-,-,shop_inventories.amount（棚卸入力） → FD分析(仕入率/原価率).フード前月在庫高,AI推測,棚卸マスタからフード前月在庫を取得と推測,FD別在庫管理の有無が不明,棚卸マスタのカテゴリ管理を確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
133,分析画面,FD分析（仕入率/原価率）,フード当月仕入,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUMフード,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'フード',-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → FD分析(仕入率/原価率).フード当月仕入,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
134,分析画面,FD分析（仕入率/原価率）,フード当月在庫高,L3,C,-,計算項目,棚卸入力参照,棚卸入力で登録した在庫データを参照,マスタ参照,shop_inventories.amount WHERE category = 'フード' AND year_month = target_month,-,shop_inventories.amount（棚卸入力）,-,-,-,-,shop_inventories.amount（棚卸入力） → FD分析(仕入率/原価率).フード当月在庫高,AI推測,棚卸マスタからフード当月在庫を取得と推測,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
135,分析画面,FD分析（仕入率/原価率）,ドリンク仕入率,L1,C,画面間,計算項目,外部連携×外部連携,インフォマート仕入とPOS売上の組合せ,ドリンク仕入÷ドリンク売上×100,予実対比.ドリンク仕入 ÷ 予実対比.ドリンク売上 × 100,-,"infomart_transactions.total_tax_excluded, head_office_item_sales_logs.sales_excluded","infomart_transactions.total_tax_excluded, TITEM.sales_excluded","インフォマート（仕入）, POS売上（商品別）","予実対比.ドリンク仕入, 予実対比.ドリンク売上",-,tax_excluded_total / TITEM.sales_excluded → infomart_transactions.total_tax_excluded / head_office_item_sales_logs.sales_excluded → FD分析(仕入率/原価率).ドリンク仕入率,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
136,分析画面,FD分析（仕入率/原価率）,ドリンク原価率,L1,A,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,ドリンク原価÷ドリンク売上×100,月次レポート.原価金額 ÷ 予実対比.ドリンク売上 × 100,月次レポート.原価金額,t_items.sales_excluded,-,-,予実対比.ドリンク売上,-,t_items.sales_excluded → 月次レポート.原価金額 → FD分析(仕入率/原価率).ドリンク原価率,演算検証済,インプット元: 月次レポート.原価金額,ドリンク原価の算出方法が不明,ドリンク別原価の算出方法を確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
137,分析画面,FD分析（仕入率/原価率）,ドリンク前月在庫高,L3,C,-,計算項目,棚卸入力参照,棚卸入力で登録した在庫データを参照,マスタ参照,shop_inventories.amount WHERE category = 'ドリンク' AND year_month = target_month - 1,-,shop_inventories.amount（棚卸入力）,-,-,-,-,shop_inventories.amount（棚卸入力） → FD分析(仕入率/原価率).ドリンク前月在庫高,AI推測,棚卸マスタからドリンク前月在庫を取得と推測,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
138,分析画面,FD分析（仕入率/原価率）,ドリンク当月仕入,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUMドリンク,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'ドリンク',-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → FD分析(仕入率/原価率).ドリンク当月仕入,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
139,分析画面,FD分析（仕入率/原価率）,ドリンク当月在庫高,L3,C,-,計算項目,棚卸入力参照,棚卸入力で登録した在庫データを参照,マスタ参照,shop_inventories.amount WHERE category = 'ドリンク' AND year_month = target_month,-,shop_inventories.amount（棚卸入力）,-,-,-,-,shop_inventories.amount（棚卸入力） → FD分析(仕入率/原価率).ドリンク当月在庫高,AI推測,棚卸マスタからドリンク当月在庫を取得と推測,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
140,分析画面,FD分析（仕入率/原価率）,FD仕入率,L1,S,画面間,計算項目,外部連携×外部連携,インフォマート仕入とPOS売上の組合せ,仕入÷売上×100,予実対比.FD仕入 ÷ 当月実績.売上（税抜） × 100,-,"infomart_transactions.total_tax_excluded, head_office_connected_service_sales_logs.sales_excluded","infomart_transactions.total_tax_excluded, ZTOTAL.sales_excluded","インフォマート（仕入）, POS売上（日別集計）","予実対比.FD仕入, 当月実績.売上（税抜）",-,tax_excluded_total / ZTOTAL.sales_excluded → infomart_transactions.total_tax_excluded / head_office_connected_service_sales_logs.sales_excluded → FD分析(仕入率/原価率).FD仕入率,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
141,分析画面,FD分析（仕入率/原価率）,FD原価率,L1,A,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,原価÷売上×100,月次レポート.原価金額 ÷ 当月実績.売上（税抜） × 100,月次レポート.原価金額,z_totals.sales_excluded,-,-,当月実績.売上（税抜）,-,z_totals.sales_excluded → 月次レポート.原価金額 → FD分析(仕入率/原価率).FD原価率,演算検証済,インプット元: 月次レポート.原価金額,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
142,分析画面,FD分析（仕入率/原価率）,FD前月在庫高,L3,C,-,計算項目,棚卸入力参照,棚卸入力で登録した在庫データを参照,前月末在庫,shop_inventories.amount WHERE year_month = target_month - 1,-,shop_inventories.amount（棚卸入力）,-,-,-,-,shop_inventories.amount（棚卸入力） → FD分析(仕入率/原価率).FD前月在庫高,要確認,テーブル'shop_inventories'が存在しない,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
143,分析画面,FD分析（仕入率/原価率）,FD当月仕入,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM月間,SUM(infomart_transactions.total_tax_excluded),-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → FD分析(仕入率/原価率).FD当月仕入,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
144,分析画面,FD分析（仕入率/原価率）,FD当月在庫高,L3,C,-,計算項目,棚卸入力参照,棚卸入力で登録した在庫データを参照,当月末在庫,shop_inventories.amount WHERE year_month = target_month,-,shop_inventories.amount（棚卸入力）,-,-,-,-,shop_inventories.amount（棚卸入力） → FD分析(仕入率/原価率).FD当月在庫高,要確認,テーブル'shop_inventories'が存在しない,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
145,分析画面,FD分析（仕入率/原価率）,売上,L0,S,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.sales_excluded),-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → FD分析(仕入率/原価率).売上,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
146,分析画面,FD分析（仕入率/原価率）,フード売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMフード,SUM(TITEM.sales_excluded) WHERE category = 'フード',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → FD分析(仕入率/原価率).フード売上,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
147,分析画面,FD分析（仕入率/原価率）,ドリンク売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMドリンク,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → FD分析(仕入率/原価率).ドリンク売上,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
148,分析画面,FD分析（売上構成比）,FD売上構成比,L1,C,画面間,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,FD÷総売上×100,(予実対比.フード売上 + 予実対比.ドリンク売上) ÷ 予実対比.総売上 × 100,-,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.sales_excluded","TITEM.sales_excluded, ZTOTAL.sales_excluded","POS売上（商品別）, POS売上（日別集計）","予実対比.フード売上, 予実対比.ドリンク売上, 予実対比.総売上",-,TITEM.sales_excluded / ZTOTAL.sales_excluded → head_office_item_sales_logs.sales_excluded / head_office_connected_service_sales_logs.sales_excluded → FD分析(売上構成比).FD売上構成比,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
149,分析画面,FD分析（売上構成比）,フード売上合計,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMフード,SUM(TITEM.sales_excluded) WHERE category = 'フード',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → FD分析(売上構成比).フード売上合計,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
150,分析画面,FD分析（売上構成比）,ドリンク売上合計,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMドリンク,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → FD分析(売上構成比).ドリンク売上合計,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
151,分析画面,予実対比,総売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.sales_excluded),-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,FD分析（売上構成比）.FD売上構成比,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 予実対比.総売上,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
152,分析画面,予実対比,フード売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMフード,SUM(TITEM.sales_excluded) WHERE category = 'フード',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.フード売上,スキーマ検証済,-,フードカテゴリの判定方法が不明,カテゴリ判定ロジックを確認必要,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
153,分析画面,予実対比,フード売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 11:00 AND 15:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,予算設定.ランチ売上比,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.フード売上ランチ,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
154,分析画面,予実対比,フード売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 17:00 AND 23:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.フード売上ディナー,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
155,分析画面,予実対比,ドリンク売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMドリンク,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.ドリンク売上,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
156,分析画面,予実対比,ドリンク売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 11:00 AND 15:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.ドリンク売上ランチ,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
157,分析画面,予実対比,ドリンク売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 17:00 AND 23:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.ドリンク売上ディナー,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
158,分析画面,予実対比,FD仕入,L0,A,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUMFD,SUM(infomart_transactions.total_tax_excluded) WHERE category IN ('フード' 'ドリンク'),-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 予実対比.FD仕入,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,仕入データのFD分類方法が不明,インフォマートのカテゴリ分類を確認必要,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
159,分析画面,予実対比,フード仕入,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUMフード,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'フード',-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 予実対比.フード仕入,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
160,分析画面,予実対比,ドリンク仕入,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUMドリンク,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'ドリンク',-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 予実対比.ドリンク仕入,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
161,分析画面,予実対比,人件費,L0,A,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM,SUM(head_office_connected_service_labor_costs_logs.labor_costs),-,head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs,head_office_connected_service_labor_costs_logs.labor_costs,勤怠（KOT/ジョブカン）,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,head_office_connected_service_labor_costs_logs.labor_costs → head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs → 予実対比.人件費,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
162,分析画面,予実対比,固定人件費,L0,C,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM月給者,SUM(head_office_connected_service_labor_costs_logs.labor_costs) WHERE employee_type = '月給者',-,head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs,head_office_connected_service_labor_costs_logs.labor_costs,勤怠（KOT/ジョブカン）,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,head_office_connected_service_labor_costs_logs.labor_costs → head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs → 予実対比.固定人件費,スキーマ検証済,-,月給者の判定カラムが不明,従業員種別の判定ロジックを確認必要,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
163,分析画面,予実対比,PA人件費,L0,C,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM時給者,SUM(head_office_employee_working_records.daily_cost) WHERE employee_type = '時給者',-,head_office_employee_working_records.daily_cost,head_office_employee_working_records.daily_cost,-,[外部]head_office_employee_working_records.daily_cost,"予算設定.PA人件費率, 日次レポート.PA人件費, 月次集計.PA人件費率",head_office_employee_working_records.daily_cost → head_office_employee_working_records.daily_cost → 予実対比.PA人件費,外部連携検証済,データソース: KOT（勤怠・人件費）,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
164,分析画面,予実対比,その他売上（サービス料等）,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.service_charge_1),-,z_totals.service_charge_1,ZTOTAL.service_charge_1,POS売上（日別集計）,[外部]ZTOTAL.service_charge_1,-,ZTOTAL.service_charge_1 → z_totals.service_charge_1 → 予実対比.その他売上(サービス料等),外部連携検証済,データソース: POS（売上・客数）,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
165,分析画面,予実対比,その他売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(その他商品かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 11:00 AND 15:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.その他売上ランチ,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
166,分析画面,予実対比,その他売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(その他商品かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 17:00 AND 23:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.その他売上ディナー,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
167,分析画面,予実対比,割引・値引きなど,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.discount),-,z_totals.discount,ZTOTAL.discount,POS売上（日別集計）,[外部]ZTOTAL.discount,-,ZTOTAL.discount → z_totals.discount → 予実対比.割引・値引きなど,外部連携検証済,データソース: POS（売上・客数）,-,-,実績算出・分析画面,実績算出,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
168,分析画面,仕入先分析,仕入れ先,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,マスタ参照,member_name_partner.client_name,-,infomart_orders.client_name,member_name_partner.client_name,-,[外部]member_name_partner.client_name,商品別仕入分析.仕入先,member_name_partner.client_name → infomart_orders.client_name → 仕入先分析.仕入れ先,外部連携検証済,member_name_partner.client_name → infomart_transactions.client_name,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
169,分析画面,仕入先分析,金額（税抜）,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM仕入先別,SUM(infomart_transactions.total_tax_excluded) GROUP BY client_name,-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,"仕入先分析.比率, 商品仕入単価, 商品別仕入分析, 費目別仕入分析",infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 仕入先分析.金額税抜,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
