,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指標グループ名,期間フィルター,期間フィルター,他フィルター,,,指標カテゴリ期間,指標列名１,指標列名2,指標列名3,指標列名4,指標列名5,指標列名6,指標列名7,指標列名8,指標列名9,指標列名10,指標列名11,指標列名12,指標列名13,指標列名14,指標列名15,指標列名16,指標列名17,指標列名18,指標列名19,指標列名20,指標列名21,指標列名22,指標列名23,指標列名24,指標列名25,指標列名26,指標列名27,指標列名28,指標列名29,指標列名30,指標列名31,指標列名32,指標列名33,指標列名34,指標列名35,指標列名36,指標列名37,指標列名38,指標列名39
,,,,,,PA人件費,"¥2,822,222",¥0,0%,"-¥2,822,222","¥2,933,818",¥0,0%,"-¥2,933,818","¥3,100,000",¥0,0%,"-¥3,100,000","¥846,667",¥0,0%,"-¥846,667","¥4,829,619",¥0,0%,"-¥4,829,619","¥10,074,992",¥0,0%,"-¥10,074,992","¥14,598,620",¥0,0%,"-¥14,598,620","¥8,646,953",¥0,0%,"-¥8,646,953","¥47,852,891",¥0,0%,"-¥47,852,891",,,
,,,,,,ヘルプ人件費,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,,,
,,,,,,その他経費　計,"¥22,380,000","¥22,380,000",100.00%,¥0,"¥22,380,000","¥22,380,000",100.00%,¥0,"¥22,380,000","¥22,380,000",100.00%,¥0,"¥22,380,000","¥22,380,000",100.00%,¥0,"¥23,015,714","¥22,680,000",98.50%,"-¥335,714","¥24,115,714","¥22,740,000",94.30%,"-¥1,375,714","¥22,394,294","¥22,130,008",98.80%,"-¥264,286","¥23,641,931","¥23,000,009",97.30%,"-¥641,922","¥182,687,653","¥180,070,017",98.60%,"-¥2,617,636",,,
,,,,,,地代家賃,"¥6,950,000","¥6,950,000",100.00%,¥0,"¥6,950,000","¥6,950,000",100.00%,¥0,"¥6,950,000","¥6,950,000",100.00%,¥0,"¥6,950,000","¥6,950,000",100.00%,¥0,"¥7,250,000","¥7,250,000",100.00%,¥0,"¥7,150,000","¥7,150,000",100.00%,¥0,"¥7,250,000","¥7,250,000",100.00%,¥0,"¥7,250,000","¥7,250,000",100.00%,¥0,"¥56,700,000","¥56,700,000",100.00%,¥0,,,
,,,,,,資材費,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"¥260,009","¥260,009",100.00%,¥0,"¥260,009","¥260,009",100.00%,¥0,,,
,,,,,,ラクミー利用料,"¥10,000","¥10,000",100.00%,¥0,"¥10,000","¥10,000",100.00%,¥0,"¥10,000","¥10,000",100.00%,¥0,"¥10,000","¥10,000",100.00%,¥0,"¥10,000","¥10,000",100.00%,¥0,"¥10,000","¥10,000",100.00%,¥0,"¥10,000","¥10,000",100.00%,¥0,"¥10,000","¥10,000",100.00%,¥0,"¥80,000","¥80,000",100.00%,¥0,,,
,,,,,,IT費用,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"¥50,000","¥50,000",100.00%,¥0,"¥50,000","¥50,000",100.00%,¥0,"¥50,000","¥50,000",100.00%,¥0,"¥150,000","¥150,000",100.00%,¥0,,,
,,,,,,お花代,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"¥10,000","¥10,000",100.00%,¥0,"¥10,000","¥10,000",100.00%,¥0,"¥10,000","¥10,000",100.00%,¥0,"¥30,000","¥30,000",100.00%,¥0,,,
,,,,,,ガス代,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"¥390,000",¥0,0%,"-¥390,000",¥3,¥3,100.00%,¥0,"¥139,038",¥0,0%,"-¥139,038","¥529,041",¥3,0.00%,"-¥529,038",,,
,,,,,,クレジットカード手数料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"¥390,000",¥0,0%,"-¥390,000",¥3,¥3,100.00%,¥0,"¥139,038",¥0,0%,"-¥139,038","¥529,041",¥3,0.00%,"-¥529,038",,,
,,,,,,ラクミー利用料,"¥90,000","¥90,000",100.00%,¥0,"¥90,000","¥90,000",100.00%,¥0,"¥90,000","¥90,000",100.00%,¥0,"¥90,000","¥90,000",100.00%,¥0,"¥90,000","¥90,000",100.00%,¥0,"¥90,000","¥90,000",100.00%,¥0,"¥90,000","¥90,000",100.00%,¥0,"¥90,000","¥90,000",100.00%,¥0,"¥720,000","¥720,000",100.00%,¥0,,,
,,,,,,レジ利用料,"¥180,000","¥180,000",100.00%,¥0,"¥180,000","¥180,000",100.00%,¥0,"¥180,000","¥180,000",100.00%,¥0,"¥180,000","¥180,000",100.00%,¥0,"¥180,000","¥180,000",100.00%,¥0,"¥180,000","¥180,000",100.00%,¥0,"¥180,000","¥180,000",100.00%,¥0,"¥180,000","¥180,000",100.00%,¥0,"¥1,440,000","¥1,440,000",100.00%,¥0,,,
,,,,,,レジ利用料,"¥20,000","¥20,000",100.00%,¥0,"¥20,000","¥20,000",100.00%,¥0,"¥20,000","¥20,000",100.00%,¥0,"¥20,000","¥20,000",100.00%,¥0,"¥20,000","¥20,000",100.00%,¥0,"¥20,000","¥20,000",100.00%,¥0,"¥20,000","¥20,000",100.00%,¥0,"¥20,000","¥20,000",100.00%,¥0,"¥160,000","¥160,000",100.00%,¥0,,,
,,,,,,借入金返済,"¥2,050,000","¥2,050,000",100.00%,¥0,"¥2,050,000","¥2,050,000",100.00%,¥0,"¥2,050,000","¥2,050,000",100.00%,¥0,"¥2,050,000","¥2,050,000",100.00%,¥0,"¥2,050,000","¥2,050,000",100.00%,¥0,"¥2,050,000","¥2,050,000",100.00%,¥0,"¥2,050,000","¥2,050,000",100.00%,¥0,"¥2,050,000","¥2,050,000",100.00%,¥0,"¥16,400,000","¥16,400,000",100.00%,¥0,,,
,,,,,,家賃(変動分),¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,¥0,¥0,0%,¥0,"¥335,714",¥0,0%,"-¥335,714","¥335,714",¥0,0%,"-¥335,714","¥264,286",¥0,0%,"-¥264,286","¥271,154",¥0,0%,"-¥271,154","¥1,206,868",¥0,0%,"-¥1,206,868",,,
,,,,,,水道代,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"¥260,000",¥0,0%,"-¥260,000",¥2,¥2,100.00%,¥0,"¥92,692",¥0,0%,"-¥92,692","¥352,694",¥2,0.00%,"-¥352,692",,,
,,,,,,水道光熱費,"¥3,970,000","¥3,970,000",100.00%,¥0,"¥3,970,000","¥3,970,000",100.00%,¥0,"¥3,970,000","¥3,970,000",100.00%,¥0,"¥3,970,000","¥3,970,000",100.00%,¥0,"¥3,970,000","¥3,970,000",100.00%,¥0,"¥4,070,000","¥4,070,000",100.00%,¥0,"¥4,070,000","¥4,070,000",100.00%,¥0,"¥3,970,000","¥3,970,000",100.00%,¥0,"¥31,960,000","¥31,960,000",100.00%,¥0,,,
,,,,,,減価償却費,"¥1,820,000","¥1,820,000",100.00%,¥0,"¥1,820,000","¥1,820,000",100.00%,¥0,"¥1,820,000","¥1,820,000",100.00%,¥0,"¥1,820,000","¥1,820,000",100.00%,¥0,"¥1,820,000","¥1,820,000",100.00%,¥0,"¥1,820,000","¥1,820,000",100.00%,¥0,"¥1,820,000","¥1,820,000",100.00%,¥0,"¥1,820,000","¥1,820,000",100.00%,¥0,"¥14,560,000","¥14,560,000",100.00%,¥0,,,
,,,,,,社員人件費,"¥4,450,000","¥4,450,000",100.00%,¥0,"¥4,450,000","¥4,450,000",100.00%,¥0,"¥4,450,000","¥4,450,000",100.00%,¥0,"¥4,450,000","¥4,450,000",100.00%,¥0,"¥4,450,000","¥4,450,000",100.00%,¥0,"¥4,450,000","¥4,450,000",100.00%,¥0,"¥4,360,000","¥4,360,000",100.00%,¥0,"¥4,450,000","¥4,450,000",100.00%,¥0,"¥35,510,000","¥35,510,000",100.00%,¥0,,,
,,,,,,販促費,"¥2,520,000","¥2,520,000",100.00%,¥0,"¥2,520,000","¥2,520,000",100.00%,¥0,"¥2,520,000","¥2,520,000",100.00%,¥0,"¥2,520,000","¥2,520,000",100.00%,¥0,"¥2,520,000","¥2,520,000",100.00%,¥0,"¥2,520,000","¥2,520,000",100.00%,¥0,"¥2,020,000","¥2,020,000",100.00%,¥0,"¥2,520,000","¥2,520,000",100.00%,¥0,"¥19,660,000","¥19,660,000",100.00%,¥0,,,
,,,,,,電気代,"¥320,000","¥320,000",100.00%,¥0,"¥320,000","¥320,000",100.00%,¥0,"¥320,000","¥320,000",100.00%,¥0,"¥320,000","¥320,000",100.00%,¥0,"¥320,000","¥320,000",100.00%,¥0,"¥320,000","¥320,000",100.00%,¥0,"¥200,000","¥200,000",100.00%,¥0,"¥320,000","¥320,000",100.00%,¥0,"¥2,440,000","¥2,440,000",100.00%,¥0,,,
,,,,,,営業利益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
