134,分析画面,FD分析（仕入率/原価率）,フード当月在庫高,L3,C,-,計算項目,棚卸入力参照,棚卸入力で登録した在庫データを参照,マスタ参照,shop_inventories.amount WHERE category = 'フード' AND year_month = target_month,-,shop_inventories.amount（棚卸入力）,-,-,-,-,shop_inventories.amount（棚卸入力） → FD分析（仕入率/原価率）.フード当月在庫高,AI推測,棚卸マスタからフード当月在庫を取得と推測,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。,低,中,中,監視継続
135,分析画面,FD分析（仕入率/原価率）,ドリンク仕入率,L1,C,画面間,計算項目,外部連携×外部連携,インフォマート仕入とPOS売上の組合せ,ドリンク仕入÷ドリンク売上×100,予実対比.ドリンク仕入 ÷ 予実対比.ドリンク売上 × 100,-,"infomart_transactions.total_tax_excluded, head_office_item_sales_logs.sales_excluded","infomart_transactions.total_tax_excluded, TITEM.sales_excluded","インフォマート（仕入）, POS売上（商品別）","予実対比.ドリンク仕入, 予実対比.ドリンク売上",-,tax_excluded_total / TITEM.sales_excluded → infomart_transactions.total_tax_excluded / head_office_item_sales_logs.sales_excluded → FD分析（仕入率/原価率）.ドリンク仕入率,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。,中,中,中,監視継続
136,分析画面,FD分析（仕入率/原価率）,ドリンク原価率,L1,A,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,ドリンク原価÷ドリンク売上×100,月次レポート.原価金額 ÷ 予実対比.ドリンク売上 × 100,月次レポート.原価金額,t_items.sales_excluded,-,-,予実対比.ドリンク売上,-,t_items.sales_excluded → 月次レポート.原価金額 → FD分析（仕入率/原価率）.ドリンク原価率,演算検証済,インプット元: 月次レポート.原価金額,ドリンク原価の算出方法が不明,ドリンク別原価の算出方法を確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。,低,中,中,監視継続
137,分析画面,FD分析（仕入率/原価率）,ドリンク前月在庫高,L3,C,-,計算項目,棚卸入力参照,棚卸入力で登録した在庫データを参照,マスタ参照,shop_inventories.amount WHERE category = 'ドリンク' AND year_month = target_month - 1,-,shop_inventories.amount（棚卸入力）,-,-,-,-,shop_inventories.amount（棚卸入力） → FD分析（仕入率/原価率）.ドリンク前月在庫高,AI推測,棚卸マスタからドリンク前月在庫を取得と推測,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。,低,中,中,監視継続
138,分析画面,FD分析（仕入率/原価率）,ドリンク当月仕入,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUMドリンク,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'ドリンク',-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → FD分析（仕入率/原価率）.ドリンク当月仕入,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。,低,低,低,通常対応
139,分析画面,FD分析（仕入率/原価率）,ドリンク当月在庫高,L3,C,-,計算項目,棚卸入力参照,棚卸入力で登録した在庫データを参照,マスタ参照,shop_inventories.amount WHERE category = 'ドリンク' AND year_month = target_month,-,shop_inventories.amount（棚卸入力）,-,-,-,-,shop_inventories.amount（棚卸入力） → FD分析（仕入率/原価率）.ドリンク当月在庫高,AI推測,棚卸マスタからドリンク当月在庫を取得と推測,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。,低,中,中,監視継続
140,分析画面,FD分析（仕入率/原価率）,FD仕入率,L4a,S,画面間,計算項目,外部連携×外部連携,インフォマート仕入とPOS売上の組合せ,仕入÷売上×100,予実対比.FD仕入 ÷ 当月実績.売上（税抜） × 100,-,"infomart_transactions.total_tax_excluded, head_office_connected_service_sales_logs.sales_excluded","infomart_transactions.total_tax_excluded, ZTOTAL.sales_excluded","インフォマート（仕入）, POS売上（日別集計）","予実対比.FD仕入, 当月実績.売上（税抜）",-,tax_excluded_total / ZTOTAL.sales_excluded → infomart_transactions.total_tax_excluded / head_office_connected_service_sales_logs.sales_excluded → FD分析（仕入率/原価率）.FD仕入率,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。,中,高,高,事前計算・非同期処理
141,分析画面,FD分析（仕入率/原価率）,FD原価率,L1,A,画面間,計算項目,演算×外部連携,演算結果とPOS売上の組合せ,原価÷売上×100,月次レポート.原価金額 ÷ 当月実績.売上（税抜） × 100,月次レポート.原価金額,z_totals.sales_excluded,-,-,当月実績.売上（税抜）,-,z_totals.sales_excluded → 月次レポート.原価金額 → FD分析（仕入率/原価率）.FD原価率,演算検証済,インプット元: 月次レポート.原価金額,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。,低,中,中,監視継続
142,分析画面,FD分析（仕入率/原価率）,FD前月在庫高,L3,C,-,計算項目,棚卸入力参照,棚卸入力で登録した在庫データを参照,前月末在庫,shop_inventories.amount WHERE year_month = target_month - 1,-,shop_inventories.amount（棚卸入力）,-,-,-,-,shop_inventories.amount（棚卸入力） → FD分析（仕入率/原価率）.FD前月在庫高,要確認,テーブル'shop_inventories'が存在しない,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。,低,中,中,監視継続
143,分析画面,FD分析（仕入率/原価率）,FD当月仕入,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM月間,SUM(infomart_transactions.total_tax_excluded),-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → FD分析（仕入率/原価率）.FD当月仕入,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。,低,低,低,通常対応
144,分析画面,FD分析（仕入率/原価率）,FD当月在庫高,L3,C,-,計算項目,棚卸入力参照,棚卸入力で登録した在庫データを参照,当月末在庫,shop_inventories.amount WHERE year_month = target_month,-,shop_inventories.amount（棚卸入力）,-,-,-,-,shop_inventories.amount（棚卸入力） → FD分析（仕入率/原価率）.FD当月在庫高,要確認,テーブル'shop_inventories'が存在しない,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。,低,中,中,監視継続
145,分析画面,FD分析（仕入率/原価率）,売上,L0,S,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.sales_excluded),-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → FD分析（仕入率/原価率）.売上,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。,低,低,低,通常対応
146,分析画面,FD分析（仕入率/原価率）,フード売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMフード,SUM(TITEM.sales_excluded) WHERE category = 'フード',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → FD分析（仕入率/原価率）.フード売上,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。,低,低,低,通常対応
147,分析画面,FD分析（仕入率/原価率）,ドリンク売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMドリンク,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → FD分析（仕入率/原価率）.ドリンク売上,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。,低,低,低,通常対応
148,分析画面,FD分析（売上構成比）,FD売上構成比,L1,C,画面間,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,FD÷総売上×100,(予実対比.フード売上 + 予実対比.ドリンク売上) ÷ 予実対比.総売上 × 100,-,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.sales_excluded","TITEM.sales_excluded, ZTOTAL.sales_excluded","POS売上（商品別）, POS売上（日別集計）","予実対比.フード売上, 予実対比.ドリンク売上, 予実対比.総売上",-,TITEM.sales_excluded / ZTOTAL.sales_excluded → head_office_item_sales_logs.sales_excluded / head_office_connected_service_sales_logs.sales_excluded → FD分析（売上構成比）.FD売上構成比,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。,中,中,中,監視継続
149,分析画面,FD分析（売上構成比）,フード売上合計,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMフード,SUM(TITEM.sales_excluded) WHERE category = 'フード',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → FD分析（売上構成比）.フード売上合計,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。,低,低,低,通常対応
150,分析画面,FD分析（売上構成比）,ドリンク売上合計,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMドリンク,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → FD分析（売上構成比）.ドリンク売上合計,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。,低,低,低,通常対応
151,分析画面,予実対比,実績_総売上 計,L0,A,-,POS（売上・客数）,外部連携単独,POSデータから日次売上合計を取得,SUM,SUM(ZTOTAL.sales_excluded),-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,-,ZTOTAL.sales_excluded → 予実対比.実績_総売上 計,外部連携検証済,日次実績データ,-,-,分析画面,実績値,外部連携データから日次実績値を取得,低,低,低,通常対応
152,分析画面,予実対比,実績_フード売上 計,L0,B,-,POS（売上・客数）,外部連携単独,POSデータからフード売上合計を取得,SUMフード,SUM(TITEM.sales_excluded) WHERE category = 'フード',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → 予実対比.実績_フード売上 計,外部連携検証済,日次実績データ,-,-,分析画面,実績値,外部連携データから日次実績値を取得,低,低,低,通常対応
153,分析画面,予実対比,実績_フード売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータからランチ時間帯フード売上を取得,SUM(フード×ランチ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND time_zone = 'ランチ',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → 予実対比.実績_フード売上ランチ,外部連携検証済,日次実績データ,-,-,分析画面,実績値,外部連携データから日次実績値を取得,低,低,低,通常対応
154,分析画面,予実対比,実績_フード売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータからディナー時間帯フード売上を取得,SUM(フード×ディナー),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND time_zone = 'ディナー',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → 予実対比.実績_フード売上ディナー,外部連携検証済,日次実績データ,-,-,分析画面,実績値,外部連携データから日次実績値を取得,低,低,低,通常対応
155,分析画面,予実対比,実績_ドリンク売上 計,L0,B,-,POS（売上・客数）,外部連携単独,POSデータからドリンク売上合計を取得,SUMドリンク,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → 予実対比.実績_ドリンク売上 計,外部連携検証済,日次実績データ,-,-,分析画面,実績値,外部連携データから日次実績値を取得,低,低,低,通常対応
156,分析画面,予実対比,実績_ドリンク売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータからランチ時間帯ドリンク売上を取得,SUM(ドリンク×ランチ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND time_zone = 'ランチ',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → 予実対比.実績_ドリンク売上ランチ,外部連携検証済,日次実績データ,-,-,分析画面,実績値,外部連携データから日次実績値を取得,低,低,低,通常対応
157,分析画面,予実対比,実績_ドリンク売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータからディナー時間帯ドリンク売上を取得,SUM(ドリンク×ディナー),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND time_zone = 'ディナー',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → 予実対比.実績_ドリンク売上ディナー,外部連携検証済,日次実績データ,-,-,分析画面,実績値,外部連携データから日次実績値を取得,低,低,低,通常対応
158,分析画面,予実対比,実績_その他売上 計（サービス料等）,L0,C,-,POS（売上・客数）,外部連携単独,POSデータからその他売上合計を取得,SUMその他,SUM(ZTOTAL.service_charge_1),-,z_totals.service_charge_1,ZTOTAL.service_charge_1,POS売上（日別集計）,[外部]ZTOTAL.service_charge_1,-,ZTOTAL.service_charge_1 → 予実対比.実績_その他売上 計,外部連携検証済,日次実績データ,-,-,分析画面,実績値,外部連携データから日次実績値を取得,低,低,低,通常対応
159,分析画面,予実対比,実績_その他売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータからランチ時間帯その他売上を取得,SUM(その他×ランチ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND time_zone = 'ランチ',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → 予実対比.実績_その他売上ランチ,外部連携検証済,日次実績データ,-,-,分析画面,実績値,外部連携データから日次実績値を取得,低,低,低,通常対応
160,分析画面,予実対比,実績_その他売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータからディナー時間帯その他売上を取得,SUM(その他×ディナー),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND time_zone = 'ディナー',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → 予実対比.実績_その他売上ディナー,外部連携検証済,日次実績データ,-,-,分析画面,実績値,外部連携データから日次実績値を取得,低,低,低,通常対応
161,分析画面,予実対比,実績_FLコスト 計,L4a,A,画面内,計算項目,画面内演算,FD仕入+人件費の合計,実績_FD仕入 計 + 実績_人件費 計,FD仕入 + 人件費,画面内計算値,-,-,画面内演算,"予実対比.実績_FD仕入 計, 予実対比.実績_人件費 計",-,FD仕入 + 人件費 → 予実対比.実績_FLコスト 計,演算検証済,日次実績データ,-,-,分析画面,実績値,実績値の画面内演算,中,高,高,事前計算・非同期処理
162,分析画面,予実対比,実績_FD仕入 計,L0,A,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データからFD仕入合計を取得,SUMFD,SUM(infomart_transactions.total_tax_excluded) WHERE category IN ('フード','ドリンク'),-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → 予実対比.実績_FD仕入 計,外部連携検証済,日次実績データ,-,-,分析画面,実績値,低,中,低,通常対応
163,分析画面,予実対比,実績_フード仕入,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データからフード仕入を取得,SUMフード,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'フード',-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → 予実対比.実績_フード仕入,外部連携検証済,日次実績データ,-,-,分析画面,実績値,外部連携データから日次実績値を取得,低,低,低,通常対応
164,分析画面,予実対比,実績_ドリンク仕入,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データからドリンク仕入を取得,SUMドリンク,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'ドリンク',-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → 予実対比.実績_ドリンク仕入,外部連携検証済,日次実績データ,-,-,分析画面,実績値,外部連携データから日次実績値を取得,低,低,低,通常対応
165,分析画面,予実対比,実績_人件費 計,L0,A,-,KOT（勤怠・人件費）,外部連携単独,勤怠データから人件費合計を取得,SUM,SUM(head_office_employee_working_records.daily_cost),-,head_office_employee_working_records.daily_cost,head_office_employee_working_records.daily_cost,勤怠（KOT/ジョブカン）,[外部]head_office_employee_working_records.daily_cost,-,head_office_employee_working_records.daily_cost → 予実対比.実績_人件費 計,外部連携検証済,日次実績データ,-,-,分析画面,実績値,外部連携データから日次実績値を取得,低,低,低,通常対応
166,分析画面,予実対比,実績_固定人件費,L0,C,-,KOT（勤怠・人件費）,外部連携単独,勤怠データから月給者人件費を取得,SUM月給者,SUM(head_office_employee_working_records.daily_cost) WHERE employee_type = '月給者',-,head_office_employee_working_records.daily_cost,head_office_employee_working_records.daily_cost,勤怠（KOT/ジョブカン）,[外部]head_office_employee_working_records.daily_cost,-,head_office_employee_working_records.daily_cost → 予実対比.実績_固定人件費,外部連携検証済,日次実績データ,-,-,分析画面,実績値,外部連携データから日次実績値を取得,低,低,低,通常対応
167,分析画面,予実対比,実績_PA人件費,L0,A,-,KOT（勤怠・人件費）,外部連携単独,勤怠データから時給者人件費を取得,SUM時給者,SUM(head_office_employee_working_records.daily_cost) WHERE employee_type = '時給者',-,head_office_employee_working_records.daily_cost,head_office_employee_working_records.daily_cost,勤怠（KOT/ジョブカン）,[外部]head_office_employee_working_records.daily_cost,-,head_office_employee_working_records.daily_cost → 予実対比.実績_PA人件費,外部連携検証済,日次実績データ,-,-,分析画面,実績値,外部連携データから日次実績値を取得,低,低,低,通常対応
168,分析画面,予実対比,実績_ヘルプ人件費,L0,C,-,KOT（勤怠・人件費）,外部連携単独,勤怠データからヘルプスタッフ人件費を取得,SUMヘルプ,SUM(head_office_employee_working_records.daily_cost) WHERE employee_type = 'ヘルプ',-,head_office_employee_working_records.daily_cost,head_office_employee_working_records.daily_cost,勤怠（KOT/ジョブカン）,[外部]head_office_employee_working_records.daily_cost,-,head_office_employee_working_records.daily_cost → 予実対比.実績_ヘルプ人件費,外部連携検証済,日次実績データ,-,-,分析画面,実績値,外部連携データから日次実績値を取得,低,低,低,通常対応
169,分析画面,予実対比,実績_その他経費 計,L0,B,-,費用実績入力,実績入力参照,費用実績入力から経費合計を取得,SUM経費,SUM(monthly_costs.value) WHERE cost_type = '経費',-,monthly_costs.value,monthly_costs.value,費用実績入力,[入力]monthly_costs.value,-,monthly_costs.value → 予実対比.実績_その他経費 計,実績入力検証済,日次実績データ,-,-,分析画面,実績値,費用実績入力から日次実績値を取得,低,低,低,通常対応
170,分析画面,予実対比,実績_地代家賃,L0,C,-,費用実績入力,実績入力参照,費用実績入力から地代家賃を取得,費目別,monthly_costs.value WHERE cost_item = '地代家賃',-,monthly_costs.value,monthly_costs.value,費用実績入力,[入力]monthly_costs.value,-,monthly_costs.value → 予実対比.実績_地代家賃,実績入力検証済,日次実績データ,-,-,分析画面,実績値,費用実績入力から日次実績値を取得,低,低,低,通常対応
171,分析画面,予実対比,実績_資材費,L0,C,-,費用実績入力,実績入力参照,費用実績入力から資材費を取得,費目別,monthly_costs.value WHERE cost_item = '資材費',-,monthly_costs.value,monthly_costs.value,費用実績入力,[入力]monthly_costs.value,-,monthly_costs.value → 予実対比.実績_資材費,実績入力検証済,日次実績データ,-,-,分析画面,実績値,費用実績入力から日次実績値を取得,低,低,低,通常対応
172,分析画面,予実対比,実績_ラクミー利用料,L0,C,-,費用実績入力,実績入力参照,費用実績入力からラクミー利用料を取得,費目別,monthly_costs.value WHERE cost_item = 'ラクミー利用料',-,monthly_costs.value,monthly_costs.value,費用実績入力,[入力]monthly_costs.value,-,monthly_costs.value → 予実対比.実績_ラクミー利用料,実績入力検証済,日次実績データ,-,-,分析画面,実績値,費用実績入力から日次実績値を取得,低,低,低,通常対応
173,分析画面,予実対比,実績_IT費用,L0,C,-,費用実績入力,実績入力参照,費用実績入力からIT費用を取得,費目別,monthly_costs.value WHERE cost_item = 'IT費用',-,monthly_costs.value,monthly_costs.value,費用実績入力,[入力]monthly_costs.value,-,monthly_costs.value → 予実対比.実績_IT費用,実績入力検証済,日次実績データ,-,-,分析画面,実績値,費用実績入力から日次実績値を取得,低,低,低,通常対応
174,分析画面,予実対比,実績_お花代,L0,C,-,費用実績入力,実績入力参照,費用実績入力からお花代を取得,費目別,monthly_costs.value WHERE cost_item = 'お花代',-,monthly_costs.value,monthly_costs.value,費用実績入力,[入力]monthly_costs.value,-,monthly_costs.value → 予実対比.実績_お花代,実績入力検証済,日次実績データ,-,-,分析画面,実績値,費用実績入力から日次実績値を取得,低,低,低,通常対応
175,分析画面,予実対比,実績_ガス代,L0,C,-,費用実績入力,実績入力参照,費用実績入力からガス代を取得,費目別,monthly_costs.value WHERE cost_item = 'ガス代',-,monthly_costs.value,monthly_costs.value,費用実績入力,[入力]monthly_costs.value,-,monthly_costs.value → 予実対比.実績_ガス代,実績入力検証済,日次実績データ,-,-,分析画面,実績値,費用実績入力から日次実績値を取得,低,低,低,通常対応
176,分析画面,予実対比,実績_クレジットカード手数料,L0,C,-,費用実績入力,実績入力参照,費用実績入力からクレジットカード手数料を取得,費目別,monthly_costs.value WHERE cost_item = 'クレジットカード手数料',-,monthly_costs.value,monthly_costs.value,費用実績入力,[入力]monthly_costs.value,-,monthly_costs.value → 予実対比.実績_クレジットカード手数料,実績入力検証済,日次実績データ,-,-,分析画面,実績値,費用実績入力から日次実績値を取得,低,低,低,通常対応
177,分析画面,予実対比,実績_レジ利用料,L0,C,-,費用実績入力,実績入力参照,費用実績入力からレジ利用料を取得,費目別,monthly_costs.value WHERE cost_item = 'レジ利用料',-,monthly_costs.value,monthly_costs.value,費用実績入力,[入力]monthly_costs.value,-,monthly_costs.value → 予実対比.実績_レジ利用料,実績入力検証済,日次実績データ,-,-,分析画面,実績値,費用実績入力から日次実績値を取得,低,低,低,通常対応
178,分析画面,予実対比,実績_借入金返済,L0,C,-,費用実績入力,実績入力参照,費用実績入力から借入金返済を取得,費目別,monthly_costs.value WHERE cost_item = '借入金返済',-,monthly_costs.value,monthly_costs.value,費用実績入力,[入力]monthly_costs.value,-,monthly_costs.value → 予実対比.実績_借入金返済,実績入力検証済,日次実績データ,-,-,分析画面,実績値,費用実績入力から日次実績値を取得,低,低,低,通常対応
179,分析画面,予実対比,実績_家賃（変動分）,L0,C,-,費用実績入力,実績入力参照,費用実績入力から家賃（変動分）を取得,費目別,monthly_costs.value WHERE cost_item = '家賃(変動分)',-,monthly_costs.value,monthly_costs.value,費用実績入力,[入力]monthly_costs.value,-,monthly_costs.value → 予実対比.実績_家賃（変動分）,実績入力検証済,日次実績データ,-,-,分析画面,実績値,費用実績入力から日次実績値を取得,低,低,低,通常対応
180,分析画面,予実対比,実績_水道代,L0,C,-,費用実績入力,実績入力参照,費用実績入力から水道代を取得,費目別,monthly_costs.value WHERE cost_item = '水道代',-,monthly_costs.value,monthly_costs.value,費用実績入力,[入力]monthly_costs.value,-,monthly_costs.value → 予実対比.実績_水道代,実績入力検証済,日次実績データ,-,-,分析画面,実績値,費用実績入力から日次実績値を取得,低,低,低,通常対応
181,分析画面,予実対比,実績_水道光熱費,L0,C,-,費用実績入力,実績入力参照,費用実績入力から水道光熱費を取得,費目別,monthly_costs.value WHERE cost_item = '水道光熱費',-,monthly_costs.value,monthly_costs.value,費用実績入力,[入力]monthly_costs.value,-,monthly_costs.value → 予実対比.実績_水道光熱費,実績入力検証済,日次実績データ,-,-,分析画面,実績値,費用実績入力から日次実績値を取得,低,低,低,通常対応
182,分析画面,予実対比,実績_減価償却費,L0,C,-,費用実績入力,実績入力参照,費用実績入力から減価償却費を取得,費目別,monthly_costs.value WHERE cost_item = '減価償却費',-,monthly_costs.value,monthly_costs.value,費用実績入力,[入力]monthly_costs.value,-,monthly_costs.value → 予実対比.実績_減価償却費,実績入力検証済,日次実績データ,-,-,分析画面,実績値,費用実績入力から日次実績値を取得,低,低,低,通常対応
183,分析画面,予実対比,実績_社員人件費,L0,C,-,費用実績入力,実績入力参照,費用実績入力から社員人件費を取得,費目別,monthly_costs.value WHERE cost_item = '社員人件費',-,monthly_costs.value,monthly_costs.value,費用実績入力,[入力]monthly_costs.value,-,monthly_costs.value → 予実対比.実績_社員人件費,実績入力検証済,日次実績データ,-,-,分析画面,実績値,費用実績入力から日次実績値を取得,低,低,低,通常対応
184,分析画面,予実対比,実績_販促費,L0,C,-,費用実績入力,実績入力参照,費用実績入力から販促費を取得,費目別,monthly_costs.value WHERE cost_item = '販促費',-,monthly_costs.value,monthly_costs.value,費用実績入力,[入力]monthly_costs.value,-,monthly_costs.value → 予実対比.実績_販促費,実績入力検証済,日次実績データ,-,-,分析画面,実績値,費用実績入力から日次実績値を取得,低,低,低,通常対応
185,分析画面,予実対比,実績_電気代,L0,C,-,費用実績入力,実績入力参照,費用実績入力から電気代を取得,費目別,monthly_costs.value WHERE cost_item = '電気代',-,monthly_costs.value,monthly_costs.value,費用実績入力,[入力]monthly_costs.value,-,monthly_costs.value → 予実対比.実績_電気代,実績入力検証済,日次実績データ,-,-,分析画面,実績値,費用実績入力から日次実績値を取得,低,低,低,通常対応
186,分析画面,予実対比,実績_営業利益,L4a,A,画面内,計算項目,画面内演算,総売上-FLコスト-その他経費,実績_総売上 計 - 実績_FLコスト 計 - 実績_その他経費 計,総売上 - FLコスト - その他経費,画面内計算値,-,-,画面内演算,"予実対比.実績_総売上 計, 予実対比.実績_FLコスト 計, 予実対比.実績_その他経費 計",-,総売上 - FLコスト - その他経費 → 予実対比.実績_営業利益,演算検証済,日次実績データ,-,-,分析画面,実績値,実績値の画面内演算,中,高,高,事前計算・非同期処理
187,分析画面,予実対比,予算_総売上 計,L0,A,画面間,計算項目,予算設定参照×演算,月次予算設定.売上÷営業日数×経過日数,月次予算設定.売上（税抜） ÷ 営業日数 × 経過日数,monthly_budgets.target_sales / 営業日数 × 経過日数,日次累計予算値,monthly_budgets.target_sales,-,月次予算設定.売上（税抜）,-,-,月次予算設定.売上 → 日割計算 → 予実対比.予算_総売上 計,予算演算追加,予算設定値の日割り×経過日数,-,-,分析画面,予算値,月次予算設定値を日割り計算し経過日数で累積した日次予算値,低,中,中,監視継続
188,分析画面,予実対比,予算_フード売上 計,L0,B,画面間,計算項目,予算設定参照×演算,予算_総売上×フード構成比,予算_総売上 計 × 売上構成比設定.フード構成比,予算_総売上 × food_ratio,日次累計予算値,"monthly_budgets.target_sales, budget_sales_compositions.food_ratio",-,"月次予算設定.売上（税抜）, 売上構成比設定.フード構成比",-,-,予算_総売上 × フード構成比 → 予実対比.予算_フード売上 計,予算演算追加,予算設定値×構成比の日割り×経過日数,-,-,分析画面,予算値,月次予算設定値を日割り計算し経過日数で累積した日次予算値,中,中,中,監視継続
