次数,ターゲット,画面タイトル,画面タイプ,1次指標名,2次指標名,3次指標名,4次指標名,5次指標名,計算レイヤー,スコープ,用途・機能説明,概念式／演算ロジック,判断基準・閾値目安,依存先指標,データ基盤要件,V89No/戦略No
2次,店長,予実対比,分析画面,,予算_人件費 計,,,,L1,同画面内,-,(月次予算設定.売上 × PA人件費率 + 固定人件費予算) ÷ 営業日数 × 経過日数,-,月次予算設定.人件費,既存(V89/V69),181
2次,店長,予実対比,分析画面,,予算_固定人件費,,,,L1,同画面内,-,費用設定.固定人件費予算 ÷ 営業日数 × 経過日数,-,月次予算設定.固定人件費,既存(V89/V69),182
2次,店長,予実対比,分析画面,,予算_PA人件費,,,,L1,同画面内,-,月次予算設定.売上（税抜） × 月次予算設定.PA人件費率 ÷ 営業日数 × 経過日数,-,月次予算設定.PA人件費,既存(V89/V69),183
2次,店長,予実対比,分析画面,,予算_ヘルプ人件費,,,,L1,同画面内,-,費用設定.ヘルプ人件費予算 ÷ 営業日数 × 経過日数,-,月次予算設定.ヘルプ人件費,既存(V89/V69),184
2次,店長,予実対比,分析画面,,予算_その他経費 計,,,,L1,同画面内,-,費用設定.その他経費予算合計 ÷ 営業日数 × 経過日数,-,月次予算設定.その他経費,既存(V89/V69),185
2次,店長,予実対比,分析画面,,予算_地代家賃,,,,L1,同画面内,-,費用設定.地代家賃 ÷ 営業日数 × 経過日数,-,月次予算設定.地代家賃,既存(V89/V69),186
2次,店長,予実対比,分析画面,,予算_資材費,,,,L1,同画面内,-,費用設定.資材費 ÷ 営業日数 × 経過日数,-,月次予算設定.資材費,既存(V89/V69),187
2次,店長,予実対比,分析画面,,予算_ラクミー利用料,,,,L1,同画面内,-,費用設定.ラクミー利用料 ÷ 営業日数 × 経過日数,-,月次予算設定.ラクミー利用料,既存(V89/V69),188
2次,店長,予実対比,分析画面,,予算_IT費用,,,,L1,同画面内,-,費用設定.IT費用 ÷ 営業日数 × 経過日数,-,月次予算設定.IT費用,既存(V89/V69),189
2次,店長,予実対比,分析画面,,予算_お花代,,,,L1,同画面内,-,費用設定.お花代 ÷ 営業日数 × 経過日数,-,月次予算設定.お花代,既存(V89/V69),190
2次,店長,予実対比,分析画面,,予算_ガス代,,,,L1,同画面内,-,費用設定.ガス代 ÷ 営業日数 × 経過日数,-,月次予算設定.ガス代,既存(V89/V69),191
2次,店長,予実対比,分析画面,,予算_クレジットカード手数料,,,,L1,同画面内,-,費用設定.クレジットカード手数料 ÷ 営業日数 × 経過日数,-,月次予算設定.クレジットカード手数料,既存(V89/V69),192
2次,店長,予実対比,分析画面,,予算_レジ利用料,,,,L1,同画面内,-,費用設定.レジ利用料 ÷ 営業日数 × 経過日数,-,月次予算設定.レジ利用料,既存(V89/V69),193
2次,店長,予実対比,分析画面,,予算_借入金返済,,,,L1,同画面内,-,費用設定.借入金返済 ÷ 営業日数 × 経過日数,-,月次予算設定.借入金返済,既存(V89/V69),194
2次,店長,予実対比,分析画面,,予算_家賃（変動分）,,,,L1,同画面内,-,費用設定.家賃（変動分） ÷ 営業日数 × 経過日数,-,月次予算設定.家賃（変動分）,既存(V89/V69),195
2次,店長,予実対比,分析画面,,予算_水道代,,,,L1,同画面内,-,費用設定.水道代 ÷ 営業日数 × 経過日数,-,月次予算設定.水道代,既存(V89/V69),196
2次,店長,予実対比,分析画面,,予算_水道光熱費,,,,L1,同画面内,-,費用設定.水道光熱費 ÷ 営業日数 × 経過日数,-,月次予算設定.水道光熱費,既存(V89/V69),197
2次,店長,予実対比,分析画面,,予算_減価償却費,,,,L1,同画面内,-,費用設定.減価償却費 ÷ 営業日数 × 経過日数,-,月次予算設定.減価償却費,既存(V89/V69),198
2次,店長,予実対比,分析画面,,予算_社員人件費,,,,L1,同画面内,-,費用設定.社員人件費 ÷ 営業日数 × 経過日数,-,月次予算設定.社員人件費,既存(V89/V69),199
2次,店長,予実対比,分析画面,,予算_販促費,,,,L1,同画面内,-,費用設定.販促費 ÷ 営業日数 × 経過日数,-,月次予算設定.販促費,既存(V89/V69),200
2次,店長,予実対比,分析画面,,予算_電気代,,,,L1,同画面内,-,費用設定.電気代 ÷ 営業日数 × 経過日数,-,月次予算設定.電気代,既存(V89/V69),201
2次,店長,予実対比（一覧）,一覧表示画面,,その他売上（サービス料等）,,,,L1,同画面内,予算と実績の対比一覧,参照表示,-,[外部]ZTOTAL.service_charge_1,既存(V89/V69),386
2次,店長,予実対比（一覧）,一覧表示画面,,その他売上ランチ,,,,L1,同画面内,予算と実績の対比一覧,参照表示,-,[外部]TITEM.sales_excluded,既存(V89/V69),387
2次,店長,予実対比（一覧）,一覧表示画面,,その他売上ディナー,,,,L1,同画面内,予算と実績の対比一覧,参照表示,-,[外部]TITEM.sales_excluded,既存(V89/V69),388
2次,店長,予実対比（一覧）,一覧表示画面,,割引･値引等,,,,L1,同画面内,予算と実績の対比一覧,参照表示,-,[外部]ZTOTAL.discount,既存(V89/V69),389
2次,店長,予実対比（一覧）,一覧表示画面,,総売上,,,,L1,同画面内,予算と実績の対比一覧,参照表示,-,[外部]ZTOTAL.sales_excluded,既存(V89/V69),390
2次,店長,予実対比（一覧）,一覧表示画面,,フード売上,,,,L1,同画面内,予算と実績の対比一覧,参照表示,-,[外部]TITEM.sales_excluded,既存(V89/V69),391
2次,店長,予実対比（一覧）,一覧表示画面,,フード売上ランチ,,,,L1,同画面内,予算と実績の対比一覧,参照表示,-,[外部]TITEM.sales_excluded,既存(V89/V69),392
2次,店長,予実対比（一覧）,一覧表示画面,,フード売上ディナー,,,,L1,同画面内,予算と実績の対比一覧,参照表示,-,[外部]TITEM.sales_excluded,既存(V89/V69),393
2次,店長,予実対比（一覧）,一覧表示画面,,ドリンク売上,,,,L1,同画面内,予算と実績の対比一覧,参照表示,-,[外部]TITEM.sales_excluded,既存(V89/V69),394
2次,店長,予実対比（一覧）,一覧表示画面,,ドリンク売上ランチ,,,,L1,同画面内,予算と実績の対比一覧,参照表示,-,[外部]TITEM.sales_excluded,既存(V89/V69),395
2次,店長,予実対比（一覧）,一覧表示画面,,ドリンク売上ディナー,,,,L1,同画面内,予算と実績の対比一覧,参照表示,-,[外部]TITEM.sales_excluded,既存(V89/V69),396
2次,店長,予実対比（一覧）,一覧表示画面,,FD仕入,,,,L1,同画面内,予算と実績の対比一覧,参照表示,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),397
2次,店長,予実対比（一覧）,一覧表示画面,,フード仕入,,,,L1,同画面内,予算と実績の対比一覧,参照表示,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),398
2次,店長,予実対比（一覧）,一覧表示画面,,ドリンク仕入,,,,L1,同画面内,予算と実績の対比一覧,参照表示,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),399
2次,店長,予実対比（一覧）,一覧表示画面,,人件費,,,,L1,同画面内,予算と実績の対比一覧,参照表示,-,[外部]head_office_connected_service_labor_costs_logs.labor_costs,既存(V89/V69),400
2次,店長,予実対比（一覧）,一覧表示画面,,固定人件費,,,,L1,同画面内,予算と実績の対比一覧,参照表示,-,[外部]head_office_connected_service_labor_costs_logs.labor_costs,既存(V89/V69),401
2次,店長,予実対比（一覧）,一覧表示画面,,PA人件費,,,,L1,同画面内,予算と実績の対比一覧,参照表示,-,[外部]head_office_employee_working_records.daily_cost,既存(V89/V69),402
2次,店長,予実対比（一覧）,一覧表示画面,,その他経費,,,,L1,同画面内,予算と実績の対比一覧,SUM経費,-,-,既存(V89/V69),404
2次,店長,予実対比（一覧）,一覧表示画面,,地代家賃,,,,L1,同画面内,予算と実績の対比一覧,費目=家賃,-,-,既存(V89/V69),405
2次,店長,予実対比（一覧）,一覧表示画面,,資材費,,,,L1,同画面内,予算と実績の対比一覧,費目=資材費,-,-,既存(V89/V69),406
2次,店長,予算一覧（予算構成）,一覧表示画面,,売上 計,,,,L1,同画面内,予算の構成比を一覧表示,参照表示,-,[外部]ZTOTAL.sales_excluded,既存(V89/V69),408
2次,店長,予算一覧（予算構成）,一覧表示画面,,フード売上 計,,,,L1,同画面内,予算の構成比を一覧表示,参照表示,-,[外部]TITEM.sales_excluded,既存(V89/V69),409
2次,店長,予算一覧（予算構成）,一覧表示画面,,ドリンク売上 計,,,,L1,同画面内,予算の構成比を一覧表示,参照表示,-,[外部]TITEM.sales_excluded,既存(V89/V69),410
2次,店長,予算一覧（予算構成）,一覧表示画面,,その他売上 計（サービス料等）,,,,L1,同画面内,予算の構成比を一覧表示,参照表示,-,[外部]ZTOTAL.service_charge_1,既存(V89/V69),411
2次,店長,予算一覧（予算構成）,一覧表示画面,,FD仕入 計,,,,L1,同画面内,予算の構成比を一覧表示,参照表示,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),413
2次,店長,予算一覧（予算構成）,一覧表示画面,,人件費 計,,,,L1,同画面内,予算の構成比を一覧表示,参照表示,-,[外部]head_office_connected_service_labor_costs_logs.labor_costs,既存(V89/V69),414
2次,店長,予算一覧（予算構成）,一覧表示画面,,その他経費 計,,,,L1,同画面内,予算の構成比を一覧表示,SUM,-,-,既存(V89/V69),415
2次,店長,予算一覧（予算構成）,一覧表示画面,,IT費,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),416
2次,店長,予算一覧（予算構成）,一覧表示画面,,ガス代,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),417
2次,店長,予算一覧（予算構成）,一覧表示画面,,サービス費,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),418
2次,店長,予算一覧（予算構成）,一覧表示画面,,保守修繕費,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),419
2次,店長,予算一覧（予算構成）,一覧表示画面,,外注費,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),420
2次,店長,予算一覧（予算構成）,一覧表示画面,,支払手数料,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),421
2次,店長,予算一覧（予算構成）,一覧表示画面,,水道代,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),422
2次,店長,予算一覧（予算構成）,一覧表示画面,,消耗品費,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),423
2次,店長,予算一覧（予算構成）,一覧表示画面,,衛生費,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),424
2次,店長,予算一覧（予算構成）,一覧表示画面,,調査費,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),425
2次,店長,予算一覧（予算構成）,一覧表示画面,,諸会費,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),426
2次,店長,予算一覧（予算構成）,一覧表示画面,,警備料,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),427
2次,店長,予算一覧（予算構成）,一覧表示画面,,販売促進費,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),428
2次,店長,予算一覧（予算構成）,一覧表示画面,,販売管理費,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),429
2次,店長,予算一覧（予算構成）,一覧表示画面,,通信費,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),430
2次,店長,予算一覧（予算構成）,一覧表示画面,,雑費,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),431
2次,店長,予算一覧（予算構成）,一覧表示画面,,電気代,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),432
2次,店長,予算一覧（予算構成）,一覧表示画面,,フード売上ランチ,,,,L1,同画面内,予算の構成比を一覧表示,参照表示,-,[外部]TITEM.sales_excluded,既存(V89/V69),434
2次,店長,予算一覧（予算構成）,一覧表示画面,,フード売上ディナー,,,,L1,同画面内,予算の構成比を一覧表示,参照表示,-,[外部]TITEM.sales_excluded,既存(V89/V69),435
2次,店長,予算一覧（予算構成）,一覧表示画面,,ドリンク売上ランチ,,,,L1,同画面内,予算の構成比を一覧表示,参照表示,-,[外部]TITEM.sales_excluded,既存(V89/V69),436
2次,店長,予算一覧（予算構成）,一覧表示画面,,ドリンク売上ディナー,,,,L1,同画面内,予算の構成比を一覧表示,参照表示,-,[外部]TITEM.sales_excluded,既存(V89/V69),437
2次,店長,予算一覧（予算構成）,一覧表示画面,,フード仕入,,,,L1,同画面内,予算の構成比を一覧表示,参照表示,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),438
2次,店長,予算一覧（予算構成）,一覧表示画面,,ドリンク仕入,,,,L1,同画面内,予算の構成比を一覧表示,参照表示,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),439
2次,店長,予算一覧（予算構成）,一覧表示画面,,固定人件費,,,,L1,同画面内,予算の構成比を一覧表示,参照表示,-,[外部]head_office_connected_service_labor_costs_logs.labor_costs,既存(V89/V69),440
2次,店長,予算一覧（予算構成）,一覧表示画面,,PA人件費,,,,L1,同画面内,予算の構成比を一覧表示,参照表示,-,[外部]head_office_employee_working_records.daily_cost,既存(V89/V69),441
2次,店長,予算一覧（予算構成）,一覧表示画面,,地代家賃,,,,L1,同画面内,予算の構成比を一覧表示,費目=家賃,-,-,既存(V89/V69),443
2次,店長,予算一覧（予算構成）,一覧表示画面,,資材費,,,,L1,同画面内,予算の構成比を一覧表示,費目=資材費,-,-,既存(V89/V69),444
2次,店長,予算一覧（予算構成）,一覧表示画面,,減価償却費,,,,L1,同画面内,予算の構成比を一覧表示,費目=減価償却費,-,-,既存(V89/V69),445
2次,店長,予算一覧（予算構成）,一覧表示画面,,ｸﾚｼﾞｯﾄ手数料,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),446
2次,店長,予算一覧（予算構成）,一覧表示画面,,メニューコピー,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),446a
2次,店長,予算一覧（予算構成）,一覧表示画面,,租税公課,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),446b
2次,店長,予算一覧（予算構成）,一覧表示画面,,接待交際費,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),446c
2次,店長,予算一覧（予算構成）,一覧表示画面,,旅費交通費,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),446d
2次,店長,予算一覧（予算構成）,一覧表示画面,,会議費,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),446e
2次,店長,予算一覧（予算構成）,一覧表示画面,,図書教育費,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),446f
2次,店長,予算一覧（予算構成）,一覧表示画面,,研修費,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),446g
2次,店長,予算一覧（予算構成）,一覧表示画面,,業態研究費,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),446h
2次,店長,予算一覧（予算構成）,一覧表示画面,,採用費,,,,L1,同画面内,予算の構成比を一覧表示,費目フィルタ,-,-,既存(V89/V69),446i
2次,店長,予算一覧（予算設定値）,一覧表示画面,,月次目標利益,,,,L1,同画面内,設定した予算値の一覧表示,マスタ参照,-,月次予算設定.目標月次利益,既存(V89/V69),447
2次,店長,予算一覧（予算設定値）,一覧表示画面,,目標FD仕入費率,,,,L1,同画面内,設定した予算値の一覧表示,マスタ参照,-,[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,既存(V89/V69),448
2次,店長,予算一覧（予算設定値）,一覧表示画面,,目標PA人件費率,,,,L1,同画面内,設定した予算値の一覧表示,マスタ参照,-,[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,既存(V89/V69),449
2次,店長,予算一覧（予算設定値）,一覧表示画面,,目標客単価,,,,L1,同画面内,設定した予算値の一覧表示,マスタ参照,-,月次予算設定.目標客単価（税抜）,既存(V89/V69),450
2次,店長,仕入先分析,分析画面,,仕入れ先,,,,L1,同画面内,仕入先ごとの金額・比率を分析。納品書撮影データを集計,マスタ参照,-,[外部]member_name_partner.client_name,既存(V89/V69),239
2次,店長,仕入先分析,分析画面,,金額（税抜）,,,,L1,同画面内,仕入先ごとの金額・比率を分析。納品書撮影データを集計,SUM仕入先別,-,[外部]infomart_transactions.total_tax_excluded + ラクミーアプリ.納品書撮影.小計（税抜）,既存(V89/V69),240
2次,店長,商品仕入単価,一覧表示画面,,アイテム,,,,L1,同画面内,商品ごとの仕入単価推移を分析,参照表示,-,[外部]detail_list.item_name,既存(V89/V69),451
2次,店長,商品仕入単価,一覧表示画面,,金額（税抜）,,,,L1,同画面内,商品ごとの仕入単価推移を分析,参照表示,-,[外部]detail_list.price,既存(V89/V69),452
2次,店長,商品仕入単価,一覧表示画面,,数量,,,,L1,同画面内,商品ごとの仕入単価推移を分析,参照表示,-,[外部]detail_list.num,既存(V89/V69),453
2次,店長,商品別仕入分析,分析画面,,商品,,,,L1,同画面内,商品ごとの仕入金額・比率を分析,マスタ参照,-,[外部]detail_list.item_name,既存(V89/V69),246
2次,店長,商品別仕入分析,分析画面,,仕入先,,,,L1,同画面内,商品ごとの仕入金額・比率を分析,マスタ参照,-,[外部]member_name_partner.client_name,既存(V89/V69),247
2次,店長,商品別仕入分析,分析画面,,金額（税抜）,,,,L1,同画面内,商品ごとの仕入金額・比率を分析,SUM商品別,-,[外部]detail_list.price,既存(V89/V69),248
2次,店長,商品別売上分析,分析画面,,販売数量,,,,L1,同画面内,-,SUM商品別,-,[外部]TITEM.quantity,既存(V89/V69),252
2次,店長,地代家賃設定,設定入力画面,,地代家賃シミュレーション金額,,,,L1,同画面内,月額売上予算に対する賃料試算結果,"IF(賃料体系=固定賃料) → 固定賃料
IF(変動賃料・合算) → 固定賃料 + 売上×歩合率×売上歩合対象率
IF(変動賃料・最大選択) → MAX(固定賃料, 売上×歩合率×売上歩合対象率)
IF(段階別歩合・合算) → 固定賃料 + Σ段階別歩合額
IF(段階別歩合・最大選択) → MAX(固定賃料, Σ段階別歩合額)
※最低保証額を下回る場合は最低保証額を適用",-,"地代家賃設定.賃料体系, 地代家賃設定.固定賃料, 地代家賃設定.歩合率, 地代家賃設定.最低保証額, 地代家賃設定.月額売上予算（シミュレーション入力）",既存(V89/V69),P21
2次,店長,平均単価推移,分析画面,,仕入商品ラベル,,,,L1,同画面内,仕入商品ラベル別の平均単価推移を表示,ラベルマスタ,-,[外部]detail_list.item_name,既存(V89/V69),257
2次,店長,平均単価推移,分析画面,,仕入金額（税抜）,,,,L1,同画面内,仕入商品ラベル別の平均単価推移を表示,SUM月別,-,[外部]detail_list.price,既存(V89/V69),258
2次,店長,平均単価推移,分析画面,,数量,,,,L1,同画面内,仕入商品ラベル別の平均単価推移を表示,SUM月別,-,[外部]detail_list.num,既存(V89/V69),259
2次,店長,年間予実対比,分析画面,,月次実績_総売上 計,,,,L1,同画面内,-,SUM月次,-,[外部]ZTOTAL.sales_excluded,既存(V89/V69),497
2次,店長,年間予実対比,分析画面,,月次実績_フード売上 計,,,,L1,同画面内,-,SUMフード月次,-,[外部]TITEM.sales_excluded,既存(V89/V69),498
2次,店長,年間予実対比,分析画面,,月次実績_ドリンク売上 計,,,,L1,同画面内,-,SUMドリンク月次,-,[外部]TITEM.sales_excluded,既存(V89/V69),499
2次,店長,年間予実対比,分析画面,,月次実績_その他売上 計,,,,L1,同画面内,-,SUMその他月次,-,[外部]ZTOTAL.service_charge_1,既存(V89/V69),500
2次,店長,年間予実対比,分析画面,,月次実績_FD仕入 計,,,,L1,同画面内,-,SUMFD月次,-,インフォマート（仕入）,既存(V89/V69),502
2次,店長,年間予実対比,分析画面,,月次実績_人件費 計,,,,L1,同画面内,-,SUM月次,-,[外部]head_office_employee_working_records.daily_cost,既存(V89/V69),503
2次,店長,年間予実対比,分析画面,,月次実績_その他経費 計,,,,L1,同画面内,-,SUM経費月次,-,[入力]monthly_costs.value,既存(V89/V69),504
2次,店長,年間予実対比,分析画面,,月次予算_総売上 計,,,,L1,同画面内,-,月次予算,-,月次予算設定.売上（税抜）,既存(V89/V69),506
2次,店長,年間予実対比,分析画面,,月次予算_フード売上 計,,,,L1,同画面内,-,月次予算_総売上 計 × 売上構成比設定.フード構成比,-,月次予算設定.月次フード売上,既存(V89/V69),507
2次,店長,年間予実対比,分析画面,,月次予算_ドリンク売上 計,,,,L1,同画面内,-,月次予算_総売上 計 × 売上構成比設定.ドリンク構成比,-,月次予算設定.月次ドリンク売上,既存(V89/V69),508
2次,店長,年間予実対比,分析画面,,月次予算_その他売上 計,,,,L1,同画面内,-,月次予算_総売上 計 × 売上構成比設定.その他構成比,-,月次予算設定.月次その他売上,既存(V89/V69),509
2次,店長,年間予実対比,分析画面,,月次予算_FD仕入 計,,,,L1,同画面内,-,月次予算設定.売上（税抜） × 月次予算設定.FD仕入比率,-,月次予算設定.月次FD仕入,既存(V89/V69),511
2次,店長,年間予実対比,分析画面,,月次予算_人件費 計,,,,L1,同画面内,-,月次予算設定.売上 × PA人件費率 + 固定人件費予算,-,月次予算設定.月次人件費,既存(V89/V69),512
2次,店長,年間予実対比,分析画面,,月次予算_その他経費 計,,,,L1,同画面内,-,費用設定.その他経費予算合計,-,月次予算設定.月次その他経費,既存(V89/V69),513
2次,店長,年間予実対比（サマリー）,ダッシュボード表示画面,,FD仕入額,,,,L1,同画面内,-,参照表示,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),478
2次,店長,年間予実対比（サマリー）,ダッシュボード表示画面,,人件費額,,,,L1,同画面内,-,参照表示,-,[外部]head_office_connected_service_labor_costs_logs.labor_costs,既存(V89/V69),479
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_総売上 計,,,,L1,同画面内,-,SUM,-,[外部]ZTOTAL.sales_excluded,既存(V89/V69),262
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_フード売上 計,,,,L1,同画面内,-,SUMフード,-,[外部]TITEM.sales_excluded,既存(V89/V69),263
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_ドリンク売上 計,,,,L1,同画面内,-,SUMドリンク,-,[外部]TITEM.sales_excluded,既存(V89/V69),264
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_その他売上 計,,,,L1,同画面内,-,SUM,-,[外部]ZTOTAL.service_charge_1,既存(V89/V69),265
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_その他売上ランチ,,,,L1,同画面内,-,SUM(その他かつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),266
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_その他売上ディナー,,,,L1,同画面内,-,SUM(その他かつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),267
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_FD仕入 計,,,,L1,同画面内,-,SUMFD,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),269
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_人件費 計,,,,L1,同画面内,-,SUM,-,[外部]head_office_connected_service_labor_costs_logs.labor_costs,既存(V89/V69),270
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_その他経費 計,,,,L1,同画面内,-,SUM,-,-,既存(V89/V69),271
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_ラクミー利用料,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),272
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_IT費用,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),273
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_お花代,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),274
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_ガス代,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),275
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_クレジットカード手数料,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),276
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_レジ利用料,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),277
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_借入金返済,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),278
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_家賃（変動分）,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),279
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_水道代,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),280
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_社員人件費,,,,L1,同画面内,-,SUM月給者,-,[外部]head_office_connected_service_labor_costs_logs.labor_costs,既存(V89/V69),281
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_電気代,,,,L1,同画面内,-,費目フィルタ,-,-,既存(V89/V69),282
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_フード売上ランチ,,,,L1,同画面内,-,SUM(フードかつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),284
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_フード売上ディナー,,,,L1,同画面内,-,SUM(フードかつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),285
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_ドリンク売上ランチ,,,,L1,同画面内,-,SUM(ドリンクかつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),286
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_ドリンク売上ディナー,,,,L1,同画面内,-,SUM(ドリンクかつ時間フィルタ),-,[外部]TITEM.sales_excluded,既存(V89/V69),287
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_フード仕入,,,,L1,同画面内,-,SUMフード,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),288
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_ドリンク仕入,,,,L1,同画面内,-,SUMドリンク,-,[外部]infomart_transactions.total_tax_excluded,既存(V89/V69),289
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_固定人件費,,,,L1,同画面内,-,SUM月給者,-,[外部]head_office_connected_service_labor_costs_logs.labor_costs,既存(V89/V69),290
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_PA人件費,,,,L1,同画面内,-,SUM,-,[外部]head_office_employee_working_records.daily_cost,既存(V89/V69),291
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_地代家賃,,,,L1,同画面内,-,費目=家賃,-,-,既存(V89/V69),293
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_資材費,,,,L1,同画面内,-,費目=資材費,-,-,既存(V89/V69),294
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_水道光熱費,,,,L1,同画面内,-,費目=水道光熱費,-,-,既存(V89/V69),295
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_減価償却費,,,,L1,同画面内,-,費目=減価償却費,-,-,既存(V89/V69),296
2次,店長,年間予実対比（予実対比）,分析画面,,年間実績_販促費,,,,L1,同画面内,-,費目=販促費,-,-,既存(V89/V69),297
2次,店長,年間予実対比（予実対比）,分析画面,,年間予算_総売上 計,,,,L1,同画面内,-,SUM月次予算,-,月次予算設定.年間総売上,既存(V89/V69),551
2次,店長,年間予実対比（予実対比）,分析画面,,年間予算_フード売上 計,,,,L1,同画面内,-,年間予算_総売上 計 × 売上構成比設定.フード構成比,-,月次予算設定.年間フード売上,既存(V89/V69),552
