画面タイトル,画面タイプ,次数,指標名,計算レイヤー,依存先指標,用途コメント,V89No
年間予実対比（予実対比）,分析画面,3次,年間予実差額_水道代,L2-S,"年間予実対比（予実対比）.年間実績_水道代, 年間予実対比（予実対比）.年間予算_水道代",-,368
年間予実対比（予実対比）,分析画面,3次,年間予実差額_減価償却費,L2-S,"年間予実対比（予実対比）.年間実績_減価償却費, 年間予実対比（予実対比）.年間予算_減価償却費",-,369
年間予実対比（予実対比）,分析画面,3次,年間予実差額_販促費,L2-S,"年間予実対比（予実対比）.年間実績_販促費, 年間予実対比（予実対比）.年間予算_販促費",-,370
年間予実対比（予実対比）,分析画面,3次,年間予実差額_資材費,L2-S,"年間予実対比（予実対比）.年間実績_資材費, 年間予実対比（予実対比）.年間予算_資材費",-,371
年間予実対比（予実対比）,分析画面,3次,年間予実差額_借入金返済,L2-S,"年間予実対比（予実対比）.年間実績_借入金返済, 年間予実対比（予実対比）.年間予算_借入金返済",-,372
年間予実対比（予実対比）,分析画面,3次,年間予実差額_IT費用,L2-S,"年間予実対比（予実対比）.年間実績_IT費用, 年間予実対比（予実対比）.年間予算_IT費用",-,373
年間予実対比（予実対比）,分析画面,3次,年間予実差額_ラクミー利用料,L2-S,"年間予実対比（予実対比）.年間実績_ラクミー利用料, 年間予実対比（予実対比）.年間予算_ラクミー利用料",-,374
年間予実対比（予実対比）,分析画面,3次,年間予実差額_レジ利用料,L2-S,"年間予実対比（予実対比）.年間実績_レジ利用料, 年間予実対比（予実対比）.年間予算_レジ利用料",-,375
年間予実対比（予実対比）,分析画面,3次,年間予実差額_クレジットカード手数料,L2-S,"年間予実対比（予実対比）.年間実績_クレジットカード手数料, 年間予実対比（予実対比）.年間予算_クレジットカード手数料",-,376
年間予実対比（予実対比）,分析画面,3次,年間予実差額_お花代,L2-S,"年間予実対比（予実対比）.年間実績_お花代, 年間予実対比（予実対比）.年間予算_お花代",-,377
年間予実対比（予実対比）,分析画面,3次,年間予実差額_営業利益,L2-S,"年間予実対比（予実対比）.年間実績_営業利益, 年間予実対比（予実対比）.年間予算_営業利益",-,378
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_総売上 計,L2-S,"年間予実対比（予実対比）.年間実績_総売上 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,379
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_フード売上 計,L2-S,"年間予実対比（予実対比）.年間実績_フード売上 計, 年間予実対比（予実対比）.年間予算_フード売上 計",-,380
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_フード売上ランチ,L2-S,"年間予実対比（予実対比）.年間実績_フード売上ランチ, 年間予実対比（予実対比）.年間予算_フード売上ランチ",-,381
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_フード売上ディナー,L2-S,"年間予実対比（予実対比）.年間実績_フード売上ディナー, 年間予実対比（予実対比）.年間予算_フード売上ディナー",-,382
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_ドリンク売上 計,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク売上 計, 年間予実対比（予実対比）.年間予算_ドリンク売上 計",-,383
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_ドリンク売上ランチ,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク売上ランチ, 年間予実対比（予実対比）.年間予算_ドリンク売上ランチ",-,384
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_ドリンク売上ディナー,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク売上ディナー, 年間予実対比（予実対比）.年間予算_ドリンク売上ディナー",-,385
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_その他売上 計,L2-S,"年間予実対比（予実対比）.年間実績_その他売上 計, 年間予実対比（予実対比）.年間予算_その他売上 計",-,386
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_その他売上ランチ,L2-S,"年間予実対比（予実対比）.年間実績_その他売上ランチ, 年間予実対比（予実対比）.年間予算_その他売上ランチ",-,387
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_その他売上ディナー,L2-S,"年間予実対比（予実対比）.年間実績_その他売上ディナー, 年間予実対比（予実対比）.年間予算_その他売上ディナー",-,388
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_FLコスト 計,L2-S,"年間予実対比（予実対比）.年間実績_FLコスト 計, 年間予実対比（予実対比）.年間予算_FLコスト 計",-,389
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_FD仕入 計,L2-S,"年間予実対比（予実対比）.年間実績_FD仕入 計, 年間予実対比（予実対比）.年間予算_FD仕入 計",-,390
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_フード仕入,L2-S,"年間予実対比（予実対比）.年間実績_フード仕入, 年間予実対比（予実対比）.年間予算_フード仕入",-,391
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_ドリンク仕入,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク仕入, 年間予実対比（予実対比）.年間予算_ドリンク仕入",-,392
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_人件費 計,L2-S,"年間予実対比（予実対比）.年間実績_人件費 計, 年間予実対比（予実対比）.年間予算_人件費 計",-,393
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_固定人件費,L2-S,"年間予実対比（予実対比）.年間実績_固定人件費, 年間予実対比（予実対比）.年間予算_固定人件費",-,394
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_PA人件費,L2-S,"年間予実対比（予実対比）.年間実績_PA人件費, 年間予実対比（予実対比）.年間予算_PA人件費",-,395
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_社員人件費,L2-S,"年間予実対比（予実対比）.年間実績_社員人件費, 年間予実対比（予実対比）.年間予算_社員人件費",-,396
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_ヘルプ人件費,L2-S,"年間予実対比（予実対比）.年間実績_ヘルプ人件費, 年間予実対比（予実対比）.年間予算_ヘルプ人件費",-,397
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_その他経費 計,L2-S,"年間予実対比（予実対比）.年間実績_その他経費 計, 年間予実対比（予実対比）.年間予算_その他経費 計",-,398
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_地代家賃,L2-S,"年間予実対比（予実対比）.年間実績_地代家賃, 年間予実対比（予実対比）.年間予算_地代家賃",-,399
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_家賃（変動分）,L2-S,"年間予実対比（予実対比）.年間実績_家賃（変動分）, 年間予実対比（予実対比）.年間予算_家賃（変動分）",-,400
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_水道光熱費,L2-S,"年間予実対比（予実対比）.年間実績_水道光熱費, 年間予実対比（予実対比）.年間予算_水道光熱費",-,401
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_電気代,L2-S,"年間予実対比（予実対比）.年間実績_電気代, 年間予実対比（予実対比）.年間予算_電気代",-,402
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_ガス代,L2-S,"年間予実対比（予実対比）.年間実績_ガス代, 年間予実対比（予実対比）.年間予算_ガス代",-,403
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_水道代,L2-S,"年間予実対比（予実対比）.年間実績_水道代, 年間予実対比（予実対比）.年間予算_水道代",-,404
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_減価償却費,L2-S,"年間予実対比（予実対比）.年間実績_減価償却費, 年間予実対比（予実対比）.年間予算_減価償却費",-,405
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_販促費,L2-S,"年間予実対比（予実対比）.年間実績_販促費, 年間予実対比（予実対比）.年間予算_販促費",-,406
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_資材費,L2-S,"年間予実対比（予実対比）.年間実績_資材費, 年間予実対比（予実対比）.年間予算_資材費",-,407
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_借入金返済,L2-S,"年間予実対比（予実対比）.年間実績_借入金返済, 年間予実対比（予実対比）.年間予算_借入金返済",-,408
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_IT費用,L2-S,"年間予実対比（予実対比）.年間実績_IT費用, 年間予実対比（予実対比）.年間予算_IT費用",-,409
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_ラクミー利用料,L2-S,"年間予実対比（予実対比）.年間実績_ラクミー利用料, 年間予実対比（予実対比）.年間予算_ラクミー利用料",-,410
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_レジ利用料,L2-S,"年間予実対比（予実対比）.年間実績_レジ利用料, 年間予実対比（予実対比）.年間予算_レジ利用料",-,411
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_クレジットカード手数料,L2-S,"年間予実対比（予実対比）.年間実績_クレジットカード手数料, 年間予実対比（予実対比）.年間予算_クレジットカード手数料",-,412
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_お花代,L2-S,"年間予実対比（予実対比）.年間実績_お花代, 年間予実対比（予実対比）.年間予算_お花代",-,413
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_営業利益,L2-S,"年間予実対比（予実対比）.年間実績_営業利益, 年間予実対比（予実対比）.年間予算_営業利益",-,414
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_総売上 計,L2-S,"年間予実対比（予実対比）.年間予算_総売上 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,415
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_フード売上 計,L2-S,"年間予実対比（予実対比）.年間予算_フード売上 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,416
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_フード売上ランチ,L2-S,"年間予実対比（予実対比）.年間予算_フード売上ランチ, 年間予実対比（予実対比）.年間予算_総売上 計",-,417
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_フード売上ディナー,L2-S,"年間予実対比（予実対比）.年間予算_フード売上ディナー, 年間予実対比（予実対比）.年間予算_総売上 計",-,418
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_ドリンク売上 計,L2-S,"年間予実対比（予実対比）.年間予算_ドリンク売上 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,419
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_ドリンク売上ランチ,L2-S,"年間予実対比（予実対比）.年間予算_ドリンク売上ランチ, 年間予実対比（予実対比）.年間予算_総売上 計",-,420
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_ドリンク売上ディナー,L2-S,"年間予実対比（予実対比）.年間予算_ドリンク売上ディナー, 年間予実対比（予実対比）.年間予算_総売上 計",-,421
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_その他売上 計,L2-S,"年間予実対比（予実対比）.年間予算_その他売上 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,422
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_その他売上ランチ,L2-S,"年間予実対比（予実対比）.年間予算_その他売上ランチ, 年間予実対比（予実対比）.年間予算_総売上 計",-,423
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_その他売上ディナー,L2-S,"年間予実対比（予実対比）.年間予算_その他売上ディナー, 年間予実対比（予実対比）.年間予算_総売上 計",-,424
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_FLコスト 計,L2-S,"年間予実対比（予実対比）.年間予算_FLコスト 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,425
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_FD仕入 計,L2-S,"年間予実対比（予実対比）.年間予算_FD仕入 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,426
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_フード仕入,L2-S,"年間予実対比（予実対比）.年間予算_フード仕入, 年間予実対比（予実対比）.年間予算_総売上 計",-,427
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_ドリンク仕入,L2-S,"年間予実対比（予実対比）.年間予算_ドリンク仕入, 年間予実対比（予実対比）.年間予算_総売上 計",-,428
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_人件費 計,L2-S,"年間予実対比（予実対比）.年間予算_人件費 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,429
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_固定人件費,L2-S,"年間予実対比（予実対比）.年間予算_固定人件費, 年間予実対比（予実対比）.年間予算_総売上 計",-,430
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_PA人件費,L2-S,"年間予実対比（予実対比）.年間予算_PA人件費, 年間予実対比（予実対比）.年間予算_総売上 計",-,431
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_社員人件費,L2-S,"年間予実対比（予実対比）.年間予算_社員人件費, 年間予実対比（予実対比）.年間予算_総売上 計",-,432
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_ヘルプ人件費,L2-S,"年間予実対比（予実対比）.年間予算_ヘルプ人件費, 年間予実対比（予実対比）.年間予算_総売上 計",-,433
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_その他経費 計,L2-S,"年間予実対比（予実対比）.年間予算_その他経費 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,434
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_地代家賃,L2-S,"年間予実対比（予実対比）.年間予算_地代家賃, 年間予実対比（予実対比）.年間予算_総売上 計",-,435
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_家賃（変動分）,L2-S,"年間予実対比（予実対比）.年間予算_家賃（変動分）, 年間予実対比（予実対比）.年間予算_総売上 計",-,436
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_水道光熱費,L2-S,"年間予実対比（予実対比）.年間予算_水道光熱費, 年間予実対比（予実対比）.年間予算_総売上 計",-,437
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_電気代,L2-S,"年間予実対比（予実対比）.年間予算_電気代, 年間予実対比（予実対比）.年間予算_総売上 計",-,438
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_ガス代,L2-S,"年間予実対比（予実対比）.年間予算_ガス代, 年間予実対比（予実対比）.年間予算_総売上 計",-,439
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_水道代,L2-S,"年間予実対比（予実対比）.年間予算_水道代, 年間予実対比（予実対比）.年間予算_総売上 計",-,440
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_減価償却費,L2-S,"年間予実対比（予実対比）.年間予算_減価償却費, 年間予実対比（予実対比）.年間予算_総売上 計",-,441
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_販促費,L2-S,"年間予実対比（予実対比）.年間予算_販促費, 年間予実対比（予実対比）.年間予算_総売上 計",-,442
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_資材費,L2-S,"年間予実対比（予実対比）.年間予算_資材費, 年間予実対比（予実対比）.年間予算_総売上 計",-,443
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_借入金返済,L2-S,"年間予実対比（予実対比）.年間予算_借入金返済, 年間予実対比（予実対比）.年間予算_総売上 計",-,444
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_IT費用,L2-S,"年間予実対比（予実対比）.年間予算_IT費用, 年間予実対比（予実対比）.年間予算_総売上 計",-,445
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_ラクミー利用料,L2-S,"年間予実対比（予実対比）.年間予算_ラクミー利用料, 年間予実対比（予実対比）.年間予算_総売上 計",-,446
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_レジ利用料,L2-S,"年間予実対比（予実対比）.年間予算_レジ利用料, 年間予実対比（予実対比）.年間予算_総売上 計",-,447
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_クレジットカード手数料,L2-S,"年間予実対比（予実対比）.年間予算_クレジットカード手数料, 年間予実対比（予実対比）.年間予算_総売上 計",-,448
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_お花代,L2-S,"年間予実対比（予実対比）.年間予算_お花代, 年間予実対比（予実対比）.年間予算_総売上 計",-,449
年間予実対比（予実対比）,分析画面,3次,年間予算構成比_営業利益,L2-S,"年間予実対比（予実対比）.年間予算_営業利益, 年間予実対比（予実対比）.年間予算_総売上 計",-,450
年間予実対比（予実対比）,分析画面,3次,年間構成比_総売上 計,L2-S,"年間予実対比（予実対比）.年間実績_総売上 計, 年間予実対比（予実対比）.年間実績_総売上 計",-,451
年間予実対比（予実対比）,分析画面,3次,年間構成比_フード売上 計,L2-S,"年間予実対比（予実対比）.年間実績_フード売上 計, 年間予実対比（予実対比）.年間実績_総売上 計",-,452
年間予実対比（予実対比）,分析画面,3次,年間構成比_フード売上ランチ,L2-S,"年間予実対比（予実対比）.年間実績_フード売上ランチ, 年間予実対比（予実対比）.年間実績_総売上 計",-,453
年間予実対比（予実対比）,分析画面,3次,年間構成比_フード売上ディナー,L2-S,"年間予実対比（予実対比）.年間実績_フード売上ディナー, 年間予実対比（予実対比）.年間実績_総売上 計",-,454
年間予実対比（予実対比）,分析画面,3次,年間構成比_ドリンク売上 計,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク売上 計, 年間予実対比（予実対比）.年間実績_総売上 計",-,455
年間予実対比（予実対比）,分析画面,3次,年間構成比_ドリンク売上ランチ,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク売上ランチ, 年間予実対比（予実対比）.年間実績_総売上 計",-,456
年間予実対比（予実対比）,分析画面,3次,年間構成比_ドリンク売上ディナー,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク売上ディナー, 年間予実対比（予実対比）.年間実績_総売上 計",-,457
年間予実対比（予実対比）,分析画面,3次,年間構成比_その他売上 計,L2-S,"年間予実対比（予実対比）.年間実績_その他売上 計, 年間予実対比（予実対比）.年間実績_総売上 計",-,458
年間予実対比（予実対比）,分析画面,3次,年間構成比_その他売上ランチ,L2-S,"年間予実対比（予実対比）.年間実績_その他売上ランチ, 年間予実対比（予実対比）.年間実績_総売上 計",-,459
年間予実対比（予実対比）,分析画面,3次,年間構成比_その他売上ディナー,L2-S,"年間予実対比（予実対比）.年間実績_その他売上ディナー, 年間予実対比（予実対比）.年間実績_総売上 計",-,460
年間予実対比（予実対比）,分析画面,3次,年間構成比_FLコスト 計,L2-S,"年間予実対比（予実対比）.年間実績_FLコスト 計, 年間予実対比（予実対比）.年間実績_総売上 計",-,461
年間予実対比（予実対比）,分析画面,3次,年間構成比_FD仕入 計,L2-S,"年間予実対比（予実対比）.年間実績_FD仕入 計, 年間予実対比（予実対比）.年間実績_総売上 計",-,462
年間予実対比（予実対比）,分析画面,3次,年間構成比_フード仕入,L2-S,"年間予実対比（予実対比）.年間実績_フード仕入, 年間予実対比（予実対比）.年間実績_総売上 計",-,463
年間予実対比（予実対比）,分析画面,3次,年間構成比_ドリンク仕入,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク仕入, 年間予実対比（予実対比）.年間実績_総売上 計",-,464
年間予実対比（予実対比）,分析画面,3次,年間構成比_人件費 計,L2-S,"年間予実対比（予実対比）.年間実績_人件費 計, 年間予実対比（予実対比）.年間実績_総売上 計",-,465
年間予実対比（予実対比）,分析画面,3次,年間構成比_固定人件費,L2-S,"年間予実対比（予実対比）.年間実績_固定人件費, 年間予実対比（予実対比）.年間実績_総売上 計",-,466
年間予実対比（予実対比）,分析画面,3次,年間構成比_PA人件費,L2-S,"年間予実対比（予実対比）.年間実績_PA人件費, 年間予実対比（予実対比）.年間実績_総売上 計",-,467
年間予実対比（予実対比）,分析画面,3次,年間構成比_社員人件費,L2-S,"年間予実対比（予実対比）.年間実績_社員人件費, 年間予実対比（予実対比）.年間実績_総売上 計",-,468
年間予実対比（予実対比）,分析画面,3次,年間構成比_ヘルプ人件費,L2-S,"年間予実対比（予実対比）.年間実績_ヘルプ人件費, 年間予実対比（予実対比）.年間実績_総売上 計",-,469
年間予実対比（予実対比）,分析画面,3次,年間構成比_その他経費 計,L2-S,"年間予実対比（予実対比）.年間実績_その他経費 計, 年間予実対比（予実対比）.年間実績_総売上 計",-,470
年間予実対比（予実対比）,分析画面,3次,年間構成比_地代家賃,L2-S,"年間予実対比（予実対比）.年間実績_地代家賃, 年間予実対比（予実対比）.年間実績_総売上 計",-,471
年間予実対比（予実対比）,分析画面,3次,年間構成比_家賃（変動分）,L2-S,"年間予実対比（予実対比）.年間実績_家賃（変動分）, 年間予実対比（予実対比）.年間実績_総売上 計",-,472
年間予実対比（予実対比）,分析画面,3次,年間構成比_水道光熱費,L2-S,"年間予実対比（予実対比）.年間実績_水道光熱費, 年間予実対比（予実対比）.年間実績_総売上 計",-,473
年間予実対比（予実対比）,分析画面,3次,年間構成比_電気代,L2-S,"年間予実対比（予実対比）.年間実績_電気代, 年間予実対比（予実対比）.年間実績_総売上 計",-,474
年間予実対比（予実対比）,分析画面,3次,年間構成比_ガス代,L2-S,"年間予実対比（予実対比）.年間実績_ガス代, 年間予実対比（予実対比）.年間実績_総売上 計",-,475
年間予実対比（予実対比）,分析画面,3次,年間構成比_水道代,L2-S,"年間予実対比（予実対比）.年間実績_水道代, 年間予実対比（予実対比）.年間実績_総売上 計",-,476
年間予実対比（予実対比）,分析画面,3次,年間構成比_減価償却費,L2-S,"年間予実対比（予実対比）.年間実績_減価償却費, 年間予実対比（予実対比）.年間実績_総売上 計",-,477
年間予実対比（予実対比）,分析画面,3次,年間構成比_販促費,L2-S,"年間予実対比（予実対比）.年間実績_販促費, 年間予実対比（予実対比）.年間実績_総売上 計",-,478
年間予実対比（予実対比）,分析画面,3次,年間構成比_資材費,L2-S,"年間予実対比（予実対比）.年間実績_資材費, 年間予実対比（予実対比）.年間実績_総売上 計",-,479
年間予実対比（予実対比）,分析画面,3次,年間構成比_借入金返済,L2-S,"年間予実対比（予実対比）.年間実績_借入金返済, 年間予実対比（予実対比）.年間実績_総売上 計",-,480
年間予実対比（予実対比）,分析画面,3次,年間構成比_IT費用,L2-S,"年間予実対比（予実対比）.年間実績_IT費用, 年間予実対比（予実対比）.年間実績_総売上 計",-,481
年間予実対比（予実対比）,分析画面,3次,年間構成比_ラクミー利用料,L2-S,"年間予実対比（予実対比）.年間実績_ラクミー利用料, 年間予実対比（予実対比）.年間実績_総売上 計",-,482
年間予実対比（予実対比）,分析画面,3次,年間構成比_レジ利用料,L2-S,"年間予実対比（予実対比）.年間実績_レジ利用料, 年間予実対比（予実対比）.年間実績_総売上 計",-,483
年間予実対比（予実対比）,分析画面,3次,年間構成比_クレジットカード手数料,L2-S,"年間予実対比（予実対比）.年間実績_クレジットカード手数料, 年間予実対比（予実対比）.年間実績_総売上 計",-,484
年間予実対比（予実対比）,分析画面,3次,年間構成比_お花代,L2-S,"年間予実対比（予実対比）.年間実績_お花代, 年間予実対比（予実対比）.年間実績_総売上 計",-,485
年間予実対比（予実対比）,分析画面,3次,年間構成比_営業利益,L2-S,"年間予実対比（予実対比）.年間実績_営業利益, 年間予実対比（予実対比）.年間実績_総売上 計",-,486
年間予実対比（予実対比）,分析画面,4次,年間実績_ヘルプ人件費,L3-S,[外部]勤怠連携（KOT/ジョブカン）.ヘルプ人件費,-,241
年間予実対比（予実対比）,分析画面,4次,年間予算_固定人件費,L3-S,月次予算設定.年間固定人件費,-,322
年間予実対比（予実対比）,分析画面,4次,年間予算_社員人件費,L3-S,月次予算設定.年間社員人件費,-,324
年間予実対比（予実対比）,分析画面,4次,年間予算_ヘルプ人件費,L3-S,月次予算設定.年間ヘルプ人件費,-,325
年間予実対比（予実対比）,分析画面,4次,年間予算_その他経費 計,L3-S,月次予算設定.年間その他経費,-,326
年間予実対比（予実対比）,分析画面,4次,年間予算_地代家賃,L3-S,月次予算設定.年間地代家賃,-,327
年間予実対比（予実対比）,分析画面,4次,年間予算_家賃（変動分）,L3-S,月次予算設定.年間家賃（変動分）,-,328
年間予実対比（予実対比）,分析画面,4次,年間予算_水道光熱費,L3-S,月次予算設定.年間水道光熱費,-,329
年間予実対比（予実対比）,分析画面,4次,年間予算_電気代,L3-S,月次予算設定.年間電気代,-,330
年間予実対比（予実対比）,分析画面,4次,年間予算_ガス代,L3-S,月次予算設定.年間ガス代,-,331
年間予実対比（予実対比）,分析画面,4次,年間予算_水道代,L3-S,月次予算設定.年間水道代,-,332
年間予実対比（予実対比）,分析画面,4次,年間予算_減価償却費,L3-S,月次予算設定.年間減価償却費,-,333
年間予実対比（予実対比）,分析画面,4次,年間予算_販促費,L3-S,月次予算設定.年間販促費,-,334
年間予実対比（予実対比）,分析画面,4次,年間予算_資材費,L3-S,月次予算設定.年間資材費,-,335
年間予実対比（予実対比）,分析画面,4次,年間予算_借入金返済,L3-S,月次予算設定.年間借入金返済,-,336
年間予実対比（予実対比）,分析画面,4次,年間予算_IT費用,L3-S,月次予算設定.年間IT費用,-,337
年間予実対比（予実対比）,分析画面,4次,年間予算_ラクミー利用料,L3-S,月次予算設定.年間ラクミー利用料,-,338
年間予実対比（予実対比）,分析画面,4次,年間予算_レジ利用料,L3-S,月次予算設定.年間レジ利用料,-,339
年間予実対比（予実対比）,分析画面,4次,年間予算_クレジットカード手数料,L3-S,月次予算設定.年間クレジットカード手数料,-,340
年間予実対比（予実対比）,分析画面,4次,年間予算_お花代,L3-S,月次予算設定.年間お花代,-,341
年間予実対比（予実対比）,分析画面,5次,年次成長トレンド指標,L4(提案),年間実績_ヘルプ人件費; 年間予算_固定人件費; 年間予算_社員人件費,【予測用】年間実績の前年同月比からの成長率 / 概念式: 年間実績_* / 前年同期比,提案
年間予実対比（予実対比）,分析画面,5次,年間予算達成進捗の加速率,L4(提案),年間実績_ヘルプ人件費; 年間予算_固定人件費; 年間予算_社員人件費,【経営判断用】予算達成ペースの変化（加速/減速） / 概念式: 年間予算対比率_* (前月比),提案
店舗別人件費,分析画面,2次,売上（税込）,L1,[外部]TTEND.sales,-,121
店舗別人件費,分析画面,2次,売上比率,L1,当月実績.売上（税抜）,-,122
店舗別人件費,分析画面,2次,売上（税込）,L1,[外部]ZTOTAL.sales,-,128
店舗別人件費,分析画面,2次,売上（税抜）,L1,[外部]ZTOTAL.sales_excluded,-,129
店舗別人件費,分析画面,2次,仕入（税込）,L1,[外部]trade_total.total,-,130
店舗別人件費,分析画面,2次,仕入（税抜）,L1,[外部]infomart_transactions.total_tax_excluded,-,131
店舗別人件費,分析画面,2次,PA人件費,L1,[外部]head_office_employee_working_records.daily_cost,-,132
店舗別人件費,分析画面,2次,売上（税抜）,L1,[外部]ZTOTAL.sales_excluded,-,133
店舗別人件費,分析画面,2次,仕入費,L1,[外部]infomart_transactions.total_tax_excluded,-,134
店舗別人件費,分析画面,2次,PA人件費,L1,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,135
店舗別人件費,分析画面,2次,ランチ売上（税抜）,L1,[外部]TITEM.sales_excluded,-,136
店舗別人件費,分析画面,2次,ディナー売上（税抜）,L1,[外部]TITEM.sales_excluded,-,137
店舗別人件費,分析画面,2次,客数,L1,[外部]ZTOTAL.customers,-,138
店舗別人件費,分析画面,2次,客単価（税抜）,L1,"当月実績.売上（税抜）, 時間帯別売上分析.客数",-,139
支払方法別分析,分析画面,2次,支払方法,L1,[外部]TTEND.head_office_payment_method_id,-,120
支払方法別分析,分析画面,2次,クレジットカード合計売上,L1,[外部]TTEND.sales,-,123
支払方法別分析,分析画面,2次,QR決済合計売上,L1,[外部]TTEND.sales,-,124
支払方法別分析,分析画面,2次,MUGENファミリーカード合計売上,L1,[外部]TTEND.sales,-,125
支払方法別分析,分析画面,2次,売掛合計売上,L1,[外部]TTEND.sales,-,126
支払方法別分析,分析画面,2次,交通系IC合計売上,L1,[外部]TTEND.sales,-,127
曜日別分析,分析画面,2次,曜日,L1,[外部]ZTOTAL.date,-,140
曜日別分析,分析画面,2次,平均売上（税抜）,L1,"日次推移.売上（税抜）, 日次推移.売上（税抜）",-,141
曜日別分析,分析画面,2次,平均客数,L1,時間帯別売上分析.客数,-,142
曜日別分析,分析画面,2次,平均客数（税抜）,L1,時間帯別売上分析.客数,-,143
