ラクミー経営管理 店舗画面 V88差分パッチ（地代家賃設定画面 + 費用実績入力画面）
作成日: 2026-04-20
基準: 画面and指標別データソース定義表 - 店舗V88_画面指標_毎リスト + 費用予算設定データ項目CSV v2 + スクリーンショット
補足: V88定義表に欠落している「地代家賃設定」「費用実績入力」の2画面を追加。賃料体系別アウトプット振分を明記。カラム順はV88店舗画面準拠。
総指標数,50





No,プロダクト区分,画面タイプ,画面タイトル,指標名,独自指標レベル,経営重要度,計算レイヤー,データスコープ,データ負荷レベル,データソース区分,指標タイプ,指標タイプ詳細,ラクミーテーブル名.カラム名,外部連携テーブル名.テーブル列名,外部連携グループ名,演算範囲,演算ロジック,演算式詳細,中間画面名.画面指標名,インプット元（画面名.指標名）,アウトプット先（画面名.画面指標名）,データリネージュ（完全版）,依存先指標（画面名.指標名）,依存先指標（テーブル名.列名）,被参照指標（画面名.指標名）,依存先指標数,被参照指標数,参照頻度,演算コスト,システム負荷,負荷要因,推奨対応,キャッシュ戦略,スナップショット対象,更新トリガー,画面カテゴリ,指標区分,指標区分の説明,機能説明,判断,AI推測の理由,不明点,改善
R15,ラクミーアプリ,実績入力画面,費用実績入力,租税公課,L0,C,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.tax,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_租税公課,ユーザー入力 → 費用実績入力.租税公課 → 分析画面,-,-; monthly_costs.tax,予実対比.実績_租税公課,0,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の租税公課実績,新規追加,予算設定CSV v2行101（V88予算一覧に無い9費目の1つ）,V88予算一覧（予算構成）に存在しないため追加要; 予実対比/年間予実対比（予実対比）画面に実績_[費目]指標が未定義（V88からの既存ギャップ）。将来の予実対比画面拡張時に追加要。,-
R16,ラクミーアプリ,実績入力画面,費用実績入力,接待交際費,L0,C,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.entertainment,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_接待交際費,ユーザー入力 → 費用実績入力.接待交際費 → 分析画面,-,-; monthly_costs.entertainment,予実対比.実績_接待交際費,0,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の接待交際費実績,新規追加,予算設定CSV v2行102（V88予算一覧に無い9費目の1つ）,V88予算一覧（予算構成）に存在しないため追加要; 予実対比/年間予実対比（予実対比）画面に実績_[費目]指標が未定義（V88からの既存ギャップ）。将来の予実対比画面拡張時に追加要。,-
R17,ラクミーアプリ,実績入力画面,費用実績入力,旅費交通費,L0,C,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.travel,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_旅費交通費,ユーザー入力 → 費用実績入力.旅費交通費 → 分析画面,-,-; monthly_costs.travel,予実対比.実績_旅費交通費,0,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の旅費交通費実績,新規追加,予算設定CSV v2行103（V88予算一覧に無い9費目の1つ）,V88予算一覧（予算構成）に存在しないため追加要; 予実対比/年間予実対比（予実対比）画面に実績_[費目]指標が未定義（V88からの既存ギャップ）。将来の予実対比画面拡張時に追加要。,-
R18,ラクミーアプリ,実績入力画面,費用実績入力,通信費,L0,B,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.communication,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_通信費,ユーザー入力 → 費用実績入力.通信費 → 分析画面,-,-; monthly_costs.communication,予実対比.実績_通信費,0,1,中,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の通信費実績,新規追加,予算設定CSV v2行104,予実対比/年間予実対比（予実対比）画面に実績_[費目]指標が未定義（V88からの既存ギャップ）。将来の予実対比画面拡張時に追加要。,-
R19,ラクミーアプリ,実績入力画面,費用実績入力,ｸﾚｼﾞｯﾄ手数料,L0,A,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.credit_fee,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_クレジットカード手数料,ユーザー入力 → 費用実績入力.ｸﾚｼﾞｯﾄ手数料 → 分析画面,-,-; monthly_costs.credit_fee,予実対比.実績_クレジットカード手数料,0,1,高,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次のｸﾚｼﾞｯﾄ手数料実績,新規追加,予算設定CSV v2行105,-,-
R20,ラクミーアプリ,実績入力画面,費用実績入力,支払手数料,L0,B,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.payment_fee,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_支払手数料,ユーザー入力 → 費用実績入力.支払手数料 → 分析画面,-,-; monthly_costs.payment_fee,予実対比.実績_支払手数料,0,1,中,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の支払手数料実績,新規追加,予算設定CSV v2行106,予実対比/年間予実対比（予実対比）画面に実績_[費目]指標が未定義（V88からの既存ギャップ）。将来の予実対比画面拡張時に追加要。,-
R21,ラクミーアプリ,実績入力画面,費用実績入力,会議費,L0,C,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.meeting,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_会議費,ユーザー入力 → 費用実績入力.会議費 → 分析画面,-,-; monthly_costs.meeting,予実対比.実績_会議費,0,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の会議費実績,新規追加,予算設定CSV v2行107（V88予算一覧に無い9費目の1つ）,V88予算一覧（予算構成）に存在しないため追加要; 予実対比/年間予実対比（予実対比）画面に実績_[費目]指標が未定義（V88からの既存ギャップ）。将来の予実対比画面拡張時に追加要。,-
R22,ラクミーアプリ,実績入力画面,費用実績入力,諸会費,L0,C,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.dues,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_諸会費,ユーザー入力 → 費用実績入力.諸会費 → 分析画面,-,-; monthly_costs.dues,予実対比.実績_諸会費,0,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の諸会費実績,新規追加,予算設定CSV v2行108,予実対比/年間予実対比（予実対比）画面に実績_[費目]指標が未定義（V88からの既存ギャップ）。将来の予実対比画面拡張時に追加要。,-
R23,ラクミーアプリ,実績入力画面,費用実績入力,図書教育費,L0,C,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.books,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_図書教育費,ユーザー入力 → 費用実績入力.図書教育費 → 分析画面,-,-; monthly_costs.books,予実対比.実績_図書教育費,0,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の図書教育費実績,新規追加,予算設定CSV v2行109（V88予算一覧に無い9費目の1つ）,V88予算一覧（予算構成）に存在しないため追加要; 予実対比/年間予実対比（予実対比）画面に実績_[費目]指標が未定義（V88からの既存ギャップ）。将来の予実対比画面拡張時に追加要。,-
R24,ラクミーアプリ,実績入力画面,費用実績入力,研修費,L0,C,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.training,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_研修費,ユーザー入力 → 費用実績入力.研修費 → 分析画面,-,-; monthly_costs.training,予実対比.実績_研修費,0,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の研修費実績,新規追加,予算設定CSV v2行110（V88予算一覧に無い9費目の1つ）,V88予算一覧（予算構成）に存在しないため追加要; 予実対比/年間予実対比（予実対比）画面に実績_[費目]指標が未定義（V88からの既存ギャップ）。将来の予実対比画面拡張時に追加要。,-
R25,ラクミーアプリ,実績入力画面,費用実績入力,業態研究費,L0,C,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.business_research,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_業態研究費,ユーザー入力 → 費用実績入力.業態研究費 → 分析画面,-,-; monthly_costs.business_research,予実対比.実績_業態研究費,0,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の業態研究費実績,新規追加,予算設定CSV v2行111（V88予算一覧に無い9費目の1つ）,V88予算一覧（予算構成）に存在しないため追加要; 予実対比/年間予実対比（予実対比）画面に実績_[費目]指標が未定義（V88からの既存ギャップ）。将来の予実対比画面拡張時に追加要。,-
R26,ラクミーアプリ,実績入力画面,費用実績入力,採用費,L0,C,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.recruiting,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_採用費,ユーザー入力 → 費用実績入力.採用費 → 分析画面,-,-; monthly_costs.recruiting,予実対比.実績_採用費,0,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の採用費実績,新規追加,予算設定CSV v2行112（V88予算一覧に無い9費目の1つ）,V88予算一覧（予算構成）に存在しないため追加要; 予実対比/年間予実対比（予実対比）画面に実績_[費目]指標が未定義（V88からの既存ギャップ）。将来の予実対比画面拡張時に追加要。,-
R27,ラクミーアプリ,実績入力画面,費用実績入力,IT費,L0,B,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.it,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_IT費用,ユーザー入力 → 費用実績入力.IT費 → 分析画面,-,-; monthly_costs.it,予実対比.実績_IT費用,0,1,中,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次のIT費実績,新規追加,予算設定CSV v2行113,-,-
R28,ラクミーアプリ,実績入力画面,費用実績入力,外注費,L0,B,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.outsourcing,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_外注費,ユーザー入力 → 費用実績入力.外注費 → 分析画面,-,-; monthly_costs.outsourcing,予実対比.実績_外注費,0,1,中,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の外注費実績,新規追加,予算設定CSV v2行114,予実対比/年間予実対比（予実対比）画面に実績_[費目]指標が未定義（V88からの既存ギャップ）。将来の予実対比画面拡張時に追加要。,-
R29,ラクミーアプリ,実績入力画面,費用実績入力,雑費,L0,C,L0,店舗月次,低,monthly_costs（実績入力）,ユーザー入力単独,費用予算設定の実績を入力,monthly_costs.misc,-,-,-,入力値,入力値,-,ユーザー入力（費用実績入力）,予実対比.実績_雑費,ユーザー入力 → 費用実績入力.雑費 → 分析画面,-,-; monthly_costs.misc,予実対比.実績_雑費,0,1,低,低,低,-,監視継続,短期キャッシュ(1-5分),○,ユーザー操作時,実績入力画面,アプリ入力,ユーザーが入力する実績値,月次の雑費実績,新規追加,予算設定CSV v2行115,予実対比/年間予実対比（予実対比）画面に実績_[費目]指標が未定義（V88からの既存ギャップ）。将来の予実対比画面拡張時に追加要。,-
