次数,画面タイトル,画面タイプ,指標名,計算レイヤー,スコープ,指標タイプ,指標タイプ詳細（定義）,演算ロジック,演算式詳細,経営重要度,データソース区分,機能説明,ラクミーテーブル名.カラム名,依存先指標,被参照指標,V69No
2次,予実対比,分析画面,客単価（ディナー）,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷客数(17-23時フィルタ),時間帯別売上分析.ディナー売上（税抜） ÷ 時間帯別売上分析.客数,A,計算項目,予算と実績の対比分析,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers","時間帯別売上分析.ディナー売上（税抜）, 時間帯別売上分析.客数",-,92
2次,予実対比,分析画面,総売上　計,L1,同画面内,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.sales_excluded) GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,head_office_connected_service_sales_logs.sales_excluded,[外部]ZTOTAL.sales_excluded,-,93
2次,予実対比,分析画面,フード売上 計,L1,同画面内,外部連携単独,POSデータから単独取得,SUMフード,SUM(ZTOTAL.sales_excluded) WHERE category = 'フード' GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,94
2次,予実対比,分析画面,ドリンク売上　計,L1,同画面内,外部連携単独,POSデータから単独取得,SUMドリンク,SUM(ZTOTAL.sales_excluded) WHERE category = 'ドリンク' GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,95
2次,予実対比,分析画面,その他売上 計 （サービス料等）,L1,同画面内,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.service_charge_1) GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,z_totals.service_charge_1,[外部]ZTOTAL.service_charge_1,-,96
2次,予実対比,分析画面,その他売上ランチ,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 11:00 AND 15:00 GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,97
2次,予実対比,分析画面,その他売上ディナー,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 17:00 AND 23:00 GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,98
2次,予実対比,分析画面,FLコスト　計,L1,同画面内,外部連携×外部連携,インフォマート仕入とKOT人件費の組合せ,SUM,SUM(tax_excluded_total) + SUM(head_office_connected_service_labor_costs_logs.labor_costs) GROUP BY year,C,計算項目,予算と実績の対比分析,"infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs",-,-,99
2次,仕入先分析,分析画面,仕入れ先,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,マスタ参照,member_name_partner.client_name,D,インフォマート（仕入）,仕入先別の分析,infomart_orders.client_name,[外部]member_name_partner.client_name,商品別仕入分析.仕入れ先,68
2次,仕入先分析,分析画面,金額（税抜）,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUM仕入先別,SUM(infomart_transactions.total_tax_excluded) GROUP BY client_name,C,インフォマート（仕入）,仕入先別の分析,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,"仕入別分析.比率, 商品仕入単価, 商品別仕入分析, 費目別仕入分析",69
2次,仕入先分析,分析画面,比率,L1,同画面内,外部連携×外部連携,インフォマート内の複数データ組合せ,仕入先÷総仕入×100,仕入別分析.金額税抜 ÷ SUM(仕入別分析.金額税抜) × 100,C,計算項目,仕入先別の分析,infomart_transactions.total_tax_excluded,-,"商品別仕入分析.比率, 費目別仕入分析.比率",70
2次,仕入費率分析,分析画面,目標仕入費率,L1,同画面内,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.ratio,B,予算設定（入力）,仕入費率の分析,"monthly_budgets.food_cost_rate（またはlabor_cost_rate）, monthly_budgets.profit",[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,-,71
2次,利益率分析,分析画面,目標利益率,L1,同画面内,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.ratio,S,予算設定（入力）,利益率の分析,"monthly_budgets.food_cost_rate（またはlabor_cost_rate）, monthly_budgets.profit",[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,-,72
2次,商品別仕入分析,分析画面,商品,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,マスタ参照,detail_list.item_name,D,インフォマート（仕入）,商品別の仕入分析,infomart_order_details.item_name,[外部]detail_list.item_name,ABC分析.商品,73
2次,商品別仕入分析,分析画面,仕入れ先,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,マスタ参照,member_name_partner.client_name,D,インフォマート（仕入）,商品別の仕入分析,infomart_orders.client_name,[外部]member_name_partner.client_name,仕入別分析.仕入れ先,74
2次,商品別仕入分析,分析画面,金額（税抜）,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUM商品別,SUM(detail_list.price) GROUP BY item_name,C,インフォマート（仕入）,商品別の仕入分析,infomart_order_details.price,[外部]detail_list.price,商品別仕入分析.比率,75
2次,商品別仕入分析,分析画面,比率,L1,同画面内,外部連携×外部連携,インフォマート内の複数データ組合せ,商品÷総仕入×100,商品別仕入分析.金額税抜 ÷ SUM(商品別仕入分析.金額税抜) × 100,C,計算項目,商品別の仕入分析,infomart_order_details.price,-,"仕入別分析.比率, 費目別仕入分析.比率",76
2次,商品別売上分析,分析画面,商品単価（税抜）,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷数量,商品別売上分析.売上合計税抜 ÷ 商品別売上分析.販売数量,C,計算項目,商品別の売上分析,"head_office_item_sales_logs.sales_excluded, head_office_item_sales_logs.quantity",商品別売上分析.販売数量,ABC分析.価格,77
2次,商品別売上分析,分析画面,商品単価（税込）,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷数量,商品別売上分析.売上合計税込 ÷ 商品別売上分析.販売数量,C,計算項目,商品別の売上分析,"t_items.sales, head_office_item_sales_logs.quantity",商品別売上分析.販売数量,-,78
2次,商品別売上分析,分析画面,販売数量,L1,同画面内,外部連携単独,POSデータから単独取得,SUM商品別,SUM(TITEM.quantity) GROUP BY item_name,C,POS（売上・客数）,商品別の売上分析,head_office_item_sales_logs.quantity,[外部]TITEM.quantity,"ABC分析.販売点数, 商品別売上分析.商品単価（税抜）",79
2次,客単価分析,分析画面,当月客単価（税抜）,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷客数,当月実績.売上（税抜） ÷ 客数.当月客数,A,計算項目,客単価の分析,"head_office_connected_service_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers","当月実績.売上（税抜）, 客数.当月客数",-,80
2次,客数分析,分析画面,当月客数,L1,同画面内,外部連携単独,POSデータから単独取得,SUM月別,SUM(ZTOTAL.customers) GROUP BY year_month,A,POS（売上・客数）,客数の分析,head_office_connected_service_sales_logs.customers,[外部]ZTOTAL.customers,年間予実対比.客単価,81
2次,平均単価推移,分析画面,仕入商品ラベル,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,ラベルマスタ,detail_list.item_name,D,インフォマート（仕入）,平均単価の推移分析,infomart_order_details.item_name,[外部]detail_list.item_name,商品仕入単価.アイテム,82
2次,平均単価推移,分析画面,仕入金額（税抜）,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUM月別,SUM(detail_list.price) GROUP BY year_month,C,インフォマート（仕入）,平均単価の推移分析,infomart_order_details.price,[外部]detail_list.price,平均単価推移.平均単価,83
2次,平均単価推移,分析画面,数量,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUM月別,SUM(detail_list.num) GROUP BY year_month,C,インフォマート（仕入）,平均単価の推移分析,infomart_order_details.num,[外部]detail_list.num,"商品仕入単価, 平均単価推移.平均単価",84
2次,平均単価推移,分析画面,平均単価,L1,同画面内,外部連携×外部連携,インフォマート内の複数データ組合せ,金額÷数量,平均単価推移.仕入金額税抜 ÷ 平均単価推移.数量,C,計算項目,平均単価の推移分析,"infomart_order_details.price, infomart_order_details.num",平均単価推移.数量,"商品仕入単価, 平均単価推移.平均単価推移",85
2次,年間予実対比,分析画面,月次実績_総売上 計,L1,同画面内,外部連携単独,POSデータから月次売上合計を取得,SUM月次,SUM(ZTOTAL.sales_excluded) GROUP BY year_month,A,POS（売上・客数）,-,head_office_connected_service_sales_logs.sales_excluded,[外部]ZTOTAL.sales_excluded,-,253
2次,年間予実対比,分析画面,月次実績_フード売上 計,L1,同画面内,外部連携単独,POSデータからフード売上月次合計を取得,SUMフード月次,SUM(TITEM.sales_excluded) WHERE category = 'フード' GROUP BY year_month,B,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,254
2次,年間予実対比,分析画面,月次実績_ドリンク売上 計,L1,同画面内,外部連携単独,POSデータからドリンク売上月次合計を取得,SUMドリンク月次,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' GROUP BY year_month,B,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,255
2次,年間予実対比,分析画面,月次実績_その他売上 計,L1,同画面内,外部連携単独,POSデータからその他売上月次合計を取得,SUMその他月次,SUM(ZTOTAL.service_charge_1) GROUP BY year_month,C,POS（売上・客数）,-,z_totals.service_charge_1,[外部]ZTOTAL.service_charge_1,-,256
2次,年間予実対比,分析画面,月次実績_FD仕入 計,L1,同画面内,外部連携単独,インフォマート仕入データから月次FD仕入合計を取得,SUMFD月次,SUM(infomart_transactions.total_tax_excluded) WHERE category IN ('フード',A,インフォマート（仕入）,-,-,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,258
2次,年間予実対比,分析画面,月次実績_人件費 計,L1,同画面内,外部連携単独,勤怠データから月次人件費合計を取得,SUM月次,SUM(head_office_employee_working_records.daily_cost) GROUP BY year_month,A,KOT（勤怠・人件費）,-,head_office_employee_working_records.daily_cost,[外部]head_office_employee_working_records.daily_cost,-,259
2次,年間予実対比,分析画面,月次実績_その他経費 計,L1,同画面内,実績入力参照,費用実績入力から月次経費合計を取得,SUM経費月次,SUM(monthly_costs.value) WHERE cost_type = '経費' GROUP BY year_month,B,費用実績入力,-,monthly_costs.value,[入力]monthly_costs.value,-,260
2次,年間予実対比,分析画面,月次予算_総売上 計,L1,同画面内,予算設定参照,月次予算設定から売上予算を取得,月次予算,monthly_budgets.target_sales GROUP BY year_month,A,計算項目,-,月次予算値,月次予算設定.売上（税抜）,-,262
2次,年間予実対比,分析画面,月次予算_フード売上 計,L1,同画面内,予算設定参照×演算,月次予算_総売上×フード構成比,月次予算_総売上 計 × 売上構成比設定.フード構成比,月次予算 × フード構成比 GROUP BY year_month,B,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.food_ratio",月次予算設定.月次フード売上,-,263
2次,年間予実対比,分析画面,月次予算_ドリンク売上 計,L1,同画面内,予算設定参照×演算,月次予算_総売上×ドリンク構成比,月次予算_総売上 計 × 売上構成比設定.ドリンク構成比,月次予算 × ドリンク構成比 GROUP BY year_month,B,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.drink_ratio",月次予算設定.月次ドリンク売上,-,264
2次,年間予実対比,分析画面,月次予算_その他売上 計,L1,同画面内,予算設定参照×演算,月次予算_総売上×その他構成比,月次予算_総売上 計 × 売上構成比設定.その他構成比,月次予算 × その他構成比 GROUP BY year_month,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.other_ratio",月次予算設定.月次その他売上,-,265
2次,年間予実対比,分析画面,月次予算_FD仕入 計,L1,同画面内,予算設定参照×演算,月次予算設定.売上×FD仕入比率,月次予算設定.売上（税抜） × 月次予算設定.FD仕入比率,target_sales × food_cost_rate GROUP BY year_month,A,計算項目,-,"monthly_budgets.target_sales, monthly_budgets.food_cost_rate",月次予算設定.月次FD仕入,-,267
2次,年間予実対比,分析画面,月次予算_人件費 計,L1,同画面内,予算設定参照×演算,(売上×PA人件費率+固定人件費),月次予算設定.売上 × PA人件費率 + 固定人件費予算,(target_sales × labor_cost_rate + 固定人件費) GROUP BY year_month,A,計算項目,-,"monthly_budgets.target_sales, monthly_budgets.labor_cost_rate, 固定人件費予算",月次予算設定.月次人件費,-,268
2次,年間予実対比,分析画面,月次予算_その他経費 計,L1,同画面内,予算設定参照,費用設定.その他経費合計,費用設定.その他経費予算合計,その他経費予算,B,計算項目,-,monthly_costs.その他経費合計,月次予算設定.月次その他経費,-,269
2次,年間予実対比（サマリー）,ダッシュボード表示画面,FD仕入額,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(infomart_transactions.total_tax_excluded) GROUP BY year,C,インフォマート（仕入）,-,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,250
2次,年間予実対比（サマリー）,ダッシュボード表示画面,人件費額,L1,同画面内,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(head_office_connected_service_labor_costs_logs.labor_costs) GROUP BY year,C,KOT（勤怠・人件費）,-,head_office_connected_service_labor_costs_logs.labor_costs,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,251
2次,年間予実対比（予実対比）,分析画面,年間実績_総売上 計,L1,同画面内,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.sales_excluded) GROUP BY year,C,POS（売上・客数）,-,head_office_connected_service_sales_logs.sales_excluded,[外部]ZTOTAL.sales_excluded,年間予実対比（予実対比）.営業利益,211
2次,年間予実対比（予実対比）,分析画面,年間実績_フード売上 計,L1,同画面内,外部連携単独,POSデータから単独取得,SUMフード,SUM(TITEM.sales_excluded) WHERE category = 'フード' GROUP BY year,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,212
2次,年間予実対比（予実対比）,分析画面,年間実績_ドリンク売上 計,L1,同画面内,外部連携単独,POSデータから単独取得,SUMドリンク,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' GROUP BY year,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,213
2次,年間予実対比（予実対比）,分析画面,年間実績_その他売上 計,L1,同画面内,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.service_charge_1) GROUP BY year,C,POS（売上・客数）,-,z_totals.service_charge_1,[外部]ZTOTAL.service_charge_1,-,214
2次,年間予実対比（予実対比）,分析画面,年間実績_その他売上ランチ,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 11:00 AND 15:00 GROUP BY year,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,215
2次,年間予実対比（予実対比）,分析画面,年間実績_その他売上ディナー,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 17:00 AND 23:00 GROUP BY year,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,216
2次,年間予実対比（予実対比）,分析画面,年間実績_FD仕入 計,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUMFD,SUM(infomart_transactions.total_tax_excluded) WHERE category IN ('フード' 'ドリンク') GROUP BY year,C,インフォマート（仕入）,-,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,218
2次,年間予実対比（予実対比）,分析画面,年間実績_人件費 計,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM,SUM(head_office_connected_service_labor_costs_logs.labor_costs) GROUP BY year,C,KOT（勤怠・人件費）,-,head_office_connected_service_labor_costs_logs.labor_costs,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,219
2次,年間予実対比（予実対比）,分析画面,年間実績_その他経費 計,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,SUM,SUM(monthly_costs.value) WHERE cost_type = '経費' GROUP BY year,C,計算項目,-,monthly_costs.value,-,年間予実対比（予実対比）.営業利益,220
2次,年間予実対比（予実対比）,分析画面,年間実績_ラクミー利用料,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'ラクミー利用料',C,計算項目,-,monthly_costs.value,-,-,221
2次,年間予実対比（予実対比）,分析画面,年間実績_IT費用,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'IT費用',D,計算項目,-,monthly_costs.value,-,-,222
2次,年間予実対比（予実対比）,分析画面,年間実績_お花代,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'お花代',C,計算項目,-,monthly_costs.value,-,-,223
2次,年間予実対比（予実対比）,分析画面,年間実績_ガス代,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'ガス代',C,計算項目,-,monthly_costs.value,-,-,224
2次,年間予実対比（予実対比）,分析画面,年間実績_クレジットカード手数料,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'クレジットカード手数料',C,計算項目,-,monthly_costs.value,-,-,225
2次,年間予実対比（予実対比）,分析画面,年間実績_レジ利用料,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'レジ利用料',C,計算項目,-,monthly_costs.value,-,-,226
2次,年間予実対比（予実対比）,分析画面,年間実績_借入金返済,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = '借入金返済',C,計算項目,-,monthly_costs.value,-,-,227
2次,年間予実対比（予実対比）,分析画面,年間実績_家賃（変動分）,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = '家賃(変動分)',C,計算項目,-,monthly_costs.value,-,-,228
2次,年間予実対比（予実対比）,分析画面,年間実績_水道代,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = '水道代',C,計算項目,-,monthly_costs.value,-,-,229
2次,年間予実対比（予実対比）,分析画面,年間実績_社員人件費,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM月給者,SUM(head_office_connected_service_labor_costs_logs.labor_costs) WHERE employee_type = '月給者',C,KOT（勤怠・人件費）,-,head_office_connected_service_labor_costs_logs.labor_costs,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,230
2次,年間予実対比（予実対比）,分析画面,年間実績_電気代,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = '電気代',C,計算項目,-,monthly_costs.value,-,-,231
2次,年間予実対比（予実対比）,分析画面,年間実績_フード売上ランチ,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 11:00 AND 15:00 GROUP BY year,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,233
2次,年間予実対比（予実対比）,分析画面,年間実績_フード売上ディナー,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 17:00 AND 23:00 GROUP BY year,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,234
2次,年間予実対比（予実対比）,分析画面,年間実績_ドリンク売上ランチ,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 11:00 AND 15:00 GROUP BY year,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,235
2次,年間予実対比（予実対比）,分析画面,年間実績_ドリンク売上ディナー,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 17:00 AND 23:00 GROUP BY year,C,POS（売上・客数）,-,head_office_item_sales_logs.sales_excluded,[外部]TITEM.sales_excluded,-,236
2次,年間予実対比（予実対比）,分析画面,年間実績_フード仕入,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUMフード,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'フード' GROUP BY year,C,インフォマート（仕入）,-,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,237
2次,年間予実対比（予実対比）,分析画面,年間実績_ドリンク仕入,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUMドリンク,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'ドリンク' GROUP BY year,C,インフォマート（仕入）,-,infomart_transactions.total_tax_excluded,[外部]infomart_transactions.total_tax_excluded,-,238
2次,年間予実対比（予実対比）,分析画面,年間実績_固定人件費,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM月給者,SUM(head_office_connected_service_labor_costs_logs.labor_costs) WHERE employee_type = '月給者' GROUP BY year,C,KOT（勤怠・人件費）,-,head_office_connected_service_labor_costs_logs.labor_costs,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,239
2次,年間予実対比（予実対比）,分析画面,年間実績_PA人件費,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM,SUM(head_office_employee_working_records.daily_cost) GROUP BY year,C,KOT（勤怠・人件費）,-,head_office_employee_working_records.daily_cost,[外部]head_office_employee_working_records.daily_cost,-,240
2次,年間予実対比（予実対比）,分析画面,年間実績_地代家賃,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=家賃,monthly_costs.value WHERE cost_item = '家賃' GROUP BY year,C,計算項目,-,monthly_costs.value,-,-,242
2次,年間予実対比（予実対比）,分析画面,年間実績_資材費,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=資材費,monthly_costs.value WHERE cost_item = '資材費' GROUP BY year,C,計算項目,-,monthly_costs.value,-,-,243
2次,年間予実対比（予実対比）,分析画面,年間実績_水道光熱費,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=水道光熱費,monthly_costs.value WHERE cost_item = '水道光熱費' GROUP BY year,C,計算項目,-,monthly_costs.value,-,-,244
2次,年間予実対比（予実対比）,分析画面,年間実績_減価償却費,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=減価償却費,monthly_costs.value WHERE cost_item = '減価償却費' GROUP BY year,C,計算項目,-,monthly_costs.value,-,-,245
2次,年間予実対比（予実対比）,分析画面,年間実績_販促費,L1,同画面内,費用設定参照,費用設定で設定した経費項目を参照,費目=販促費,monthly_costs.value WHERE cost_item = '販促費' GROUP BY year,C,計算項目,-,monthly_costs.value,-,-,246
2次,年間予実対比（予実対比）,分析画面,年間予算_総売上 計,L1,同画面内,予算設定参照,月次予算設定の年間累計,SUM月次予算,SUM(monthly_budgets.target_sales) GROUP BY year,A,計算項目,-,monthly_budgets.target_sales,月次予算設定.年間総売上,-,307
2次,年間予実対比（予実対比）,分析画面,年間予算_フード売上 計,L1,同画面内,予算設定参照×演算,年間予算_総売上×フード構成比,年間予算_総売上 計 × 売上構成比設定.フード構成比,年間予算 × food_ratio,B,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.food_ratio",月次予算設定.年間フード売上,-,308
2次,年間予実対比（予実対比）,分析画面,年間予算_フード売上ランチ,L1,同画面内,予算設定参照×演算,年間予算_フード売上×ランチ比率,年間予算_フード売上 計 × 売上構成比設定.ランチ比率,年間予算 × lunch_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.lunch_ratio",月次予算設定.年間フード売上ランチ,-,309
2次,年間予実対比（予実対比）,分析画面,年間予算_フード売上ディナー,L1,同画面内,予算設定参照×演算,年間予算_フード売上×ディナー比率,年間予算_フード売上 計 × 売上構成比設定.ディナー比率,年間予算 × dinner_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.dinner_ratio",月次予算設定.年間フード売上ディナー,-,310
2次,年間予実対比（予実対比）,分析画面,年間予算_ドリンク売上 計,L1,同画面内,予算設定参照×演算,年間予算_総売上×ドリンク構成比,年間予算_総売上 計 × 売上構成比設定.ドリンク構成比,年間予算 × drink_ratio,B,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.drink_ratio",月次予算設定.年間ドリンク売上,-,311
2次,年間予実対比（予実対比）,分析画面,年間予算_ドリンク売上ランチ,L1,同画面内,予算設定参照×演算,年間予算_ドリンク売上×ランチ比率,年間予算_ドリンク売上 計 × 売上構成比設定.ランチ比率,年間予算 × lunch_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.lunch_ratio",月次予算設定.年間ドリンク売上ランチ,-,312
2次,年間予実対比（予実対比）,分析画面,年間予算_ドリンク売上ディナー,L1,同画面内,予算設定参照×演算,年間予算_ドリンク売上×ディナー比率,年間予算_ドリンク売上 計 × 売上構成比設定.ディナー比率,年間予算 × dinner_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.dinner_ratio",月次予算設定.年間ドリンク売上ディナー,-,313
2次,年間予実対比（予実対比）,分析画面,年間予算_その他売上 計（サービス料等）,L1,同画面内,予算設定参照×演算,年間予算_総売上×その他構成比,年間予算_総売上 計 × 売上構成比設定.その他構成比,年間予算 × other_ratio,C,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.other_ratio",月次予算設定.年間その他売上（サービス料等）,-,314
2次,年間予実対比（予実対比）,分析画面,年間予算_その他売上ランチ,L1,同画面内,予算設定参照×演算,年間予算_その他売上×ランチ比率,年間予算_その他売上 計 × 売上構成比設定.ランチ比率,年間予算 × lunch_ratio,D,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.lunch_ratio",月次予算設定.年間その他売上ランチ,-,315
2次,年間予実対比（予実対比）,分析画面,年間予算_その他売上ディナー,L1,同画面内,予算設定参照×演算,年間予算_その他売上×ディナー比率,年間予算_その他売上 計 × 売上構成比設定.ディナー比率,年間予算 × dinner_ratio,D,計算項目,-,"monthly_budgets.target_sales, budget_sales_compositions.dinner_ratio",月次予算設定.年間その他売上ディナー,-,316
2次,年間予実対比（予実対比）,分析画面,年間予算_FD仕入 計,L1,同画面内,予算設定参照×演算,月次予算設定.売上×FD仕入比率の年間累計,SUM(monthly_budgets.target_sales × monthly_budgets.food_cost_rate) GROUP BY year,target_sales × food_cost_rate,A,計算項目,-,"monthly_budgets.target_sales, monthly_budgets.food_cost_rate",月次予算設定.年間FD仕入,-,318
2次,年間予実対比（予実対比）,分析画面,年間予算_フード仕入,L1,同画面内,予算設定参照×演算,年間予算_FD仕入×フード比率,年間予算_FD仕入 計 × FD構成比設定.フード比率,FD仕入予算 × food_ratio,B,計算項目,-,"monthly_budgets.food_cost_rate, fd_compositions.food_ratio",月次予算設定.年間フード仕入,-,319
