46,表示画面,商品別仕入分析,仕入れ先,L0,D,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,マスタ参照,member_name_partner.client_name,-,infomart_orders.client_name,member_name_partner.client_name,-,[外部]member_name_partner.client_name,仕入別分析.仕入れ先,member_name_partner.client_name → infomart_orders.client_name → 商品別仕入分析.仕入れ先,外部連携検証済,member_name_partner.client_name → infomart_transactions.client_name,-,-
47,表示画面,商品別仕入分析,金額税抜,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM商品別,SUM(detail_list.price) GROUP BY item_name,-,infomart_order_details.price,detail_list.price,-,[外部]detail_list.price,"仕入別分析.金額税抜, 商品仕入単価.金額税抜, 商品別仕入分析.比率, 費目別仕入分析.金額税抜",detail_list.price → infomart_order_details.price → 商品別仕入分析.金額税抜,外部連携検証済,detail_list.price → infomart_transactions.price,-,-
48,表示画面,商品別仕入分析,比率,L1,C,画面内,計算項目,外部連携×外部連携,インフォマート内の複数データ組合せ,商品÷総仕入×100,商品別仕入分析.金額税抜 ÷ SUM(商品別仕入分析.金額税抜) × 100,-,infomart_order_details.price,detail_list.price,-,商品別仕入分析.金額税抜,"仕入別分析.比率, 費目別仕入分析.比率, 月次費用入力.比率",detail_list.price → infomart_order_details.price → 商品別仕入分析.比率,外部連携検証済,detail_list.price → infomart_transactions.price,-,-
49,表示画面,費目別仕入分析,費目,L2,D,-,店舗マスタ（設定）,ラクミー設定マスタ単独,ラクミー設定マスタから取得,費目マスタ,monthly_cost_items.name,-,monthly_cost_items.name,-,-,[マスタ]monthly_cost_items.name,月次費用入力.費目,monthly_cost_items.name → 費目別仕入分析.費目,スキーマ検証済,-,-,-
50,表示画面,費目別仕入分析,金額税抜,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,SUM費目別,SUM(monthly_costs.value) GROUP BY cost_item_id,-,monthly_costs.value,-,ユーザー入力（費用設定）,-,"仕入別分析.金額税抜, 商品仕入単価.金額税抜, 商品別仕入分析.金額税抜, 月次費用入力.比率, 費目別仕入分析.比率",monthly_costs.value → 費目別仕入分析.金額税抜,スキーマ検証済,-,-,-
51,表示画面,費目別仕入分析,比率,L4a,C,画面内,計算項目,設定参照×設定参照,複数の費用設定の組合せ,費目÷総仕入×100,費目別仕入分析.金額税抜 ÷ SUM(費目別仕入分析.金額税抜) × 100,-,monthly_costs.value,-,ユーザー入力（費用設定）,費目別仕入分析.金額税抜,"仕入別分析.比率, 商品別仕入分析.比率, 月次費用入力.比率",monthly_costs.value → 費目別仕入分析.比率,スキーマ検証済,-,-,-
52,表示画面,商品仕入単価,アイテム,L0,D,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,マスタ参照,detail_list.item_name,-,infomart_order_details.item_name,detail_list.item_name,-,[外部]detail_list.item_name,"商品別仕入分析.アイテム, 平均単価推移.仕入商品ラベル",detail_list.item_name → infomart_order_details.item_name → 商品仕入単価.アイテム,外部連携検証済,detail_list.item_name → infomart_transactions.item_name,-,-
53,表示画面,商品仕入単価,金額税抜,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM商品別,SUM(detail_list.price) GROUP BY item_name,-,infomart_order_details.price,detail_list.price,-,[外部]detail_list.price,"仕入別分析.金額税抜, 商品仕入単価.単価, 商品別仕入分析.金額税抜, 費目別仕入分析.金額税抜",detail_list.price → infomart_order_details.price → 商品仕入単価.金額税抜,外部連携検証済,detail_list.price → infomart_transactions.price,-,-
54,表示画面,商品仕入単価,数量,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM商品別,SUM(detail_list.num) GROUP BY item_name,-,infomart_order_details.num,detail_list.num,-,[外部]detail_list.num,"商品仕入単価.単価, 平均単価推移.数量",detail_list.num → infomart_order_details.num → 商品仕入単価.数量,外部連携検証済,detail_list.num → infomart_transactions.num,-,-
55,表示画面,商品仕入単価,単価,L1,C,画面内,計算項目,外部連携×外部連携,インフォマート内の複数データ組合せ,金額÷数量,商品仕入単価.金額税抜 ÷ 商品仕入単価.数量,-,"infomart_order_details.price, infomart_order_details.num","detail_list.price, detail_list.num",-,"商品仕入単価.金額税抜, 商品仕入単価.数量",平均単価推移.平均単価,detail_list.price / detail_list.num → infomart_order_details.price / infomart_order_details.num → 商品仕入単価.単価,外部連携検証済,detail_list.price → infomart_transactions.price,-,-
56,表示画面,平均単価推移,仕入商品ラベル,L0,D,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,ラベルマスタ,detail_list.item_name,-,infomart_order_details.item_name,detail_list.item_name,-,[外部]detail_list.item_name,"商品別仕入分析.仕入商品ラベル, 商品仕入単価.アイテム",detail_list.item_name → infomart_order_details.item_name → 平均単価推移.仕入商品ラベル,外部連携検証済,detail_list.item_name → infomart_transactions.item_name,-,-
57,表示画面,平均単価推移,数量,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM月別,SUM(detail_list.num) GROUP BY year_month,-,infomart_order_details.num,detail_list.num,-,[外部]detail_list.num,"商品仕入単価, 平均単価推移.平均単価",detail_list.num → infomart_order_details.num → 平均単価推移.数量,外部連携検証済,detail_list.num → infomart_transactions.num,-,-
58,表示画面,平均単価推移,平均単価,L1,C,画面内,計算項目,外部連携×外部連携,インフォマート内の複数データ組合せ,金額÷数量,平均単価推移.仕入金額税抜 ÷ 平均単価推移.数量,-,"infomart_order_details.price, infomart_order_details.num","detail_list.price, detail_list.num",-,"平均単価推移.仕入金額税抜, 平均単価推移.数量","商品仕入単価, 平均単価推移.平均単価推移, 平均単価推移.平均単価推移(12ヶ月), 平均単価推移.平均単価推移(6ヶ月)",detail_list.price / detail_list.num → infomart_order_details.price / infomart_order_details.num → 平均単価推移.平均単価,外部連携検証済,detail_list.price → infomart_transactions.price,-,-
59,表示画面,平均単価推移,平均単価推移(6ヶ月),L4b,C,画面内,計算項目,演算×演算,複数の演算結果の組合せ,直近6ヶ月の平均単価推移,平均単価推移.平均単価 WHERE year_month >= NOW() - 6months,平均単価推移.平均単価,-,-,-,平均単価推移.平均単価,-,平均単価推移.平均単価 → 平均単価推移.平均単価推移(6ヶ月),演算検証済,インプット元: 平均単価推移.平均単価,-,-
60,表示画面,平均単価推移,平均単価推移(12ヶ月),L4b,C,画面内,計算項目,演算×演算,複数の演算結果の組合せ,直近12ヶ月の平均単価推移,平均単価推移.平均単価 WHERE year_month >= NOW() - 12months,平均単価推移.平均単価,-,-,-,平均単価推移.平均単価,-,平均単価推移.平均単価 → 平均単価推移.平均単価推移(12ヶ月),演算検証済,インプット元: 平均単価推移.平均単価,-,-
61,表示画面,平均単価推移,平均単価推移,L4b,C,画面内,計算項目,演算×演算,複数の演算結果の組合せ,期間集計トレンド計算,平均単価推移.平均単価 期間集計トレンド,平均単価推移.平均単価,-,-,-,平均単価推移.平均単価,-,平均単価推移.平均単価 → 平均単価推移.平均単価推移,演算検証済,インプット元: 平均単価推移.平均単価,-,-
62,表示画面,進捗分析,利益進捗率,L4b,B,画面間,計算項目,演算×ユーザー入力,演算結果と予算設定の組合せ,営業利益累計÷目標利益×100,SUM(当月実績.営業利益) ÷ 予算設定.予算金額 × 100,当月実績.営業利益,"monthly_budgets.value（予算設定画面）, monthly_budgets.profit",-,ユーザー入力（予算設定）,"当月実績.営業利益, 予算設定.予算金額","主要KPI指標.利益進捗率, 当月実績.利益進捗率, 店舗別サマリー.利益進捗率",monthly_budgets.value（予算設定画面） / monthly_budgets.profit → 当月実績.営業利益 → 進捗分析.利益進捗率,演算検証済,インプット元: 当月実績.営業利益,目標利益が月次か年次か不明,目標期間の定義を確認必要
63,表示画面,進捗分析,売上進捗率,L4a,A,画面間,計算項目,外部連携×ユーザー入力,POS売上と予算設定の組合せ,売上累計÷目標×100,SUM(店舗別サマリー.売上税抜) ÷ 店舗別サマリー.売上目標 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）","店舗別サマリー.売上税抜, 店舗別サマリー.売上目標",店舗別サマリー,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 進捗分析.売上進捗率,スキーマ検証済,-,-,-
64,表示画面,進捗分析,達成率,L4a,B,画面間,計算項目,外部連携×ユーザー入力,POS売上と予算設定の組合せ,実績÷目標×100,当月実績.売上税抜 ÷ 予算設定.予算金額 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）","当月実績.売上税抜, 予算設定.予算金額",-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 進捗分析.達成率,スキーマ検証済,-,-,-
65,表示画面,進捗分析,進捗率比較(前月),L4a,B,画面間,計算項目,外部連携×ユーザー入力,POS売上と予算設定の組合せ,前月比計算,当月実績.売上税抜 ÷ 予算設定.予算金額 × 100 (前月データ),-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）","当月実績.売上税抜, 予算設定.予算金額",-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 進捗分析.進捗率比較(前月),スキーマ検証済,-,前月データの取得方法(オフセット or 日付指定)が不明,前月データ参照ロジックを確認必要
66,表示画面,進捗分析,進捗率比較(前々月),L4a,B,画面間,計算項目,外部連携×ユーザー入力,POS売上と予算設定の組合せ,前々月比計算,当月実績.売上税抜 ÷ 予算設定.予算金額 × 100 (前々月データ),-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）","当月実績.売上税抜, 予算設定.予算金額",-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 進捗分析.進捗率比較(前々月),スキーマ検証済,-,前々月データの取得方法が不明,前々月データ参照ロジックを確認必要
67,表示画面,日次推移,仕入費,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,日別集計,SUM(tax_excluded_total.total_tax_excluded) GROUP BY date,-,infomart_orders.total_tax_excluded,tax_excluded_total.total_tax_excluded,インフォマート（仕入）,[外部]tax_excluded_total.total_tax_excluded,-,tax_excluded_total.total_tax_excluded → infomart_orders.total_tax_excluded → 日次推移.仕入費,外部連携検証済,tax_excluded_total.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-
68,表示画面,日次推移,PA人件費,L0,C,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,日別集計,SUM(labor_costs_logs.labor_costs) GROUP BY date,-,head_office_connected_service_labor_costs_logs.labor_costs,labor_costs_logs.labor_costs,勤怠（KOT/ジョブカン）,[外部]labor_costs_logs.labor_costs,"予実対比, 日次レポート",labor_costs_logs.labor_costs → head_office_connected_service_labor_costs_logs.labor_costs → 日次推移.PA人件費,スキーマ検証済,-,-,-
69,表示画面,利益率,目標利益率,L3,S,-,予算設定（入力）,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.ratio,-,"monthly_budgets.ratio（予算設定画面）, monthly_budgets.profit",-,ユーザー入力（予算設定）,[入力]monthly_budgets.ratio（予算設定画面）,-,monthly_budgets.ratio（予算設定画面） / monthly_budgets.profit → 利益率.目標利益率,設定/入力検証済,データソース: 予算設定（入力）,-,-
70,表示画面,仕入費率,目標仕入費率,L3,B,-,予算設定（入力）,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.ratio,-,"monthly_budgets.ratio（予算設定画面）, monthly_budgets.profit",-,ユーザー入力（予算設定）,[入力]monthly_budgets.ratio（予算設定画面）,-,monthly_budgets.ratio（予算設定画面） / monthly_budgets.profit → 仕入費率.目標仕入費率,設定/入力検証済,データソース: 予算設定（入力）,-,-
71,表示画面,PA人件費率,目標PA人件費率,L3,B,-,予算設定（入力）,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.ratio,-,"monthly_budgets.ratio（予算設定画面）, monthly_budgets.profit",-,ユーザー入力（予算設定）,[入力]monthly_budgets.ratio（予算設定画面）,-,monthly_budgets.ratio（予算設定画面） / monthly_budgets.profit → PA人件費率.目標PA人件費率,設定/入力検証済,データソース: 予算設定（入力）,-,-
72,表示画面,客数,当月客数,L0,A,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM月別,SUM(ZTOTAL.customers) GROUP BY year_month,-,head_office_connected_service_sales_logs.customers,ZTOTAL.customers,POS売上（日別集計）,[外部]ZTOTAL.customers,"客単価.客単価(税抜), 年間予実対比.客単価",ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 客数.当月客数,スキーマ検証済,-,-,-
73,表示画面,予実対比,総売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.sales_excluded),-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 予実対比.総売上,スキーマ検証済,-,-,-
74,表示画面,予実対比,フード売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMフード,SUM(TITEM.sales_excluded) WHERE category = 'フード',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.フード売上,スキーマ検証済,-,フードカテゴリの定義(商品マスタのカラム名)が不明,カテゴリ判定ロジックを確認必要
75,表示画面,予実対比,フード売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 11:00 AND 15:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.フード売上ランチ,スキーマ検証済,-,-,-
76,表示画面,予実対比,フード売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 17:00 AND 23:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.フード売上ディナー,スキーマ検証済,-,-,-
77,表示画面,予実対比,ドリンク売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMドリンク,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.ドリンク売上,スキーマ検証済,-,-,-
78,表示画面,予実対比,ドリンク売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 11:00 AND 15:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.ドリンク売上ランチ,スキーマ検証済,-,-,-
79,表示画面,予実対比,ドリンク売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 17:00 AND 23:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.ドリンク売上ディナー,スキーマ検証済,-,-,-
80,表示画面,予実対比,その他売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMその他,SUM(TITEM.sales_excluded) WHERE category = 'その他',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.その他売上,スキーマ検証済,-,-,-
81,表示画面,予実対比,割引値引き,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.discount),-,z_totals.discount,ZTOTAL.discount,POS売上（日別集計）,[外部]ZTOTAL.discount,-,ZTOTAL.discount → z_totals.discount → 予実対比.割引値引き,外部連携検証済,データソース: POS（売上・客数）,-,-
82,表示画面,予実対比,FD仕入,L0,A,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUMFD,"SUM(tax_excluded_total.total_tax_excluded) WHERE category IN ('フード', 'ドリンク')",-,infomart_orders.total_tax_excluded,tax_excluded_total.total_tax_excluded,インフォマート（仕入）,[外部]tax_excluded_total.total_tax_excluded,"主要KPI指標.営業利益率, 年間予実対比.営業利益, 店舗ラベル別サマリー.FD仕入率, 店舗ラベル別サマリー.営業利益, 店舗別サマリー.FD仕入率, 店舗別サマリー.営業利益, 当月実績.FD仕入率, 当月実績.FL率, 当月実績.営業利益",tax_excluded_total.total_tax_excluded → infomart_orders.total_tax_excluded → 予実対比.FD仕入,外部連携検証済,tax_excluded_total.total_tax_excluded → infomart_transactions.total_tax_excluded,仕入データのFD分類方法が不明,インフォマートのカテゴリ分類を確認必要
83,表示画面,予実対比,フード仕入,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUMフード,SUM(tax_excluded_total.total_tax_excluded) WHERE category = 'フード',-,infomart_orders.total_tax_excluded,tax_excluded_total.total_tax_excluded,インフォマート（仕入）,[外部]tax_excluded_total.total_tax_excluded,-,tax_excluded_total.total_tax_excluded → infomart_orders.total_tax_excluded → 予実対比.フード仕入,外部連携検証済,tax_excluded_total.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-
84,表示画面,予実対比,ドリンク仕入,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUMドリンク,SUM(tax_excluded_total.total_tax_excluded) WHERE category = 'ドリンク',-,infomart_orders.total_tax_excluded,tax_excluded_total.total_tax_excluded,インフォマート（仕入）,[外部]tax_excluded_total.total_tax_excluded,-,tax_excluded_total.total_tax_excluded → infomart_orders.total_tax_excluded → 予実対比.ドリンク仕入,外部連携検証済,tax_excluded_total.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-
85,表示画面,予実対比,人件費,L0,A,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM,SUM(labor_costs_logs.labor_costs),-,head_office_connected_service_labor_costs_logs.labor_costs,labor_costs_logs.labor_costs,勤怠（KOT/ジョブカン）,[外部]labor_costs_logs.labor_costs,"主要KPI指標.営業利益率, 年間予実対比.営業利益, 店舗ラベル別サマリー.人件費率, 店舗ラベル別サマリー.営業利益, 店舗別サマリー.人件費率, 店舗別サマリー.営業利益, 店舗別人件費, 当月実績.FL率, 当月実績.人件費率, 当月実績.営業利益",labor_costs_logs.labor_costs → head_office_connected_service_labor_costs_logs.labor_costs → 予実対比.人件費,スキーマ検証済,-,-,-
86,表示画面,予実対比,固定人件費,L0,C,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM月給者,SUM(labor_costs_logs.labor_costs) WHERE employee_type = '月給者',-,head_office_connected_service_labor_costs_logs.labor_costs,labor_costs_logs.labor_costs,勤怠（KOT/ジョブカン）,[外部]labor_costs_logs.labor_costs,-,labor_costs_logs.labor_costs → head_office_connected_service_labor_costs_logs.labor_costs → 予実対比.固定人件費,スキーマ検証済,-,月給者の判定カラムが不明,従業員種別の判定ロジックを確認必要
87,表示画面,予実対比,PA人件費,L0,C,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM時給者,SUM(working_records.daily_cost) WHERE employee_type = '時給者',-,working_records.daily_cost,working_records.daily_cost,-,[外部]working_records.daily_cost,"日次推移, 日次レポート",working_records.daily_cost → working_records.daily_cost → 予実対比.PA人件費,外部連携検証済,データソース: KOT（勤怠・人件費）,-,-
88,表示画面,予実対比,ヘルプ人件費,L1,C,画面間,計算項目,外部連携×外部連携,KOT内の複数データ組合せ,help_costs-help_costs_minus,店舗別人件費.ヘルプ人件費 - 店舗別人件費.ヘルプ人件費マイナス,-,"head_office_connected_service_labor_costs_logs.help_costs, labor_costs_logs.help_costs_minus","labor_costs_logs.help_costs, labor_costs_logs.help_costs_minus",勤怠（KOT/ジョブカン）,"店舗別人件費.ヘルプ人件費, 店舗別人件費.ヘルプ人件費マイナス",店舗別人件費,labor_costs_logs.help_costs / labor_costs_logs.help_costs_minus → head_office_connected_service_labor_costs_logs.help_costs / labor_costs_logs.help_costs_minus → 予実対比.ヘルプ人件費,外部連携検証済,labor_costs_logs.help_costs → head_office_connected_service_labor_costs_logs.help_costs,-,-
89,表示画面,予実対比,その他経費,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,SUM経費,SUM(monthly_costs.value) WHERE cost_type = '経費',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,"主要KPI指標.営業利益率, 年間予実対比.営業利益, 店舗ラベル別サマリー.営業利益, 店舗別サマリー.営業利益, 当月実績.営業利益",monthly_costs.value → 予実対比.その他経費,スキーマ検証済,-,経費に含まれる費目の範囲が不明,経費カテゴリの費目一覧を確認必要
90,表示画面,予実対比,地代家賃,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目=家賃,monthly_costs.value WHERE cost_item = '家賃',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 予実対比.地代家賃,スキーマ検証済,-,-,-
91,表示画面,予実対比,資材費,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目=資材費,monthly_costs.value WHERE cost_item = '資材費',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 予実対比.資材費,スキーマ検証済,-,-,-
92,表示画面,予実対比,水道光熱費,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目=水道光熱費,monthly_costs.value WHERE cost_item = '水道光熱費',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 予実対比.水道光熱費,スキーマ検証済,-,-,-
93,表示画面,予実対比,減価償却費,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目=減価償却費,monthly_costs.value WHERE cost_item = '減価償却費',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 予実対比.減価償却費,スキーマ検証済,-,-,-
94,表示画面,予実対比,販促費,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目=販促費,monthly_costs.value WHERE cost_item = '販促費',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 予実対比.販促費,スキーマ検証済,-,-,-
95,表示画面,予実対比,その他売上(サービス料等),L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.service_charge_1),-,z_totals.service_charge_1,ZTOTAL.service_charge_1,POS売上（日別集計）,[外部]ZTOTAL.service_charge_1,-,ZTOTAL.service_charge_1 → z_totals.service_charge_1 → 予実対比.その他売上(サービス料等),外部連携検証済,データソース: POS（売上・客数）,-,-
96,表示画面,予実対比,その他売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 11:00 AND 15:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.その他売上ランチ,スキーマ検証済,-,-,-
97,表示画面,予実対比,その他売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 17:00 AND 23:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.その他売上ディナー,スキーマ検証済,-,-,-
98,表示画面,予実対比,割引・値引きなど,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.discount),-,z_totals.discount,ZTOTAL.discount,POS売上（日別集計）,[外部]ZTOTAL.discount,-,ZTOTAL.discount → z_totals.discount → 予実対比.割引・値引きなど,外部連携検証済,データソース: POS（売上・客数）,-,-
99,表示画面,年間予実対比,営業利益,L4a,S,画面間,計算項目,複数種類混在,POS+インフォマート+KOT+費用設定の組合せ,売上-仕入-人件費-経費,当月実績.売上税抜 - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費,-,"head_office_connected_service_sales_logs.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs, monthly_costs.value","ZTOTAL.sales_excluded, tax_excluded_total, labor_costs_logs.labor_costs","POS売上（日別集計）, インフォマート（仕入）, 勤怠（KOT/ジョブカン）, ユーザー入力（費用設定）","当月実績.売上税抜, 予実対比.FD仕入, 予実対比.人件費, 予実対比.その他経費","当月実績.営業利益, 店舗別サマリー.営業利益",ZTOTAL.sales_excluded / tax_excluded_total / labor_costs_logs.labor_costs → head_office_connected_service_sales_logs.sales_excluded / infomart_transactions.total_tax_excluded / head_office_connected_service_labor_costs_logs.labor_costs → 年間予実対比.営業利益,スキーマ検証済,-,年間データの集計期間(1-12月 or 年度)が不明,年間集計の期間定義を確認必要
100,表示画面,年間予実対比,FD仕入額,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM年間,SUM(tax_excluded_total.total_tax_excluded) GROUP BY year,-,infomart_orders.total_tax_excluded,tax_excluded_total.total_tax_excluded,インフォマート（仕入）,[外部]tax_excluded_total.total_tax_excluded,-,tax_excluded_total.total_tax_excluded → infomart_orders.total_tax_excluded → 年間予実対比.FD仕入額,外部連携検証済,tax_excluded_total.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-
101,表示画面,年間予実対比,人件費額,L0,C,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM年間,SUM(labor_costs_logs.labor_costs) GROUP BY year,-,head_office_connected_service_labor_costs_logs.labor_costs,labor_costs_logs.labor_costs,勤怠（KOT/ジョブカン）,[外部]labor_costs_logs.labor_costs,-,labor_costs_logs.labor_costs → head_office_connected_service_labor_costs_logs.labor_costs → 年間予実対比.人件費額,スキーマ検証済,-,-,-
102,表示画面,年間予実対比,客単価,L1,A,画面間,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷客数,当月実績.売上税抜 ÷ 客数.当月客数,-,"head_office_connected_service_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers","ZTOTAL.sales_excluded, ZTOTAL.customers",POS売上（日別集計）,"当月実績.売上税抜, 客数.当月客数",-,ZTOTAL.sales_excluded / ZTOTAL.customers → head_office_connected_service_sales_logs.sales_excluded / head_office_connected_service_sales_logs.customers → 年間予実対比.客単価,スキーマ検証済,-,-,-
