121,表示画面,FD仕入率トレンド,ドリンク仕入比率,L1,C,画面間,計算項目,外部連携×外部連携,インフォマート仕入とPOS売上の組合せ,ドリンク仕入÷ドリンク売上×100,予実対比.ドリンク仕入 ÷ 予実対比.ドリンク売上 × 100,-,"infomart_transactions.total_tax_excluded, head_office_item_sales_logs.sales_excluded","tax_excluded_total, TITEM.sales_excluded","インフォマート（仕入）, POS売上（商品別）","予実対比.ドリンク仕入, 予実対比.ドリンク売上",-,tax_excluded_total / TITEM.sales_excluded → infomart_transactions.total_tax_excluded / head_office_item_sales_logs.sales_excluded → FD仕入率トレンド.ドリンク仕入比率,スキーマ検証済,-,-,-
122,表示画面,流入分析,テーブル回転数,L4a,C,画面間,計算項目,外部連携×ラクミー設定マスタ,POS売上とラクミー店舗マスタの組合せ,組数÷総卓数,時間帯別売上分析.客数 ÷ 店舗マスタ.総卓数,-,"head_office_connected_service_sales_logs.customers, shops.total_tables",ZTOTAL.customers,POS売上（日別集計）,"時間帯別売上分析.客数, 店舗マスタ.総卓数","感度分析.テーブル回転数, 時間帯別売上分析.テーブル回転数, 曜日別売上分析.テーブル回転数, 流入分析.平均テーブル回転数",ZTOTAL.customers → head_office_connected_service_sales_logs.customers / shops.total_tables → 流入分析.テーブル回転数,外部連携検証済,ZTOTAL.customers → head_office_connected_service_sales_logs.customers,店舗マスタに総卓数カラムがあるか不明,店舗マスタのスキーマを確認必要
123,表示画面,流入分析,テーブル稼働率,L4a,C,画面間,計算項目,外部連携×ラクミー設定マスタ,予約データとラクミー店舗マスタの組合せ,予約卓÷総卓×100,流入分析.予約客数 ÷ 店舗マスタ.総卓数 × 100,流入分析.予約客数,shops.total_tables,-,-,"流入分析.予約客数, 店舗マスタ.総卓数",-,shops.total_tables → 流入分析.予約客数 → 流入分析.テーブル稼働率,演算検証済,インプット元: 流入分析.予約客数,予約システム連携の有無が不明,予約連携の実装状況を確認必要
124,表示画面,流入分析,予約売上,L4a,C,画面間,計算項目,複数種類混在,POS+予約+演算の組合せ,予約客売上,当月実績.売上税抜 × (流入分析.予約客数 ÷ 感度分析.客数),-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,"当月実績.売上税抜, 流入分析.予約客数, 感度分析.客数","主要KPI指標.予約売上, 当月実績.予約売上, 時間帯別売上分析.予約売上, 流入分析.ウォークイン売上, 流入分析.予約客単価",ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 流入分析.予約売上,スキーマ検証済,-,予約売上の算出ロジックが推測,予約連携の仕様を確認必要
125,表示画面,流入分析,予約客数,L0,A,-,予約システム,外部連携単独,予約システムから単独取得,SUM予約,SUM(予約連携.customers),-,reservations.customers,-,-,予約連携.customers,"流入分析.ウォークイン客数, 流入分析.テーブル稼働率, 流入分析.予約売上, 流入分析.予約客単価, 流入分析.予約客数トレンド",reservations.customers → 流入分析.予約客数,AI推測,予約連携データから客数を取得と推測,予約データのテーブル名が不明,予約連携データソースを確認必要
126,表示画面,流入分析,予約客単価,L4b,A,画面内,計算項目,演算×演算,複数の演算結果の組合せ,予約売上÷予約客数,流入分析.予約売上 ÷ 流入分析.予約客数,流入分析.予約売上,-,-,-,"流入分析.予約売上, 流入分析.予約客数","主要KPI指標.予約客単価, 当月実績.予約客単価, 時間帯別売上分析.予約客単価",流入分析.予約売上 → 流入分析.予約客単価,演算検証済,インプット元: 流入分析.予約売上,-,-
127,表示画面,流入分析,ウォークイン売上,L1,C,画面間,計算項目,演算×外部連携,POS売上と演算結果の組合せ,総売上-予約売上,予実対比.総売上 - 流入分析.予約売上,流入分析.予約売上,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,"流入分析.予約売上, 予実対比.総売上","主要KPI指標.ウォークイン売上, 当月実績.ウォークイン売上, 時間帯別売上分析.ウォークイン売上, 流入分析.ウォークイン客単価",ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 流入分析.予約売上 → 流入分析.ウォークイン売上,スキーマ検証済,-,-,-
128,表示画面,流入分析,ウォークイン客数,L1,A,画面間,計算項目,外部連携×外部連携,POS売上と予約データの組合せ,総客数-予約客数,感度分析.客数 - 流入分析.予約客数,-,"head_office_connected_service_sales_logs.customers, reservations.customers","ZTOTAL.customers, 予約連携.customers",POS売上（日別集計）,"感度分析.客数, 流入分析.予約客数","感度分析.ウォークイン客数, 時間帯別売上分析.ウォークイン客数, 曜日別売上分析.ウォークイン客数, 流入分析.ウォークイン客単価, 流入分析.ウォークイン客数トレンド",ZTOTAL.customers / 予約連携.customers → head_office_connected_service_sales_logs.customers / reservations.customers → 流入分析.ウォークイン客数,外部連携検証済,ZTOTAL.customers → head_office_connected_service_sales_logs.customers,-,-
129,表示画面,流入分析,ウォークイン客単価,L4b,A,画面内,計算項目,演算×演算,複数の演算結果の組合せ,WI売上÷WI客数,流入分析.ウォークイン売上 ÷ 流入分析.ウォークイン客数,"流入分析.ウォークイン売上, 流入分析.ウォークイン客数",-,-,-,"流入分析.ウォークイン売上, 流入分析.ウォークイン客数, 流入分析.ウォークイン売上, 流入分析.ウォークイン客数","主要KPI指標.ウォークイン客単価, 当月実績.ウォークイン客単価, 時間帯別売上分析.ウォークイン客単価",流入分析.ウォークイン売上 / 流入分析.ウォークイン客数 → 流入分析.ウォークイン客単価,演算検証済,"インプット元: 流入分析.ウォークイン売上, 流入分析.ウォークイン客数",-,-
130,表示画面,流入分析,総席数,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.customers),-,head_office_connected_service_sales_logs.customers,ZTOTAL.customers,POS売上（日別集計）,[外部]ZTOTAL.customers,-,ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 流入分析.総席数,スキーマ検証済,-,総席数=客数ではなく店舗マスタから取得すべき,店舗マスタの席数を確認必要
131,表示画面,流入分析,総組数,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,COUNT伝票,COUNT(TTOTAL.receipt_no),-,t_totals.receipt_no,TTOTAL.receipt_no,POS売上（伝票単位）,[外部]TTOTAL.receipt_no,流入分析.回転数,TTOTAL.receipt_no → t_totals.receipt_no → 流入分析.総組数,外部連携検証済,データソース: POS（売上・客数）,TTOTALは伝票単位データで組数を正確に把握可能,-
132,表示画面,流入分析,総卓数,L2,D,-,店舗マスタ（設定）,ラクミー設定マスタ単独,ラクミー設定マスタから取得,マスタ参照,店舗マスタ.total_tables,-,shops.total_tables,-,-,"店舗マスタ.total_tables, [マスタ]shops.total_tables",流入分析.回転数,shops.total_tables → 流入分析.総卓数,設定/入力検証済,データソース: 店舗マスタ（設定）,店舗マスタに総卓数カラムがあるか不明,店舗マスタのスキーマを確認必要
133,表示画面,流入分析,回転数,L4a,C,画面内,計算項目,外部連携×ラクミー設定マスタ,POS売上とラクミー店舗マスタの組合せ,組数÷卓数,流入分析.総組数 ÷ 流入分析.総卓数,-,"t_totals.receipt_no, shops.total_tables",TTOTAL.receipt_no,POS売上（伝票単位）,"流入分析.総組数, 流入分析.総卓数",流入分析.平均回転数,TTOTAL.receipt_no → t_totals.receipt_no / shops.total_tables → 流入分析.回転数,AI推測,組数÷卓数から回転数を算出と推測,-,-
134,表示画面,流入分析,予約売上合計,L4a,C,画面間,計算項目,複数種類混在,POS売上と演算結果の組合せ,SUM予約,SUM(当月実績.売上税抜) WHERE 予約 = true,-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,当月実績.売上税抜,流入分析.ウォークイン売上合計,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 流入分析.予約売上合計,スキーマ検証済,-,予約フラグの判定方法が不明,予約連携データの構造を確認必要
135,表示画面,流入分析,ウォークイン売上合計,L1,C,画面間,計算項目,演算×外部連携,POS売上と演算結果の組合せ,総売上-予約売上,予実対比.総売上 - 流入分析.予約売上合計,流入分析.予約売上合計,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,"流入分析.予約売上合計, 予実対比.総売上",-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 流入分析.予約売上合計 → 流入分析.ウォークイン売上合計,スキーマ検証済,-,-,-
136,表示画面,流入分析,予約客数トレンド,L1,A,画面内,計算項目,外部連携×外部連携,予約システム内の複数データ組合せ,期間集計トレンド計算,流入分析.予約客数 期間集計トレンド,-,reservations.customers,予約連携.customers,-,流入分析.予約客数,-,予約連携.customers → reservations.customers → 流入分析.予約客数トレンド,AI推測,予約客数のトレンド表示と推測,-,-
137,表示画面,流入分析,ウォークイン客数トレンド,L4b,A,画面内,計算項目,演算×演算,複数の演算結果の組合せ,期間集計トレンド計算,流入分析.ウォークイン客数 期間集計トレンド,流入分析.ウォークイン客数,-,-,-,流入分析.ウォークイン客数,-,流入分析.ウォークイン客数 → 流入分析.ウォークイン客数トレンド,演算検証済,インプット元: 流入分析.ウォークイン客数,-,-
138,表示画面,流入分析,平均回転数,L4b,C,画面内,計算項目,演算×演算,複数の演算結果の組合せ,AVG回転数,AVG(流入分析.回転数),流入分析.回転数,-,-,-,流入分析.回転数,-,流入分析.回転数 → 流入分析.平均回転数,演算検証済,インプット元: 流入分析.回転数,-,-
139,表示画面,流入分析,平均テーブル回転数,L4b,C,画面内,計算項目,演算×演算,複数の演算結果の組合せ,AVGテーブル回転数,AVG(流入分析.テーブル回転数),流入分析.テーブル回転数,-,-,-,流入分析.テーブル回転数,-,流入分析.テーブル回転数 → 流入分析.平均テーブル回転数,演算検証済,インプット元: 流入分析.テーブル回転数,-,-
140,表示画面,流入分析,客数,L0,A,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.customers),-,head_office_connected_service_sales_logs.customers,ZTOTAL.customers,POS売上（日別集計）,[外部]ZTOTAL.customers,-,ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 流入分析.客数,スキーマ検証済,-,-,-
141,表示画面,予実対比,総売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.sales_excluded),-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,"FD分析(売上構成比).FD売上構成比, FD売上構成比.FD売上構成比, 主要KPI指標.総売上, 予算設定.総売上, 当月実績.総売上, 時間帯別売上分析.総売上, 流入分析.総売上",ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 予実対比.総売上,スキーマ検証済,-,-,-
142,表示画面,予実対比,フード売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMフード,SUM(TITEM.sales_excluded) WHERE category = 'フード',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,"ABC分析.フード売上, FD仕入率トレンド.フード売上, FD分析.フード売上, FD売上構成比.フード売上合計, 予算設定.フード売上, 商品別売上分析.フード売上",TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.フード売上,スキーマ検証済,-,フードカテゴリの判定方法が不明,カテゴリ判定ロジックを確認必要
143,表示画面,予実対比,フード売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 11:00 AND 15:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,"予算設定.ランチ売上比, 時間帯別売上分析.フード売上ランチ",TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.フード売上ランチ,スキーマ検証済,-,-,-
144,表示画面,予実対比,フード売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 17:00 AND 23:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,時間帯別売上分析.フード売上ディナー,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.フード売上ディナー,スキーマ検証済,-,-,-
145,表示画面,予実対比,ドリンク売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMドリンク,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,"ABC分析.ドリンク売上, FD仕入率トレンド.ドリンク売上, FD分析.ドリンク売上, FD売上構成比.ドリンク売上合計, 予算設定.ドリンク売上, 商品別売上分析.ドリンク売上",TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.ドリンク売上,スキーマ検証済,-,-,-
146,表示画面,予実対比,ドリンク売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 11:00 AND 15:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,時間帯別売上分析.ドリンク売上ランチ,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.ドリンク売上ランチ,スキーマ検証済,-,-,-
147,表示画面,予実対比,ドリンク売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(ドリンクかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 17:00 AND 23:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,時間帯別売上分析.ドリンク売上ディナー,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.ドリンク売上ディナー,スキーマ検証済,-,-,-
148,表示画面,予実対比,その他売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMその他,SUM(TITEM.sales_excluded) WHERE category = 'その他',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,"ABC分析.その他売上, FD売上構成比.その他売上, 予算設定.その他売上, 商品別売上分析.その他売上",TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.その他売上,スキーマ検証済,-,-,-
149,表示画面,予実対比,割引値引き,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.discount),-,z_totals.discount,ZTOTAL.discount,POS売上（日別集計）,[外部]ZTOTAL.discount,-,ZTOTAL.discount → z_totals.discount → 予実対比.割引値引き,外部連携検証済,データソース: POS（売上・客数）,-,-
150,表示画面,予実対比,FD仕入,L0,A,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUMFD,SUM(tax_excluded_total.total_tax_excluded) WHERE category IN ('フード' 'ドリンク'),-,infomart_orders.total_tax_excluded,tax_excluded_total.total_tax_excluded,インフォマート（仕入）,[外部]tax_excluded_total.total_tax_excluded,"FD仕入率トレンド.FD仕入, FD分析.FD仕入, 主要KPI指標.FD仕入, 予算設定.FD仕入, 当月実績.FD仕入, 店舗別サマリー.FD仕入, 月次集計.FD仕入",tax_excluded_total.total_tax_excluded → infomart_orders.total_tax_excluded → 予実対比.FD仕入,外部連携検証済,tax_excluded_total.total_tax_excluded → infomart_transactions.total_tax_excluded,仕入データのFD分類方法が不明,インフォマートのカテゴリ分類を確認必要
151,表示画面,予実対比,フード仕入,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUMフード,SUM(tax_excluded_total.total_tax_excluded) WHERE category = 'フード',-,infomart_orders.total_tax_excluded,tax_excluded_total.total_tax_excluded,インフォマート（仕入）,[外部]tax_excluded_total.total_tax_excluded,"FD仕入率トレンド.フード仕入, FD分析.フード仕入, 仕入先分析.フード仕入, 当月実績.フード仕入, 感度分析.フード仕入",tax_excluded_total.total_tax_excluded → infomart_orders.total_tax_excluded → 予実対比.フード仕入,外部連携検証済,tax_excluded_total.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-
152,表示画面,予実対比,ドリンク仕入,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUMドリンク,SUM(tax_excluded_total.total_tax_excluded) WHERE category = 'ドリンク',-,infomart_orders.total_tax_excluded,tax_excluded_total.total_tax_excluded,インフォマート（仕入）,[外部]tax_excluded_total.total_tax_excluded,"FD仕入率トレンド.ドリンク仕入, FD分析.ドリンク仕入, 仕入先分析.ドリンク仕入, 当月実績.ドリンク仕入, 感度分析.ドリンク仕入",tax_excluded_total.total_tax_excluded → infomart_orders.total_tax_excluded → 予実対比.ドリンク仕入,外部連携検証済,tax_excluded_total.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-
153,表示画面,予実対比,人件費,L0,A,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM,SUM(labor_costs_logs.labor_costs),-,head_office_connected_service_labor_costs_logs.labor_costs,labor_costs_logs.labor_costs,勤怠（KOT/ジョブカン）,[外部]labor_costs_logs.labor_costs,"主要KPI指標.人件費, 店舗ラベル別サマリー.人件費, 店舗別サマリー.人件費, 店舗別人件費.人件費, 当月実績.人件費",labor_costs_logs.labor_costs → head_office_connected_service_labor_costs_logs.labor_costs → 予実対比.人件費,スキーマ検証済,-,-,-
154,表示画面,予実対比,固定人件費,L0,C,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM月給者,SUM(labor_costs_logs.labor_costs) WHERE employee_type = '月給者',-,head_office_connected_service_labor_costs_logs.labor_costs,labor_costs_logs.labor_costs,勤怠（KOT/ジョブカン）,[外部]labor_costs_logs.labor_costs,店舗別人件費.固定人件費,labor_costs_logs.labor_costs → head_office_connected_service_labor_costs_logs.labor_costs → 予実対比.固定人件費,スキーマ検証済,-,月給者の判定カラムが不明,従業員種別の判定ロジックを確認必要
155,表示画面,予実対比,PA人件費,L0,C,-,KOT（勤怠・人件費）,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM時給者,SUM(working_records.daily_cost) WHERE employee_type = '時給者',-,working_records.daily_cost,working_records.daily_cost,-,[外部]working_records.daily_cost,"予算設定.PA人件費率, 日次レポート.PA人件費, 月次集計.PA人件費率",working_records.daily_cost → working_records.daily_cost → 予実対比.PA人件費,外部連携検証済,データソース: KOT（勤怠・人件費）,-,-
156,表示画面,予実対比,ヘルプ人件費,L1,C,画面間,計算項目,外部連携×外部連携,KOT内の複数データ組合せ,help_costs-help_costs_minus,店舗別人件費.ヘルプ人件費 - 店舗別人件費.ヘルプ人件費マイナス,-,"labor_costs_logs.help_costs, labor_costs_logs.help_costs_minus","help_costs, help_costs_minus",-,"店舗別人件費.ヘルプ人件費, 店舗別人件費.ヘルプ人件費マイナス",店舗別人件費.ヘルプ人件費,help_costs / help_costs_minus → labor_costs_logs.help_costs / labor_costs_logs.help_costs_minus → 予実対比.ヘルプ人件費,要確認,テーブル'labor_costs_logs'が存在しない; テーブル'labor_costs_logs'が存在しない,-,-
157,表示画面,予実対比,その他経費,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,SUM経費,SUM(monthly_costs.value) WHERE cost_type = '経費',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,"主要KPI指標.その他経費, 店舗別サマリー.その他経費, 当月実績.その他経費, 月次費用入力.その他経費, 月次集計.その他経費, 費目別仕入分析.その他経費",monthly_costs.value → 予実対比.その他経費,スキーマ検証済,-,経費に含まれる費目の範囲が不明,経費カテゴリの費目一覧を確認必要
158,表示画面,予実対比,地代家賃,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目=家賃,monthly_costs.value WHERE cost_item = '家賃',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,"費目別仕入分析.地代家賃, 月次費用入力.地代家賃",monthly_costs.value → 予実対比.地代家賃,スキーマ検証済,-,-,-
159,表示画面,予実対比,資材費,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目=資材費,monthly_costs.value WHERE cost_item = '資材費',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,"費目別仕入分析.資材費, 月次費用入力.資材費",monthly_costs.value → 予実対比.資材費,スキーマ検証済,-,-,-
160,表示画面,予実対比,水道光熱費,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目=水道光熱費,monthly_costs.value WHERE cost_item = '水道光熱費',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,"費目別仕入分析.水道光熱費, 月次費用入力.水道光熱費",monthly_costs.value → 予実対比.水道光熱費,スキーマ検証済,-,-,-
161,表示画面,予実対比,減価償却費,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目=減価償却費,monthly_costs.value WHERE cost_item = '減価償却費',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,"費目別仕入分析.減価償却費, 月次費用入力.減価償却費",monthly_costs.value → 予実対比.減価償却費,スキーマ検証済,-,-,-
162,表示画面,予実対比,販促費,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目=販促費,monthly_costs.value WHERE cost_item = '販促費',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,"費目別仕入分析.販促費, 月次費用入力.販促費",monthly_costs.value → 予実対比.販促費,スキーマ検証済,-,-,-
163,表示画面,予実対比,その他売上(サービス料等),L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.service_charge_1),-,z_totals.service_charge_1,ZTOTAL.service_charge_1,POS売上（日別集計）,[外部]ZTOTAL.service_charge_1,-,ZTOTAL.service_charge_1 → z_totals.service_charge_1 → 予実対比.その他売上(サービス料等),外部連携検証済,データソース: POS（売上・客数）,-,-
164,表示画面,予実対比,その他売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(その他商品かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 11:00 AND 15:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.その他売上ランチ,スキーマ検証済,-,-,-
165,表示画面,予実対比,その他売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(その他商品かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 17:00 AND 23:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比.その他売上ディナー,スキーマ検証済,-,-,-
166,表示画面,予実対比,割引・値引きなど,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.discount),-,z_totals.discount,ZTOTAL.discount,POS売上（日別集計）,[外部]ZTOTAL.discount,-,ZTOTAL.discount → z_totals.discount → 予実対比.割引・値引きなど,外部連携検証済,データソース: POS（売上・客数）,-,-
167,表示画面,予実対比(一覧),その他売上(サービス料等),L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.service_charge_1),-,z_totals.service_charge_1,ZTOTAL.service_charge_1,POS売上（日別集計）,[外部]ZTOTAL.service_charge_1,-,ZTOTAL.service_charge_1 → z_totals.service_charge_1 → 予実対比(一覧).その他売上(サービス料等),外部連携検証済,データソース: POS（売上・客数）,-,-
168,表示画面,予実対比(一覧),その他売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 11:00 AND 15:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比(一覧).その他売上ランチ,スキーマ検証済,-,-,-
169,表示画面,予実対比(一覧),その他売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 17:00 AND 23:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比(一覧).その他売上ディナー,スキーマ検証済,-,-,-
170,表示画面,予実対比(一覧),割引･値引等,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.discount),-,z_totals.discount,ZTOTAL.discount,POS売上（日別集計）,[外部]ZTOTAL.discount,-,ZTOTAL.discount → z_totals.discount → 予実対比(一覧).割引･値引等,外部連携検証済,データソース: POS（売上・客数）,-,-
171,表示画面,予実対比(一覧),総売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.sales_excluded),-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,予実対比(一覧).営業利益,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 予実対比(一覧).総売上,スキーマ検証済,-,-,-
172,表示画面,予実対比(一覧),フード売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMフード,SUM(TITEM.sales_excluded) WHERE category = 'フード',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比(一覧).フード売上,スキーマ検証済,-,-,-
173,表示画面,予実対比(一覧),フード売上ランチ,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 11:00 AND 15:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比(一覧).フード売上ランチ,スキーマ検証済,-,-,-
174,表示画面,予実対比(一覧),フード売上ディナー,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM(フードかつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 17:00 AND 23:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比(一覧).フード売上ディナー,スキーマ検証済,-,-,-
175,表示画面,予実対比(一覧),ドリンク売上,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUMドリンク,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク',-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予実対比(一覧).ドリンク売上,スキーマ検証済,-,-,-
