画面タイトル,画面タイプ,次数,指標名,計算レイヤー,依存先指標,用途コメント,V89No
予実対比,分析画面,3次,構成比_その他売上 計,L2-S,"予実対比.実績_その他売上 計, 予実対比.実績_総売上 計",-,233
予実対比,分析画面,3次,構成比_FLコスト 計,L2-S,"予実対比.実績_FLコスト 計, 予実対比.実績_総売上 計",-,234
予実対比,分析画面,3次,構成比_FD仕入 計,L2-S,"予実対比.実績_FD仕入 計, 予実対比.実績_総売上 計",-,235
予実対比,分析画面,3次,構成比_人件費 計,L2-S,"予実対比.実績_人件費 計, 予実対比.実績_総売上 計",-,236
予実対比,分析画面,3次,構成比_その他経費 計,L2-S,"予実対比.実績_その他経費 計, 予実対比.実績_総売上 計",-,237
予実対比,分析画面,3次,構成比_営業利益,L2-S,"予実対比.実績_営業利益, 予実対比.実績_総売上 計",-,238
仕入先分析,分析画面,2次,仕入れ先,L1,[外部]member_name_partner.client_name,-,239
仕入先分析,分析画面,2次,金額（税抜）,L1,[外部]infomart_transactions.total_tax_excluded + ラクミーアプリ.納品書撮影.小計（税抜）,-,240
仕入先分析,分析画面,3次,比率,L2-S,-,-,241
利益進捗分析,分析画面,4次,利益進捗率,L3-S,月次予算設定.目標月次利益,-,242
利益進捗分析,分析画面,4次,利益進捗率比較（前月）,L3-S,"利益進捗分析.利益進捗率（当月）, 利益進捗分析.利益進捗率（前月/前々月）",-,243
利益進捗分析,分析画面,4次,利益進捗率比較（前々月）,L3-S,"利益進捗分析.利益進捗率（当月）, 利益進捗分析.利益進捗率（前月/前々月）",-,244
利益進捗分析,分析画面,4次,利益達成率,L3-S,月次予算設定.目標月次利益,-,245
利益進捗分析,分析画面,5次,異常スコア,L4(提案),利益進捗率; 利益進捗率比較（前月）; 利益進捗率比較（前々月）,【異常検知用】標準偏差からの逸脱度 / 概念式: (値 - 平均) / 標準偏差,提案
商品別仕入分析,分析画面,2次,商品,L1,[外部]detail_list.item_name,-,246
商品別仕入分析,分析画面,2次,仕入先,L1,[外部]member_name_partner.client_name,-,247
商品別仕入分析,分析画面,2次,金額（税抜）,L1,[外部]detail_list.price,-,248
商品別仕入分析,分析画面,3次,比率,L2-S,-,-,249
商品別売上分析,分析画面,2次,販売数量,L1,[外部]TITEM.quantity,-,252
商品別売上分析,分析画面,3次,商品単価（税抜）,L2-S,商品別売上分析.販売数量,-,250
商品別売上分析,分析画面,3次,商品単価（税込）,L2-S,商品別売上分析.販売数量,-,251
売上進捗分析,分析画面,4次,売上進捗率,L3-S,月次予算設定.売上（税抜）,-,253
売上進捗分析,分析画面,4次,売上進捗率比較（前月）,L3-S,"売上進捗分析.売上進捗率（当月）, 売上進捗分析.売上進捗率（前月/前々月）",-,254
売上進捗分析,分析画面,4次,売上進捗率比較（前々月）,L3-S,"売上進捗分析.売上進捗率（当月）, 売上進捗分析.売上進捗率（前月/前々月）",-,255
売上進捗分析,分析画面,4次,売上達成率,L3-S,月次予算設定.売上（税抜）,-,256
売上進捗分析,分析画面,5次,異常スコア,L4(提案),売上進捗率; 売上進捗率比較（前月）; 売上進捗率比較（前々月）,【異常検知用】標準偏差からの逸脱度 / 概念式: (値 - 平均) / 標準偏差,提案
平均単価推移,分析画面,2次,仕入商品ラベル,L1,[外部]detail_list.item_name,-,257
平均単価推移,分析画面,2次,仕入金額（税抜）,L1,[外部]detail_list.price,-,258
平均単価推移,分析画面,2次,数量,L1,[外部]detail_list.num,-,259
平均単価推移,分析画面,3次,平均単価,L2-S,平均単価推移.数量,-,260
平均単価推移,分析画面,3次,平均単価推移,L2-S,平均単価推移.平均単価,-,261
年間予実対比,分析画面,2次,月次実績_総売上 計,L1,[外部]ZTOTAL.sales_excluded,-,497
年間予実対比,分析画面,2次,月次実績_フード売上 計,L1,[外部]TITEM.sales_excluded,-,498
年間予実対比,分析画面,2次,月次実績_ドリンク売上 計,L1,[外部]TITEM.sales_excluded,-,499
年間予実対比,分析画面,2次,月次実績_その他売上 計,L1,[外部]ZTOTAL.service_charge_1,-,500
年間予実対比,分析画面,2次,月次実績_FD仕入 計,L1,インフォマート（仕入）,-,502
年間予実対比,分析画面,2次,月次実績_人件費 計,L1,[外部]head_office_employee_working_records.daily_cost,-,503
年間予実対比,分析画面,2次,月次実績_その他経費 計,L1,[入力]monthly_costs.value,-,504
年間予実対比,分析画面,2次,月次予算_総売上 計,L1,月次予算設定.売上（税抜）,-,506
年間予実対比,分析画面,2次,月次予算_フード売上 計,L1,月次予算設定.月次フード売上,-,507
年間予実対比,分析画面,2次,月次予算_ドリンク売上 計,L1,月次予算設定.月次ドリンク売上,-,508
年間予実対比,分析画面,2次,月次予算_その他売上 計,L1,月次予算設定.月次その他売上,-,509
年間予実対比,分析画面,2次,月次予算_FD仕入 計,L1,月次予算設定.月次FD仕入,-,511
年間予実対比,分析画面,2次,月次予算_人件費 計,L1,月次予算設定.月次人件費,-,512
年間予実対比,分析画面,2次,月次予算_その他経費 計,L1,月次予算設定.月次その他経費,-,513
年間予実対比,分析画面,3次,月次実績_FLコスト 計,L2-S,"年間予実対比.月次実績_FD仕入 計, 年間予実対比.月次実績_人件費 計",-,501
年間予実対比,分析画面,3次,月次実績_営業利益,L2-S,"年間予実対比.月次実績_総売上 計, 年間予実対比.月次実績_FLコスト 計, 年間予実対比.月次実績_その他経費 計",-,505
年間予実対比,分析画面,3次,月次予算_FLコスト 計,L2-S,"年間予実対比.月次予算_FD仕入 計, 年間予実対比.月次予算_人件費 計",-,510
年間予実対比,分析画面,3次,月次予算_営業利益,L2-S,"年間予実対比.月次予算_総売上 計, 年間予実対比.月次予算_FLコスト 計, 年間予実対比.月次予算_その他経費 計",-,514
年間予実対比,分析画面,3次,予算構成比_総売上 計,L2-S,年間予実対比.月次予算_総売上 計,-,515
年間予実対比,分析画面,3次,予算構成比_フード売上 計,L2-S,"年間予実対比.月次予算_フード売上 計, 年間予実対比.月次予算_総売上 計",-,516
年間予実対比,分析画面,3次,予算構成比_ドリンク売上 計,L2-S,"年間予実対比.月次予算_ドリンク売上 計, 年間予実対比.月次予算_総売上 計",-,517
年間予実対比,分析画面,3次,予算構成比_その他売上 計,L2-S,"年間予実対比.月次予算_その他売上 計, 年間予実対比.月次予算_総売上 計",-,518
年間予実対比,分析画面,3次,予算構成比_FLコスト 計,L2-S,"年間予実対比.月次予算_FLコスト 計, 年間予実対比.月次予算_総売上 計",-,519
年間予実対比,分析画面,3次,予算構成比_FD仕入 計,L2-S,"年間予実対比.月次予算_FD仕入 計, 年間予実対比.月次予算_総売上 計",-,520
年間予実対比,分析画面,3次,予算構成比_人件費 計,L2-S,"年間予実対比.月次予算_人件費 計, 年間予実対比.月次予算_総売上 計",-,521
年間予実対比,分析画面,3次,予算構成比_その他経費 計,L2-S,"年間予実対比.月次予算_その他経費 計, 年間予実対比.月次予算_総売上 計",-,522
年間予実対比,分析画面,3次,予算構成比_営業利益,L2-S,"年間予実対比.月次予算_営業利益, 年間予実対比.月次予算_総売上 計",-,523
年間予実対比,分析画面,3次,予実差額_総売上 計,L2-S,"年間予実対比.月次実績_総売上 計, 年間予実対比.月次予算_総売上 計",-,524
年間予実対比,分析画面,3次,予実差額_フード売上 計,L2-S,"年間予実対比.月次実績_フード売上 計, 年間予実対比.月次予算_フード売上 計",-,525
年間予実対比,分析画面,3次,予実差額_ドリンク売上 計,L2-S,"年間予実対比.月次実績_ドリンク売上 計, 年間予実対比.月次予算_ドリンク売上 計",-,526
年間予実対比,分析画面,3次,予実差額_その他売上 計,L2-S,"年間予実対比.月次実績_その他売上 計, 年間予実対比.月次予算_その他売上 計",-,527
年間予実対比,分析画面,3次,予実差額_FLコスト 計,L2-S,"年間予実対比.月次実績_FLコスト 計, 年間予実対比.月次予算_FLコスト 計",-,528
年間予実対比,分析画面,3次,予実差額_FD仕入 計,L2-S,"年間予実対比.月次実績_FD仕入 計, 年間予実対比.月次予算_FD仕入 計",-,529
年間予実対比,分析画面,3次,予実差額_人件費 計,L2-S,"年間予実対比.月次実績_人件費 計, 年間予実対比.月次予算_人件費 計",-,530
年間予実対比,分析画面,3次,予実差額_その他経費 計,L2-S,"年間予実対比.月次実績_その他経費 計, 年間予実対比.月次予算_その他経費 計",-,531
年間予実対比,分析画面,3次,予実差額_営業利益,L2-S,"年間予実対比.月次実績_営業利益, 年間予実対比.月次予算_営業利益",-,532
年間予実対比,分析画面,3次,予算対比率_総売上 計,L2-S,"年間予実対比.月次実績_総売上 計, 年間予実対比.月次予算_総売上 計",-,533
年間予実対比,分析画面,3次,予算対比率_フード売上 計,L2-S,"年間予実対比.月次実績_フード売上 計, 年間予実対比.月次予算_フード売上 計",-,534
年間予実対比,分析画面,3次,予算対比率_ドリンク売上 計,L2-S,"年間予実対比.月次実績_ドリンク売上 計, 年間予実対比.月次予算_ドリンク売上 計",-,535
年間予実対比,分析画面,3次,予算対比率_その他売上 計,L2-S,"年間予実対比.月次実績_その他売上 計, 年間予実対比.月次予算_その他売上 計",-,536
年間予実対比,分析画面,3次,予算対比率_FLコスト 計,L2-S,"年間予実対比.月次実績_FLコスト 計, 年間予実対比.月次予算_FLコスト 計",-,537
年間予実対比,分析画面,3次,予算対比率_FD仕入 計,L2-S,"年間予実対比.月次実績_FD仕入 計, 年間予実対比.月次予算_FD仕入 計",-,538
年間予実対比,分析画面,3次,予算対比率_人件費 計,L2-S,"年間予実対比.月次実績_人件費 計, 年間予実対比.月次予算_人件費 計",-,539
年間予実対比,分析画面,3次,予算対比率_その他経費 計,L2-S,"年間予実対比.月次実績_その他経費 計, 年間予実対比.月次予算_その他経費 計",-,540
年間予実対比,分析画面,3次,予算対比率_営業利益,L2-S,"年間予実対比.月次実績_営業利益, 年間予実対比.月次予算_営業利益",-,541
年間予実対比,分析画面,3次,構成比_総売上 計,L2-S,年間予実対比.月次実績_総売上 計,-,542
年間予実対比,分析画面,3次,構成比_フード売上 計,L2-S,"年間予実対比.月次実績_フード売上 計, 年間予実対比.月次実績_総売上 計",-,543
年間予実対比,分析画面,3次,構成比_ドリンク売上 計,L2-S,"年間予実対比.月次実績_ドリンク売上 計, 年間予実対比.月次実績_総売上 計",-,544
年間予実対比,分析画面,3次,構成比_その他売上 計,L2-S,"年間予実対比.月次実績_その他売上 計, 年間予実対比.月次実績_総売上 計",-,545
年間予実対比,分析画面,3次,構成比_FLコスト 計,L2-S,"年間予実対比.月次実績_FLコスト 計, 年間予実対比.月次実績_総売上 計",-,546
年間予実対比,分析画面,3次,構成比_FD仕入 計,L2-S,"年間予実対比.月次実績_FD仕入 計, 年間予実対比.月次実績_総売上 計",-,547
年間予実対比,分析画面,3次,構成比_人件費 計,L2-S,"年間予実対比.月次実績_人件費 計, 年間予実対比.月次実績_総売上 計",-,548
年間予実対比,分析画面,3次,構成比_その他経費 計,L2-S,"年間予実対比.月次実績_その他経費 計, 年間予実対比.月次実績_総売上 計",-,549
年間予実対比,分析画面,3次,構成比_営業利益,L2-S,"年間予実対比.月次実績_営業利益, 年間予実対比.月次実績_総売上 計",-,550
年間予実対比（予実対比）,分析画面,2次,年間実績_総売上 計,L1,[外部]ZTOTAL.sales_excluded,-,262
年間予実対比（予実対比）,分析画面,2次,年間実績_フード売上 計,L1,[外部]TITEM.sales_excluded,-,263
年間予実対比（予実対比）,分析画面,2次,年間実績_ドリンク売上 計,L1,[外部]TITEM.sales_excluded,-,264
年間予実対比（予実対比）,分析画面,2次,年間実績_その他売上 計,L1,[外部]ZTOTAL.service_charge_1,-,265
年間予実対比（予実対比）,分析画面,2次,年間実績_その他売上ランチ,L1,[外部]TITEM.sales_excluded,-,266
年間予実対比（予実対比）,分析画面,2次,年間実績_その他売上ディナー,L1,[外部]TITEM.sales_excluded,-,267
年間予実対比（予実対比）,分析画面,2次,年間実績_FD仕入 計,L1,[外部]infomart_transactions.total_tax_excluded,-,269
年間予実対比（予実対比）,分析画面,2次,年間実績_人件費 計,L1,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,270
年間予実対比（予実対比）,分析画面,2次,年間実績_その他経費 計,L1,-,-,271
年間予実対比（予実対比）,分析画面,2次,年間実績_ラクミー利用料,L1,-,-,272
年間予実対比（予実対比）,分析画面,2次,年間実績_IT費用,L1,-,-,273
年間予実対比（予実対比）,分析画面,2次,年間実績_お花代,L1,-,-,274
年間予実対比（予実対比）,分析画面,2次,年間実績_ガス代,L1,-,-,275
年間予実対比（予実対比）,分析画面,2次,年間実績_クレジットカード手数料,L1,-,-,276
年間予実対比（予実対比）,分析画面,2次,年間実績_レジ利用料,L1,-,-,277
年間予実対比（予実対比）,分析画面,2次,年間実績_借入金返済,L1,-,-,278
年間予実対比（予実対比）,分析画面,2次,年間実績_家賃（変動分）,L1,-,-,279
年間予実対比（予実対比）,分析画面,2次,年間実績_水道代,L1,-,-,280
年間予実対比（予実対比）,分析画面,2次,年間実績_社員人件費,L1,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,281
年間予実対比（予実対比）,分析画面,2次,年間実績_電気代,L1,-,-,282
年間予実対比（予実対比）,分析画面,2次,年間実績_フード売上ランチ,L1,[外部]TITEM.sales_excluded,-,284
年間予実対比（予実対比）,分析画面,2次,年間実績_フード売上ディナー,L1,[外部]TITEM.sales_excluded,-,285
年間予実対比（予実対比）,分析画面,2次,年間実績_ドリンク売上ランチ,L1,[外部]TITEM.sales_excluded,-,286
年間予実対比（予実対比）,分析画面,2次,年間実績_ドリンク売上ディナー,L1,[外部]TITEM.sales_excluded,-,287
年間予実対比（予実対比）,分析画面,2次,年間実績_フード仕入,L1,[外部]infomart_transactions.total_tax_excluded,-,288
年間予実対比（予実対比）,分析画面,2次,年間実績_ドリンク仕入,L1,[外部]infomart_transactions.total_tax_excluded,-,289
年間予実対比（予実対比）,分析画面,2次,年間実績_固定人件費,L1,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,290
年間予実対比（予実対比）,分析画面,2次,年間実績_PA人件費,L1,[外部]head_office_employee_working_records.daily_cost,-,291
年間予実対比（予実対比）,分析画面,2次,年間実績_地代家賃,L1,-,-,293
年間予実対比（予実対比）,分析画面,2次,年間実績_資材費,L1,-,-,294
年間予実対比（予実対比）,分析画面,2次,年間実績_水道光熱費,L1,-,-,295
年間予実対比（予実対比）,分析画面,2次,年間実績_減価償却費,L1,-,-,296
年間予実対比（予実対比）,分析画面,2次,年間実績_販促費,L1,-,-,297
年間予実対比（予実対比）,分析画面,2次,年間予算_総売上 計,L1,月次予算設定.年間総売上,-,551
年間予実対比（予実対比）,分析画面,2次,年間予算_フード売上 計,L1,月次予算設定.年間フード売上,-,552
年間予実対比（予実対比）,分析画面,2次,年間予算_フード売上ランチ,L1,月次予算設定.年間フード売上ランチ,-,553
年間予実対比（予実対比）,分析画面,2次,年間予算_フード売上ディナー,L1,月次予算設定.年間フード売上ディナー,-,554
年間予実対比（予実対比）,分析画面,2次,年間予算_ドリンク売上 計,L1,月次予算設定.年間ドリンク売上,-,555
年間予実対比（予実対比）,分析画面,2次,年間予算_ドリンク売上ランチ,L1,月次予算設定.年間ドリンク売上ランチ,-,556
年間予実対比（予実対比）,分析画面,2次,年間予算_ドリンク売上ディナー,L1,月次予算設定.年間ドリンク売上ディナー,-,557
年間予実対比（予実対比）,分析画面,2次,年間予算_その他売上 計（サービス料等）,L1,月次予算設定.年間その他売上（サービス料等）,-,558
年間予実対比（予実対比）,分析画面,2次,年間予算_その他売上ランチ,L1,月次予算設定.年間その他売上ランチ,-,559
年間予実対比（予実対比）,分析画面,2次,年間予算_その他売上ディナー,L1,月次予算設定.年間その他売上ディナー,-,560
年間予実対比（予実対比）,分析画面,2次,年間予算_FD仕入 計,L1,月次予算設定.年間FD仕入,-,562
年間予実対比（予実対比）,分析画面,2次,年間予算_フード仕入,L1,月次予算設定.年間フード仕入,-,563
年間予実対比（予実対比）,分析画面,2次,年間予算_ドリンク仕入,L1,月次予算設定.年間ドリンク仕入,-,564
年間予実対比（予実対比）,分析画面,2次,年間予算_人件費 計,L1,月次予算設定.年間人件費,-,565
年間予実対比（予実対比）,分析画面,2次,年間予算_PA人件費,L1,月次予算設定.年間PA人件費,-,567
年間予実対比（予実対比）,分析画面,3次,年間実績_FLコスト 計,L2-S,-,-,268
年間予実対比（予実対比）,分析画面,3次,年間実績_営業利益,L2-S,-,-,283
年間予実対比（予実対比）,分析画面,3次,年間予算_FLコスト 計,L2-S,"年間予実対比（予実対比）.年間予算_FD仕入 計, 年間予実対比（予実対比）.年間予算_人件費 計",-,561
年間予実対比（予実対比）,分析画面,3次,年間予算_営業利益,L2-S,"年間予実対比（予実対比）.年間予算_総売上 計, 年間予実対比（予実対比）.年間予算_FLコスト 計, 年間予実対比（予実対比）.年間予算_その他経費 計",-,586
年間予実対比（予実対比）,分析画面,3次,年間予実差額_総売上 計,L2-S,"年間予実対比（予実対比）.年間実績_総売上 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,587
年間予実対比（予実対比）,分析画面,3次,年間予実差額_フード売上 計,L2-S,"年間予実対比（予実対比）.年間実績_フード売上 計, 年間予実対比（予実対比）.年間予算_フード売上 計",-,588
年間予実対比（予実対比）,分析画面,3次,年間予実差額_フード売上ランチ,L2-S,"年間予実対比（予実対比）.年間実績_フード売上ランチ, 年間予実対比（予実対比）.年間予算_フード売上ランチ",-,589
年間予実対比（予実対比）,分析画面,3次,年間予実差額_フード売上ディナー,L2-S,"年間予実対比（予実対比）.年間実績_フード売上ディナー, 年間予実対比（予実対比）.年間予算_フード売上ディナー",-,590
年間予実対比（予実対比）,分析画面,3次,年間予実差額_ドリンク売上 計,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク売上 計, 年間予実対比（予実対比）.年間予算_ドリンク売上 計",-,591
年間予実対比（予実対比）,分析画面,3次,年間予実差額_ドリンク売上ランチ,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク売上ランチ, 年間予実対比（予実対比）.年間予算_ドリンク売上ランチ",-,592
年間予実対比（予実対比）,分析画面,3次,年間予実差額_ドリンク売上ディナー,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク売上ディナー, 年間予実対比（予実対比）.年間予算_ドリンク売上ディナー",-,593
年間予実対比（予実対比）,分析画面,3次,年間予実差額_その他売上 計,L2-S,"年間予実対比（予実対比）.年間実績_その他売上 計, 年間予実対比（予実対比）.年間予算_その他売上 計",-,594
年間予実対比（予実対比）,分析画面,3次,年間予実差額_その他売上ランチ,L2-S,"年間予実対比（予実対比）.年間実績_その他売上ランチ, 年間予実対比（予実対比）.年間予算_その他売上ランチ",-,595
年間予実対比（予実対比）,分析画面,3次,年間予実差額_その他売上ディナー,L2-S,"年間予実対比（予実対比）.年間実績_その他売上ディナー, 年間予実対比（予実対比）.年間予算_その他売上ディナー",-,596
年間予実対比（予実対比）,分析画面,3次,年間予実差額_FLコスト 計,L2-S,"年間予実対比（予実対比）.年間実績_FLコスト 計, 年間予実対比（予実対比）.年間予算_FLコスト 計",-,597
年間予実対比（予実対比）,分析画面,3次,年間予実差額_FD仕入 計,L2-S,"年間予実対比（予実対比）.年間実績_FD仕入 計, 年間予実対比（予実対比）.年間予算_FD仕入 計",-,598
年間予実対比（予実対比）,分析画面,3次,年間予実差額_フード仕入,L2-S,"年間予実対比（予実対比）.年間実績_フード仕入, 年間予実対比（予実対比）.年間予算_フード仕入",-,599
年間予実対比（予実対比）,分析画面,3次,年間予実差額_ドリンク仕入,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク仕入, 年間予実対比（予実対比）.年間予算_ドリンク仕入",-,600
年間予実対比（予実対比）,分析画面,3次,年間予実差額_人件費 計,L2-S,"年間予実対比（予実対比）.年間実績_人件費 計, 年間予実対比（予実対比）.年間予算_人件費 計",-,601
年間予実対比（予実対比）,分析画面,3次,年間予実差額_固定人件費,L2-S,"年間予実対比（予実対比）.年間実績_固定人件費, 年間予実対比（予実対比）.年間予算_固定人件費",-,602
年間予実対比（予実対比）,分析画面,3次,年間予実差額_PA人件費,L2-S,"年間予実対比（予実対比）.年間実績_PA人件費, 年間予実対比（予実対比）.年間予算_PA人件費",-,603
年間予実対比（予実対比）,分析画面,3次,年間予実差額_社員人件費,L2-S,"年間予実対比（予実対比）.年間実績_社員人件費, 年間予実対比（予実対比）.年間予算_社員人件費",-,604
年間予実対比（予実対比）,分析画面,3次,年間予実差額_ヘルプ人件費,L2-S,"年間予実対比（予実対比）.年間実績_ヘルプ人件費, 年間予実対比（予実対比）.年間予算_ヘルプ人件費",-,605
年間予実対比（予実対比）,分析画面,3次,年間予実差額_その他経費 計,L2-S,"年間予実対比（予実対比）.年間実績_その他経費 計, 年間予実対比（予実対比）.年間予算_その他経費 計",-,606
年間予実対比（予実対比）,分析画面,3次,年間予実差額_地代家賃,L2-S,"年間予実対比（予実対比）.年間実績_地代家賃, 年間予実対比（予実対比）.年間予算_地代家賃",-,607
年間予実対比（予実対比）,分析画面,3次,年間予実差額_家賃（変動分）,L2-S,"年間予実対比（予実対比）.年間実績_家賃（変動分）, 年間予実対比（予実対比）.年間予算_家賃（変動分）",-,608
年間予実対比（予実対比）,分析画面,3次,年間予実差額_水道光熱費,L2-S,"年間予実対比（予実対比）.年間実績_水道光熱費, 年間予実対比（予実対比）.年間予算_水道光熱費",-,609
年間予実対比（予実対比）,分析画面,3次,年間予実差額_電気代,L2-S,"年間予実対比（予実対比）.年間実績_電気代, 年間予実対比（予実対比）.年間予算_電気代",-,610
年間予実対比（予実対比）,分析画面,3次,年間予実差額_ガス代,L2-S,"年間予実対比（予実対比）.年間実績_ガス代, 年間予実対比（予実対比）.年間予算_ガス代",-,611
年間予実対比（予実対比）,分析画面,3次,年間予実差額_水道代,L2-S,"年間予実対比（予実対比）.年間実績_水道代, 年間予実対比（予実対比）.年間予算_水道代",-,612
年間予実対比（予実対比）,分析画面,3次,年間予実差額_減価償却費,L2-S,"年間予実対比（予実対比）.年間実績_減価償却費, 年間予実対比（予実対比）.年間予算_減価償却費",-,613
年間予実対比（予実対比）,分析画面,3次,年間予実差額_販促費,L2-S,"年間予実対比（予実対比）.年間実績_販促費, 年間予実対比（予実対比）.年間予算_販促費",-,614
年間予実対比（予実対比）,分析画面,3次,年間予実差額_資材費,L2-S,"年間予実対比（予実対比）.年間実績_資材費, 年間予実対比（予実対比）.年間予算_資材費",-,615
年間予実対比（予実対比）,分析画面,3次,年間予実差額_借入金返済,L2-S,"年間予実対比（予実対比）.年間実績_借入金返済, 年間予実対比（予実対比）.年間予算_借入金返済",-,616
年間予実対比（予実対比）,分析画面,3次,年間予実差額_IT費用,L2-S,"年間予実対比（予実対比）.年間実績_IT費用, 年間予実対比（予実対比）.年間予算_IT費用",-,617
年間予実対比（予実対比）,分析画面,3次,年間予実差額_ラクミー利用料,L2-S,"年間予実対比（予実対比）.年間実績_ラクミー利用料, 年間予実対比（予実対比）.年間予算_ラクミー利用料",-,618
年間予実対比（予実対比）,分析画面,3次,年間予実差額_レジ利用料,L2-S,"年間予実対比（予実対比）.年間実績_レジ利用料, 年間予実対比（予実対比）.年間予算_レジ利用料",-,619
年間予実対比（予実対比）,分析画面,3次,年間予実差額_クレジットカード手数料,L2-S,"年間予実対比（予実対比）.年間実績_クレジットカード手数料, 年間予実対比（予実対比）.年間予算_クレジットカード手数料",-,620
年間予実対比（予実対比）,分析画面,3次,年間予実差額_お花代,L2-S,"年間予実対比（予実対比）.年間実績_お花代, 年間予実対比（予実対比）.年間予算_お花代",-,621
年間予実対比（予実対比）,分析画面,3次,年間予実差額_営業利益,L2-S,"年間予実対比（予実対比）.年間実績_営業利益, 年間予実対比（予実対比）.年間予算_営業利益",-,622
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_総売上 計,L2-S,"年間予実対比（予実対比）.年間実績_総売上 計, 年間予実対比（予実対比）.年間予算_総売上 計",-,623
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_フード売上 計,L2-S,"年間予実対比（予実対比）.年間実績_フード売上 計, 年間予実対比（予実対比）.年間予算_フード売上 計",-,624
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_フード売上ランチ,L2-S,"年間予実対比（予実対比）.年間実績_フード売上ランチ, 年間予実対比（予実対比）.年間予算_フード売上ランチ",-,625
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_フード売上ディナー,L2-S,"年間予実対比（予実対比）.年間実績_フード売上ディナー, 年間予実対比（予実対比）.年間予算_フード売上ディナー",-,626
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_ドリンク売上 計,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク売上 計, 年間予実対比（予実対比）.年間予算_ドリンク売上 計",-,627
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_ドリンク売上ランチ,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク売上ランチ, 年間予実対比（予実対比）.年間予算_ドリンク売上ランチ",-,628
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_ドリンク売上ディナー,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク売上ディナー, 年間予実対比（予実対比）.年間予算_ドリンク売上ディナー",-,629
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_その他売上 計,L2-S,"年間予実対比（予実対比）.年間実績_その他売上 計, 年間予実対比（予実対比）.年間予算_その他売上 計",-,630
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_その他売上ランチ,L2-S,"年間予実対比（予実対比）.年間実績_その他売上ランチ, 年間予実対比（予実対比）.年間予算_その他売上ランチ",-,631
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_その他売上ディナー,L2-S,"年間予実対比（予実対比）.年間実績_その他売上ディナー, 年間予実対比（予実対比）.年間予算_その他売上ディナー",-,632
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_FLコスト 計,L2-S,"年間予実対比（予実対比）.年間実績_FLコスト 計, 年間予実対比（予実対比）.年間予算_FLコスト 計",-,633
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_FD仕入 計,L2-S,"年間予実対比（予実対比）.年間実績_FD仕入 計, 年間予実対比（予実対比）.年間予算_FD仕入 計",-,634
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_フード仕入,L2-S,"年間予実対比（予実対比）.年間実績_フード仕入, 年間予実対比（予実対比）.年間予算_フード仕入",-,635
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_ドリンク仕入,L2-S,"年間予実対比（予実対比）.年間実績_ドリンク仕入, 年間予実対比（予実対比）.年間予算_ドリンク仕入",-,636
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_人件費 計,L2-S,"年間予実対比（予実対比）.年間実績_人件費 計, 年間予実対比（予実対比）.年間予算_人件費 計",-,637
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_固定人件費,L2-S,"年間予実対比（予実対比）.年間実績_固定人件費, 年間予実対比（予実対比）.年間予算_固定人件費",-,638
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_PA人件費,L2-S,"年間予実対比（予実対比）.年間実績_PA人件費, 年間予実対比（予実対比）.年間予算_PA人件費",-,639
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_社員人件費,L2-S,"年間予実対比（予実対比）.年間実績_社員人件費, 年間予実対比（予実対比）.年間予算_社員人件費",-,640
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_ヘルプ人件費,L2-S,"年間予実対比（予実対比）.年間実績_ヘルプ人件費, 年間予実対比（予実対比）.年間予算_ヘルプ人件費",-,641
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_その他経費 計,L2-S,"年間予実対比（予実対比）.年間実績_その他経費 計, 年間予実対比（予実対比）.年間予算_その他経費 計",-,642
年間予実対比（予実対比）,分析画面,3次,年間予算対比率_地代家賃,L2-S,"年間予実対比（予実対比）.年間実績_地代家賃, 年間予実対比（予実対比）.年間予算_地代家賃",-,643
