画面区分,画面タイトル,指標名,演算式,演算に使用する指標（画面タイトル.指標名）,演算式詳細（テーブル.カラム）,アウトプット先画面タイトル,アウトプット先指標名
店舗,予実対比,ヘルプ人件費,help_costs-help_costs_minus,予実対比.ヘルプ受入人件費 - 予実対比.ヘルプ送出人件費,labor_costs_logs.help_costs - labor_costs_logs.help_costs_minus,店舗別人件費,ヘルプ人件費
店舗,予実対比,その他経費,SUM経費,-,SUM(monthly_costs.value),-,-
店舗,予実対比,地代家賃,費目=家賃,-,"monthly_costs.value, monthly_cost_items.name",-,-
店舗,予実対比,資材費,費目=資材費,-,"monthly_costs.value, monthly_cost_items.name",-,-
店舗,予実対比,水道光熱費,費目=水道光熱費,-,"monthly_costs.value, monthly_cost_items.name",-,-
店舗,予実対比,減価償却費,費目=減価償却費,-,"monthly_costs.value, monthly_cost_items.name",-,-
店舗,予実対比,販促費,費目=販促費,-,"monthly_costs.value, monthly_cost_items.name",-,-
店舗,年間予実対比,営業利益,売上-仕入-人件費-経費,年間予実対比.売上税抜 - 年間予実対比.FD仕入額 - 年間予実対比.人件費額 - 年間予実対比.その他経費,ZTOTAL.sales_excluded - tax_excluded_total.total_tax_excluded - labor_costs_logs.labor_costs - monthly_costs.value,当月実績,営業利益
店舗,年間予実対比,FD仕入額,SUM年間,-,SUM(tax_excluded_total.total_tax_excluded),-,-
店舗,年間予実対比,人件費額,SUM年間,-,SUM(head_office_connected_service_labor_costs_logs.labor_costs),-,-
店舗,年間予実対比,客単価,売上÷客数,年間予実対比.売上税抜 ÷ 年間予実対比.客数,ZTOTAL.sales_excluded ÷ ZTOTAL.customers,-,-
店舗,月次集計,客単価税抜,売上÷客数,月次集計.売上税抜 ÷ 月次集計.客数,ZTOTAL.sales_excluded ÷ ZTOTAL.customers,-,-
店舗,月次集計,変動費単価,変動費÷客数,月次集計.変動費 ÷ 月次集計.客数,tax_excluded_total.total_tax_excluded ÷ ZTOTAL.customers,-,-
店舗,月次集計,変動費率,変動費÷売上×100,月次集計.変動費 ÷ 月次集計.売上税抜 × 100,tax_excluded_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,-,-
店舗,月次集計,仕入費率,仕入÷売上×100,月次集計.仕入額 ÷ 月次集計.売上税抜 × 100,tax_excluded_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,-,-
店舗,月次集計,PA人件費率,PA人件費÷売上×100,月次集計.PA人件費 ÷ 月次集計.売上税抜 × 100,daily_cost ÷ ZTOTAL.sales_excluded × 100,-,-
店舗,月次集計,粗利単価,(売上-原価)÷客数,(月次集計.売上税抜 - 月次集計.変動費) ÷ 月次集計.客数,(ZTOTAL.sales_excluded - tax_excluded_total) ÷ ZTOTAL.customers,-,-
店舗,月次集計,粗利率,(売上-原価)÷売上×100,(月次集計.売上税抜 - 月次集計.変動費) ÷ 月次集計.売上税抜 × 100,(ZTOTAL.sales_excluded - tax_excluded_total) ÷ ZTOTAL.sales_excluded × 100,-,-
店舗,月次レポート,原価金額,前月在庫+仕入-当月在庫,月次レポート.FD前月在庫高 + 月次レポート.FD当月仕入 - 月次レポート.FD当月在庫高,前月在庫 + 当月仕入 - 当月在庫,-,-
店舗,月次レポート,原価率,原価÷売上×100,月次レポート.原価金額 ÷ 月次レポート.売上合計税抜 × 100,tax_excluded_total ÷ ZTOTAL.sales_excluded × 100,-,-
店舗,月次レポート,売上合計税抜,SUM月間,-,SUM(ZTOTAL.sales_excluded),-,-
店舗,日次レポート,売上税込,日別集計,-,ZTOTAL.sales,-,-
店舗,日次レポート,売上税抜,日別集計,-,ZTOTAL.sales_excluded,-,-
店舗,日次レポート,仕入税込,日別集計,-,trade_total.total,-,-
店舗,日次レポート,仕入税抜,日別集計,-,tax_excluded_total.total_tax_excluded,-,-
店舗,日次レポート,PA人件費,日別集計,-,head_office_employee_working_records.daily_cost,-,-
店舗,従業員別勤務実績,従業員名,従業員マスタ参照,-,head_office_employee_working_records.head_office_employee_id,-,-
店舗,従業員別勤務実績,勤務日,日付,-,head_office_employee_working_records.date,-,-
店舗,従業員別勤務実績,日別人件費,日別集計,-,head_office_employee_working_records.daily_cost,-,-
店舗,従業員別勤務実績,ヘルプフラグ,フラグ,-,head_office_employee_working_records.is_help,-,-
店舗,従業員別勤務実績,勤務先店舗,店舗マスタ参照,-,head_office_employee_working_records.shop_id,-,-
店舗,従業員別勤務実績,勤怠データ,JSON,-,head_office_employee_working_records.working_data,-,-
店舗,従業員別勤務実績,費用データ,JSON,-,head_office_employee_working_records.working_cost,-,-
店舗,店舗別人件費,日付,日付,-,head_office_connected_service_labor_costs_logs.date,-,-
店舗,店舗別人件費,人件費,SUM店舗別,-,SUM(head_office_connected_service_labor_costs_logs.labor_costs),-,-
店舗,店舗別人件費,ヘルプ人件費,SUM店舗別,-,SUM(head_office_connected_service_labor_costs_logs.help_costs),-,-
店舗,店舗別人件費,ヘルプ人件費マイナス,SUM店舗別,-,SUM(head_office_connected_service_labor_costs_logs.help_costs_minus),-,-
店舗,棚卸し,棚卸商品,商品マスタ,-,商品マスタ,-,-
店舗,棚卸し,在庫数量,入力値,-,入力値,-,-
店舗,棚卸し,商品単価,マスタ参照,-,マスタ参照,-,-
店舗,棚卸し,小計,数量×単価,棚卸し.在庫数量 × 棚卸し.商品単価,在庫数量 × 商品単価,-,-
店舗,小口現金管理,支払先,入力値,-,入力値,-,-
店舗,小口現金管理,経費項目,入力値,-,入力値,-,-
店舗,小口現金管理,出勤額,入力値,-,入力値,-,-
店舗,小口現金管理,入金額,入力値,-,入力値,-,-
店舗,小口現金管理,残高,前残高+入金-出金,小口現金管理.前残高 + 小口現金管理.入金額 - 小口現金管理.出勤額,前残高 + 入金額 - 出勤額,-,-
店舗,店舗間商品移動,相手店舗,店舗マスタ,-,店舗マスタ,-,-
店舗,店舗間商品移動,仕入金額税抜,入力値,-,入力値,-,-
店舗,店舗間商品移動,提供金額税抜,入力値,-,入力値,-,-
店舗,予算設定,対象年月,年月,-,monthly_cost_entries.year_month,-,-
店舗,予算設定,予算金額,入力値,-,monthly_budgets.value,-,-
店舗,予算設定,予算比率,入力値,-,monthly_budgets.ratio,-,-
店舗,費目マスタ,費目名,入力値,-,monthly_cost_items.name,-,-
店舗,費目マスタ,変更不可フラグ,フラグ,-,monthly_cost_items.immutable,-,-
店舗,月次費用入力,費目,費目マスタ参照,-,monthly_cost_items.name,-,-
店舗,月次費用入力,金額,入力値,-,monthly_costs.value,-,-
店舗,月次費用入力,比率,自動計算,-,monthly_costs.ratio,-,-
店舗,予算一覧,月次目標利益,マスタ参照,-,monthly_budgets.value,利益進捗分析,利益進捗率/利益達成率の計算に使用
店舗,予算一覧,目標FD仕入費率,マスタ参照,-,monthly_budgets.ratio,-,-
店舗,予算一覧,目標PA人件費率,マスタ参照,-,monthly_budgets.ratio,-,-
店舗,予算一覧,目標客単価,マスタ参照,-,monthly_budgets.value,-,-
店舗,店舗別サマリー,売上目標,-,-,-,-,-
店舗,店舗別サマリー,売上達成率,-,-,-,-,-
店舗,店舗ラベル別サマリー,売上目標,-,-,-,-,-
店舗,店舗ラベル別サマリー,売上達成率,-,-,-,-,-
店舗,曜日別売上分析,平均客数（税抜）,-,-,-,-,-
店舗,支払種別売上分析,クレジットカード合計売上,-,-,-,-,-
店舗,支払種別売上分析,QR決済合計売上,-,-,-,-,-
店舗,支払種別売上分析,MUGENファミリーカード合計売上,-,-,-,-,-
店舗,支払種別売上分析,売掛合計売上,-,-,-,-,-
店舗,支払種別売上分析,交通系IC合計売上,-,-,-,-,-
店舗,平均単価推移,平均単価推移,期間集計トレンド計算,-,直近N期間の推移,-,-
店舗,利益進捗分析,利益進捗率比較（前月）,営業利益÷目標利益×100(前月比),-,((当月営業利益) - (前月営業利益)) ÷ (前月営業利益) × 100,-,-
店舗,利益進捗分析,利益進捗率比較（前々月）,営業利益÷目標利益×100(前々月比),-,((当月営業利益) - (前々月営業利益)) ÷ (前々月営業利益) × 100,-,-
店舗,利益進捗分析,利益達成率,営業利益÷目標利益×100,当月実績.営業利益 ÷ 予算一覧.月次目標利益 × 100,(営業利益) ÷ monthly_budgets.profit_target × 100,-,-
店舗,売上進捗分析,売上進捗率比較（前月）,-,-,-,-,-
店舗,売上進捗分析,売上進捗率比較（前々月）,-,-,-,-,-
店舗,売上進捗分析,売上達成率,-,-,-,-,-
店舗,感度分析,変動費,売上 - 変動費 = 粗利,-,sales_excluded - variable_cost = gross_profit,-,-
店舗,感度分析,粗利,売上 - 変動費 = 粗利,感度分析.売上税抜 - 感度分析.変動費,ZTOTAL.sales_excluded - tax_excluded_total.total_tax_excluded,-,-
店舗,感度分析,固定費,売上 - 変動費 = 粗利,-,sales_excluded - variable_cost = gross_profit,-,-
店舗,FD分析（仕入率/原価率）,フード仕入率,-,-,-,-,-
店舗,FD分析（仕入率/原価率）,フード原価率,-,-,-,-,-
店舗,FD分析（仕入率/原価率）,フード前月在庫高,-,-,-,-,-
店舗,FD分析（仕入率/原価率）,フード当月仕入,-,-,-,-,-
店舗,FD分析（仕入率/原価率）,フード当月在庫高,-,-,-,-,-
店舗,FD分析（仕入率/原価率）,ドリンク仕入率,-,-,-,-,-
店舗,FD分析（仕入率/原価率）,ドリンク原価率,-,-,-,-,-
店舗,FD分析（仕入率/原価率）,ドリンク前月在庫高,-,-,-,-,-
店舗,FD分析（仕入率/原価率）,ドリンク当月仕入,-,-,-,-,-
店舗,FD分析（仕入率/原価率）,ドリンク当月在庫高,-,-,-,-,-
店舗,FD仕入率トレンド,FD仕入率トレンド,仕入÷売上×100（直近6ヶ月推移）,FD仕入率トレンド.FD仕入額 ÷ FD仕入率トレンド.売上税抜 × 100,tax_excluded_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,-,-
店舗,FD仕入率トレンド,フード仕入比率,フード仕入÷フード売上×100,FD仕入率トレンド.フード仕入 ÷ FD売上構成比.フード売上合計 × 100,tax_excluded_total[フード] ÷ TITEM.sales_excluded[フード] × 100,-,-
店舗,FD仕入率トレンド,ドリンク仕入比率,ドリンク仕入÷ドリンク売上×100,FD仕入率トレンド.ドリンク仕入 ÷ FD売上構成比.ドリンク売上合計 × 100,tax_excluded_total[ドリンク] ÷ TITEM.sales_excluded[ドリンク] × 100,-,-
店舗,FD仕入率トレンド,FD仕入率トレンド,仕入÷売上×100（直近12ヶ月推移）,FD仕入率トレンド.FD仕入額 ÷ FD仕入率トレンド.売上税抜 × 100,tax_excluded_total.total_tax_excluded ÷ ZTOTAL.sales_excluded × 100,-,-
店舗,FD仕入率トレンド,フード仕入比率,フード仕入÷フード売上×100,FD仕入率トレンド.フード仕入 ÷ FD売上構成比.フード売上合計 × 100,tax_excluded_total[フード] ÷ TITEM.sales_excluded[フード] × 100,-,-
店舗,FD仕入率トレンド,ドリンク仕入比率,ドリンク仕入÷ドリンク売上×100,FD仕入率トレンド.ドリンク仕入 ÷ FD売上構成比.ドリンク売上合計 × 100,tax_excluded_total[ドリンク] ÷ TITEM.sales_excluded[ドリンク] × 100,-,-
店舗,流入分析,総席数,-,-,-,-,-
店舗,流入分析,総組数,-,-,-,-,-
店舗,流入分析,総卓数,-,-,-,-,-
店舗,流入分析,回転数,-,-,-,-,-
店舗,流入分析,予約売上合計,-,-,-,-,-
店舗,流入分析,ウォークイン売上合計,-,-,-,-,-
店舗,流入分析,予約客数トレンド,期間集計トレンド計算,-,直近N期間の推移,-,-
店舗,流入分析,ウォークイン客数トレンド,期間集計トレンド計算,-,直近N期間の推移,-,-
店舗,予実対比,その他売上（サービス料等）,-,-,-,-,-
店舗,予実対比,その他売上ランチ,SUM(その他商品かつオーダー時刻11-15時フィルタ),-,SUM(TITEM.sales_excluded WHERE item_type=その他 AND order_time 11:00-15:00),-,-
店舗,予実対比,その他売上ディナー,SUM(その他商品かつオーダー時刻17-23時フィルタ),-,SUM(TITEM.sales_excluded WHERE item_type=その他 AND order_time 17:00-23:00),-,-
店舗,予実対比,割引・値引きなど,-,-,-,-,-
店舗,年間予実対比（サマリー）,客単価(ランチ),売上÷客数(会計日時11-15時フィルタ),年間予実対比.ランチ売上税抜 ÷ 年間予実対比.ランチ客数,SUM(TTOTAL.sales_excluded WHERE settlement_time 11:00-15:00) / SUM(TTOTAL.customers WHERE settlement_time 11:00-15:00),-,-
店舗,年間予実対比（サマリー）,客単価(ディナー),売上÷客数(会計日時17-23時フィルタ),年間予実対比.ディナー売上税抜 ÷ 年間予実対比.ディナー客数,SUM(TTOTAL.sales_excluded WHERE settlement_time 17:00-23:00) / SUM(TTOTAL.customers WHERE settlement_time 17:00-23:00),-,-
店舗,年間予実対比（予実対比）,総売上　計,-,-,-,-,-
店舗,年間予実対比（予実対比）,フード売上 計,-,-,-,-,-
店舗,年間予実対比（予実対比）,ドリンク売上　計,-,-,-,-,-
店舗,年間予実対比（予実対比）,その他売上 計 （サービス料等）,-,-,-,-,-
店舗,年間予実対比（予実対比）,その他売上ランチ,SUM(その他商品かつオーダー時刻11-15時フィルタ),-,SUM(TITEM.sales_excluded WHERE item_type=その他 AND order_time 11:00-15:00),-,-
店舗,年間予実対比（予実対比）,その他売上ディナー,SUM(その他商品かつオーダー時刻17-23時フィルタ),-,SUM(TITEM.sales_excluded WHERE item_type=その他 AND order_time 17:00-23:00),-,-
店舗,年間予実対比（予実対比）,FLコスト　計,-,-,-,-,-
店舗,年間予実対比（予実対比）,FD仕入　計,-,-,-,-,-
店舗,年間予実対比（予実対比）,人件費　計,-,-,-,-,-
店舗,年間予実対比（予実対比）,その他経費　計,-,-,-,-,-
店舗,年間予実対比（予実対比）,ラクミー利用料,-,-,-,-,-
店舗,年間予実対比（予実対比）,IT費用,-,-,-,-,-
店舗,年間予実対比（予実対比）,お花代,-,-,-,-,-
店舗,年間予実対比（予実対比）,ガス代,-,-,-,-,-
店舗,年間予実対比（予実対比）,クレジットカード手数料,-,-,-,-,-
店舗,年間予実対比（予実対比）,レジ利用料,-,-,-,-,-
店舗,年間予実対比（予実対比）,借入金返済,-,-,-,-,-
店舗,年間予実対比（予実対比）,家賃(変動分),-,-,-,-,-
店舗,年間予実対比（予実対比）,水道代,-,-,-,-,-
店舗,年間予実対比（予実対比）,社員人件費,-,-,-,-,-
店舗,年間予実対比（予実対比）,電気代,-,-,-,-,-
店舗,月次集計,その他変動費率,売上 - 変動費 = 粗利,-,sales_excluded - variable_cost = gross_profit,-,-
店舗,月次集計,変動費,売上 - 変動費 = 粗利,-,sales_excluded - variable_cost = gross_profit,-,-
店舗,月次集計,粗利,売上 - 変動費 = 粗利,-,sales_excluded - variable_cost = gross_profit,-,-
店舗,月次集計,固定費,売上 - 変動費 = 粗利,-,sales_excluded - variable_cost = gross_profit,-,-
店舗,月次レポート,対象前月在庫,-,-,-,-,-
店舗,月次レポート,仕入総額,-,-,-,-,-
店舗,月次レポート,対象月在庫,-,-,-,-,-
店舗,月次レポート,年月,-,-,-,-,-
店舗,小口現金管理,内容,-,-,-,-,-
店舗,小口現金管理,経費コード,-,-,-,-,-
店舗,小口現金管理,税区分,-,-,-,-,-
店舗,小口現金管理,アクション,-,-,-,-,-
店舗,店舗間商品移動,商品タイプ,-,-,-,-,-
店舗,予算設定,FD仕入費率,-,-,-,-,-
店舗,予算設定,変動費用予算,売上 - 変動費 = 粗利,-,sales_excluded - variable_cost = gross_profit,-,-
店舗,予算設定,ランチ売上比,-,-,-,-,-
店舗,予算設定,フード売上比,-,-,-,-,-
店舗,予算設定,ドリンク売上比,-,-,-,-,-
店舗,予算設定,その他売上比,-,-,-,-,-
店舗,予算設定,変動費,売上 - 変動費 = 粗利,-,sales_excluded - variable_cost = gross_profit,-,-
店舗,予算設定,粗利,売上 - 変動費 = 粗利,-,sales_excluded - variable_cost = gross_profit,-,-
店舗,予算設定,固定費用予算,売上 - 変動費 = 粗利,-,sales_excluded - variable_cost = gross_profit,-,-
店舗,予算設定,日次目標値（税抜）,-,-,-,-,-
店舗,予算設定,日次目標客数,-,-,-,-,-
店舗,予算設定,日次目標売上（税抜）,-,-,-,-,-
店舗,予算一覧（予算設定値）,目標客単価 (ランチ),-,-,-,-,-
店舗,予算一覧（予算設定値）,目標客単価 (ディナー),-,-,-,-,-
店舗,予算一覧（予算構成）,売上 計,-,-,-,-,-
店舗,予算一覧（予算構成）,フード売上 計,-,-,-,-,-
店舗,予算一覧（予算構成）,ドリンク売上 計,-,-,-,-,-
店舗,予算一覧（予算構成）,その他売上 計 (サービス料等),-,-,-,-,-
店舗,予算一覧（予算構成）,FLコスト 計,-,-,-,-,-
店舗,予算一覧（予算構成）,FD仕入 計,-,-,-,-,-
店舗,予算一覧（予算構成）,人件費 計,-,-,-,-,-
店舗,予算一覧（予算構成）,その他経費 計,-,-,-,-,-
店舗,予算一覧（予算構成）,IT費,-,-,-,-,-
店舗,予算一覧（予算構成）,ガス代,-,-,-,-,-
店舗,予算一覧（予算構成）,サービス費,-,-,-,-,-
店舗,予算一覧（予算構成）,保守修繕費,-,-,-,-,-
店舗,予算一覧（予算構成）,外注費,-,-,-,-,-
店舗,予算一覧（予算構成）,支払手数料,-,-,-,-,-
店舗,予算一覧（予算構成）,水道代,-,-,-,-,-
店舗,予算一覧（予算構成）,消耗品費,-,-,-,-,-
店舗,予算一覧（予算構成）,衛生費,-,-,-,-,-
店舗,予算一覧（予算構成）,調査費,-,-,-,-,-
店舗,予算一覧（予算構成）,諸会費,-,-,-,-,-
店舗,予算一覧（予算構成）,警備料,-,-,-,-,-
店舗,予算一覧（予算構成）,販売促進費,-,-,-,-,-
店舗,予算一覧（予算構成）,販売管理費,-,-,-,-,-
店舗,予算一覧（予算構成）,通信費,-,-,-,-,-
店舗,予算一覧（予算構成）,雑費,-,-,-,-,-
店舗,予算一覧（予算構成）,電気代,-,-,-,-,-
店舗,予算一覧（予算構成）,ｸﾚｼﾞｯﾄ手数料,-,-,-,-,-
店舗,予実対比（一覧,その他売上（サービス料等）,-,-,-,-,-
店舗,予実対比（一覧,その他売上ランチ,SUM(その他商品かつオーダー時刻11-15時フィルタ),-,SUM(TITEM.sales_excluded WHERE item_type=その他 AND order_time 11:00-15:00),-,-
店舗,予実対比（一覧,その他売上ディナー,SUM(その他商品かつオーダー時刻17-23時フィルタ),-,SUM(TITEM.sales_excluded WHERE item_type=その他 AND order_time 17:00-23:00),-,-
店舗,予実対比（一覧,割引･値引等,-,-,-,-,-
